,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.515,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
2,1.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
3,2.008,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
4,2.755,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
5,2.88,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
6,3.002,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,1,0,1,1
7,3.502,440.0,1.0,1,3.784,stim_maj_1,p_Ferdinand,main,0,0,0,0
8,4.003,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
9,4.502,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
10,5.262,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
11,5.512,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
12,5.762,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
13,6.012,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
14,6.262,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
15,6.512,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
16,6.76,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
17,7.01,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
18,8.511,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,1,1,1,1
19,9.011,440.0,17.5,1,9.259,stim_maj_1,p_Ferdinand,main,0,0,0,0
20,9.259,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
21,9.509,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
22,9.755,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
23,10.005,659.2551138,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
24,10.505,523.2511306,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
25,11.002,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
26,11.514,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
27,11.762,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
28,12.012,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
29,12.509,587.3295358,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
30,13.008,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
31,13.505,523.2511306,17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
32,14.006,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,1,1
33,14.506,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
34,15.002,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
35,16.013,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,1,1,1,1
36,16.138,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
37,16.26,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
38,16.385,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
39,16.51,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
40,16.635,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
41,16.76,329.6275569,-17.5,1,16.854,stim_maj_1,p_Ferdinand,main,0,0,0,0
42,16.885,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
43,17.01,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
44,17.757,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
45,18.007,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
46,18.757,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
47,19.003,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
48,19.762,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
49,20.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
50,20.756,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
51,21.006,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
52,21.506,195.997718,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
53,22.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,1
54,22.252,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
55,22.502,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,main,0,0,0,0
