,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.015,311.1269837,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
1,0.262,369.9944227,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
2,0.512,261.6255653,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
4,1.512,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
5,2.009,587.3295358,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
6,2.259,293.6647679,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
7,2.509,261.6255653,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
8,3.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
9,3.508,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
10,4.004,415.3046976,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
11,4.254,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
12,4.504,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
13,5.004,246.9416506,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
14,5.501,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
15,5.764,493.8833013,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
16,6.014,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
17,6.263,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
18,6.513,311.1269837,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
19,7.013,311.1269837,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,1,0,1,1
20,8.01,261.6255653,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,1,0,1
21,9.01,493.8833013,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
22,10.515,415.3046976,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
23,11.012,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,1,0,0,1
24,11.512,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,1,1
25,12.009,415.3046976,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
26,12.501,415.3046976,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
27,13.001,261.6255653,17.5,1,13.11,stim_min_1,p_Ferdinand,melody,0,0,0,1
28,13.513,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
29,14.013,293.6647679,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,1,0,0,1
30,15.003,261.6255653,17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
31,16.015,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,1,1,1
32,17.014,349.2282314,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,1,0,0,1
33,18.01,233.0818808,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,1,1
34,19.007,311.1269837,-17.5,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
35,20.004,293.6647679,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,1,1
36,21.001,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,1,0,0,1
37,22.013,246.9416506,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
38,23.01,311.1269837,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
39,24.504,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,1,0,1
40,25.004,587.3295358,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
41,25.5,246.9416506,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
42,26.013,311.1269837,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
43,27.01,523.2511306,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
44,28.504,349.2282314,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
45,28.751,311.1269837,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
46,29.0,293.6647679,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,1
47,29.502,349.2282314,1.0,0,0.0,stim_min_1,p_Ferdinand,melody,0,0,0,0
