,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,261.6255653,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
2,1.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
3,2.015,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
4,2.761,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
5,2.886,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
6,3.011,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
7,3.512,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
8,4.009,293.6647679,1.0,0,0.0,stim_maj_1,p_Fredor,main,1,0,1,1
9,4.509,391.995436,1.0,1,4.587,stim_maj_1,p_Fredor,main,0,0,0,0
10,5.251,440.0,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
11,5.501,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
12,5.751,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
13,6.001,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
14,6.251,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
15,6.513,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
16,6.763,293.6647679,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
17,7.01,261.6255653,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
18,8.515,391.995436,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,1,1,1
19,9.0,440.0,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
20,9.263,391.995436,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
21,9.513,349.2282314,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
22,9.763,391.995436,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
23,10.013,659.2551138,17.5,0,0.0,stim_maj_1,p_Fredor,main,1,0,0,1
24,10.51,523.2511306,17.5,1,10.619,stim_maj_1,p_Fredor,main,0,0,0,0
25,11.01,391.995436,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
26,11.506,349.2282314,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
27,11.756,329.6275569,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
28,12.003,349.2282314,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,1
29,12.503,587.3295358,17.5,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
30,13.003,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,1,1
31,13.515,523.2511306,1.0,0,0.0,stim_maj_1,p_Fredor,main,0,0,0,0
