,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
1,1.015,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
2,1.512,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
3,2.008,523.2511306,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
4,2.754,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
5,2.879,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
6,3.004,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
7,3.5,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
8,4.016,246.9416506,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
9,4.515,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
10,5.265,587.3295358,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
11,5.5,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
12,5.766,523.2511306,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
13,6.012,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
14,6.262,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
15,6.512,220.0,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
16,6.762,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
17,7.011,261.6255653,-17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
18,8.507,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,melody,1,1,1,1
19,9.007,493.8833013,1.0,1,9.101,stim_maj_1,p_Fredor,melody,0,0,0,0
20,9.257,440.0,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
21,9.508,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
22,9.758,195.997718,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
23,10.008,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
24,10.504,195.997718,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
25,11.004,391.995436,17.5,0,0.0,stim_maj_1,p_Fredor,melody,1,0,1,1
26,11.516,261.6255653,17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
27,11.765,493.8833013,17.5,1,11.953,stim_maj_1,p_Fredor,melody,0,0,0,0
28,12.007,329.6275569,17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
29,12.507,349.2282314,17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
30,13.004,329.6275569,17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
31,13.505,440.0,17.5,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
32,14.002,493.8833013,1.0,0,0.0,stim_maj_1,p_Fredor,melody,1,0,1,1
33,14.514,349.2282314,1.0,1,14.53,stim_maj_1,p_Fredor,melody,0,0,0,0
34,15.003,523.2511306,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
35,16.013,261.6255653,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,1,0,1
36,16.138,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
37,16.263,293.6647679,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
38,16.388,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
39,16.513,493.8833013,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
40,16.638,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
41,16.763,293.6647679,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
42,16.888,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
43,17.009,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
44,17.76,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
45,18.007,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
46,18.754,261.6255653,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
47,19.004,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,1
48,19.755,261.6255653,1.0,0,0.0,stim_maj_1,p_Fredor,melody,0,0,0,0
