,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
1,0.263,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
2,0.513,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
3,1.013,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
4,1.509,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
5,2.009,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
6,2.261,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
7,2.508,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
8,3.008,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
9,3.507,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
10,4.007,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
11,4.254,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
12,4.504,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
13,5.004,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,melody,1,0,1,1
14,5.504,523.2511306,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
15,5.754,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
16,6.004,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
17,6.254,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
18,6.501,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
19,7.001,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
20,8.013,261.6255653,1.0,1,8.494,stim_min_1,p_Fredor,melody,1,1,0,1
21,9.01,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
22,10.5,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
23,11.012,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
24,11.512,523.2511306,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
25,12.012,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
26,12.507,220.0,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,0
27,13.003,523.2511306,1.0,0,0.0,stim_min_1,p_Fredor,melody,0,0,0,1
