,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
1,0.516,293.6647679,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
2,1.012,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
3,1.137,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
4,1.256,391.995436,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
5,1.756,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
6,2.006,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
7,2.256,440.0,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
8,2.504,293.6647679,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
9,2.754,391.995436,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
10,3.251,440.0,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
11,3.763,391.995436,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
12,4.013,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
13,5.01,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
14,5.26,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
15,5.51,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
16,6.01,293.6647679,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
17,6.26,261.6255653,-17.5,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,1
18,7.754,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,rhythm,1,1,1,1
19,8.25,440.0,1.0,1,8.375,stim_maj_1,p_Julian,rhythm,0,0,0,0
20,8.5,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
21,9.01,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
22,9.258,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,rhythm,0,0,0,0
