,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.504,523.2511306,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
1,1.007,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
2,1.511,349.2282314,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
3,2.015,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
4,2.757,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
5,2.877,493.8833013,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
6,3.006,329.6275569,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
7,3.51,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
8,4.014,493.8833013,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
9,4.502,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
10,5.26,440.0,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
11,5.509,391.995436,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
12,5.764,493.8833013,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
13,6.013,391.995436,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
14,6.252,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
15,6.501,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
16,6.756,523.2511306,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
17,7.005,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
18,8.501,391.995436,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,1,1,1
19,9.005,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
20,9.259,440.0,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
21,9.508,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
22,9.763,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,0
23,10.012,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,melody,0,0,0,1
