,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
1,0.513,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
2,1.012,329.6275569,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
3,1.262,349.2282314,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
4,1.761,391.995436,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
5,2.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
6,2.261,329.6275569,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
7,3.255,440.0,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
8,3.38,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
9,3.88,391.995436,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
10,4.38,440.0,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
11,4.627,391.995436,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
12,5.126,349.2282314,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
13,5.389,329.6275569,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
14,5.514,349.2282314,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
15,5.764,329.6275569,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
16,6.014,293.6647679,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
17,6.264,261.6255653,-17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
18,7.76,391.995436,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,1,1,1
19,8.257,440.0,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
20,8.757,391.995436,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
21,9.755,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
22,10.003,391.995436,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
23,10.253,659.2551138,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
24,10.504,523.2511306,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
25,11.5,391.995436,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
26,12.263,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
27,12.388,329.6275569,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
28,12.638,349.2282314,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
29,12.888,587.3295358,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
30,13.135,329.6275569,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
31,13.256,523.2511306,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
32,13.753,293.6647679,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
33,14.253,493.8833013,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
34,14.378,523.2511306,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
35,15.39,261.6255653,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,1,1,1,1
36,15.515,293.6647679,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
37,16.015,329.6275569,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
38,16.251,349.2282314,17.5,1,16.294,stim_maj_1,p_Rupert,rhythm,0,0,0,0
39,16.763,329.6275569,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
40,17.26,293.6647679,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
41,17.756,329.6275569,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
42,18.256,261.6255653,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
43,19.002,440.0,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
44,19.502,440.0,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
45,20.002,391.995436,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
46,20.514,349.2282314,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
47,20.764,329.6275569,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
48,21.264,349.2282314,17.5,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
49,21.781,329.6275569,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,1,1
50,22.265,293.6647679,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
51,22.515,261.6255653,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
52,23.015,195.997718,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
53,23.762,261.6255653,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,1
54,23.884,293.6647679,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
55,24.009,329.6275569,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
56,24.26,293.6647679,1.0,0,0.0,stim_maj_1,p_Rupert,rhythm,0,0,0,0
