,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
2,0.764,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
3,1.014,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
4,1.511,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
5,2.26,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
6,2.507,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
7,4.007,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
8,4.257,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
9,4.507,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
10,5.007,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
11,5.501,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
12,5.751,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
13,6.001,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
14,7.513,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
15,8.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
16,8.509,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
17,9.009,261.6255653,-17.5,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
18,10.515,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,1,1,1
19,11.015,440.0,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
20,11.265,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
21,11.515,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
22,11.75,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
23,12.261,659.2551138,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
24,12.511,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
25,12.76,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
26,13.507,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
27,13.751,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
28,14.252,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,1
29,15.26,587.3295358,1.0,0,0.0,stim_maj_1,p_Simon,rhythm,0,0,0,0
