,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,493.8833013,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
1,1.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
2,1.509,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
3,2.006,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
4,2.756,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
5,2.881,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
6,3.0,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
7,3.503,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
8,4.002,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
9,4.515,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
10,5.262,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
11,5.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
12,5.759,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
13,6.009,523.2511306,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
14,6.259,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
15,6.509,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
16,6.758,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
17,7.006,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
18,8.502,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,melody,1,1,0,1
19,9.003,246.9416506,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
20,9.266,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
21,9.515,195.997718,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
22,9.762,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
23,10.002,195.997718,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
24,10.502,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
25,11.002,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
26,11.515,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
27,11.765,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
28,12.012,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
29,12.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
30,13.009,440.0,1.0,0,0.0,stim_maj_1,p_Theo,melody,1,0,1,1
31,13.506,391.995436,1.0,1,13.648,stim_maj_1,p_Theo,melody,0,0,0,0
32,14.003,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
33,14.503,293.6647679,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
34,15.003,523.2511306,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
35,16.014,261.6255653,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,1,1,1
36,16.139,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
37,16.265,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
38,16.387,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
39,16.512,587.3295358,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
40,16.634,261.6255653,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
41,16.758,440.0,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
42,16.88,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
43,17.005,440.0,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
44,17.752,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
45,18.015,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
46,18.764,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
47,19.014,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
48,19.761,523.2511306,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
49,20.011,523.2511306,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
50,20.757,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
51,21.008,261.6255653,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
52,21.508,349.2282314,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
53,22.002,659.2551138,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
54,22.265,349.2282314,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
55,22.5,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
56,22.763,440.0,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
57,23.014,261.6255653,17.5,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
58,24.01,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,melody,1,1,1,1
59,24.26,440.0,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
60,24.51,493.8833013,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
61,24.761,391.995436,1.0,1,24.914,stim_maj_1,p_Theo,melody,0,0,0,0
62,25.008,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
63,25.258,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
64,25.508,261.6255653,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
65,25.758,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
66,26.004,587.3295358,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,1
67,26.5,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
68,27.513,783.990872,1.0,0,0.0,stim_maj_1,p_Theo,melody,0,0,0,0
