,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
1,0.141,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
2,0.266,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
3,1.262,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
4,1.75,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
5,2.266,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
6,2.516,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
7,3.015,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
8,3.265,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
9,3.762,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
10,4.264,440.0,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
11,4.764,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
12,5.264,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
13,5.389,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
14,5.635,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
15,6.135,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
16,6.385,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
17,7.14,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
18,8.633,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,1,1,1,1
19,9.133,440.0,1.0,1,9.211,stim_maj_1,p_Theo,rhythm,0,0,0,0
20,9.383,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
21,9.63,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
22,10.137,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
23,10.633,659.2551138,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
24,10.884,523.2511306,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
25,11.015,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
26,11.265,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
27,11.39,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
28,11.64,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
29,11.887,587.3295358,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
30,12.634,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
31,12.881,523.2511306,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
32,13.891,293.6647679,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,1,0,1,1
33,14.377,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
34,14.627,523.2511306,17.5,1,14.951,stim_maj_1,p_Theo,rhythm,0,0,0,1
35,15.626,261.6255653,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,1,1,1
36,15.76,293.6647679,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
37,16.501,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
38,16.751,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
39,17.252,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
40,17.377,293.6647679,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
41,17.889,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
42,18.136,261.6255653,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
43,18.386,440.0,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
44,18.886,440.0,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
45,19.382,391.995436,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,1,1
46,19.882,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
47,20.129,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
48,20.629,349.2282314,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
49,20.879,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
50,21.129,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
51,21.391,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,1,0,0,1
52,21.515,195.997718,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
53,22.012,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
54,22.509,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
55,23.256,329.6275569,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
56,23.506,293.6647679,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
57,24.456,261.6255653,-17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
58,25.455,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,1,1,1,1
59,25.706,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
60,25.827,293.6647679,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
61,26.077,329.6275569,1.0,1,26.202,stim_maj_1,p_Theo,rhythm,0,0,0,0
62,26.324,261.6255653,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
63,26.824,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
64,27.087,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
65,27.337,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
66,27.587,440.0,17.5,1,28.459,stim_maj_1,p_Theo,rhythm,1,0,1,1
67,28.584,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
68,28.834,369.9944227,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
69,29.084,293.6647679,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
70,29.585,523.2511306,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
71,29.824,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
72,30.082,440.0,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
73,30.829,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
74,31.331,587.3295358,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
75,31.581,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
76,31.831,440.0,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
77,32.082,493.8833013,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
78,32.332,391.995436,17.5,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
79,32.829,523.2511306,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,1,1,1
80,33.329,493.8833013,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
81,33.829,523.2511306,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
82,34.326,493.8833013,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
83,34.576,440.0,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
84,35.074,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
85,35.586,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
86,35.836,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
87,36.323,440.0,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
88,36.583,391.995436,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
89,37.079,349.2282314,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,1
90,37.579,329.6275569,1.0,0,0.0,stim_maj_1,p_Theo,rhythm,0,0,0,0
