,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
1,0.5,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
2,1.009,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
3,1.509,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
4,1.759,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
5,2.259,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
6,2.75,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
7,3.002,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
8,3.252,587.3295358,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
9,3.764,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
10,4.264,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
11,5.258,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
12,5.755,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
13,6.254,587.3295358,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
14,6.755,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
15,7.002,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
16,8.002,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
17,8.502,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
18,9.002,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
19,9.515,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
20,10.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,1,0,1
21,11.509,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
22,12.007,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
23,12.257,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
24,12.756,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
25,12.928,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
26,13.168,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
27,14.175,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
28,14.347,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
29,14.844,246.9416506,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,1,0,0,1
30,16.337,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
31,17.346,391.995436,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,1,1,1
32,18.343,415.3046976,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
33,18.839,391.995436,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
34,19.011,369.9944227,17.5,0,0.0,stim_min_1,p_Theo,rhythm,1,0,1,1
35,19.339,493.8833013,17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
36,20.348,523.2511306,17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
37,20.848,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
38,21.098,311.1269837,17.5,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
39,22.595,391.995436,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,1,1,1
40,23.096,415.3046976,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
41,23.346,261.6255653,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
42,24.84,246.9416506,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
43,25.089,261.6255653,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
44,25.261,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
45,25.508,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,0
46,26.504,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,rhythm,0,0,0,1
