,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
3,1.014,391.995436,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
4,1.51,415.3046976,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
5,2.01,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
6,2.26,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
7,2.507,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
8,3.007,587.3295358,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
9,3.507,391.995436,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
10,4.007,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
11,4.254,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
12,4.504,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
13,5.001,587.3295358,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
14,5.513,349.2282314,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
15,5.763,391.995436,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
16,6.013,415.3046976,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
17,6.263,391.995436,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
18,6.513,349.2282314,-17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
19,7.006,311.1269837,1.0,0,0.0,stim_min_1,p_Z,main,1,0,1,1
20,8.006,261.6255653,1.0,1,8.19,stim_min_1,p_Z,main,0,1,0,1
21,9.015,391.995436,17.5,1,10.279,stim_min_1,p_Z,main,1,0,1,1
22,10.513,415.3046976,17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,0
23,11.01,391.995436,17.5,0,0.0,stim_min_1,p_Z,main,0,0,0,1
