,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
1,1.513,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
2,2.01,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
3,2.51,391.995436,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
4,2.759,415.3046976,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
5,3.007,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
6,3.507,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
7,4.003,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
8,4.253,587.3295358,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
9,4.425,391.995436,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
10,5.424,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
11,5.674,493.8833013,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
12,6.17,523.2511306,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
13,6.342,587.3295358,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
14,6.592,349.2282314,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
15,6.764,391.995436,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
16,7.264,415.3046976,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
17,7.764,391.995436,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
18,8.011,349.2282314,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
19,8.508,311.1269837,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
20,9.507,261.6255653,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,1,1,1
21,10.514,391.995436,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
22,11.513,415.3046976,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
23,12.009,391.995436,17.5,0,0.0,stim_min_1,p_Z,rhythm,1,0,1,1
24,12.258,349.2282314,17.5,1,12.446,stim_min_1,p_Z,rhythm,0,0,0,1
25,13.258,311.1269837,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,1,1
26,13.599,349.2282314,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
27,13.849,391.995436,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
28,15.343,293.6647679,1.0,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,0
29,15.593,246.9416506,1.0,0,0.0,stim_min_1,p_Z,rhythm,1,0,0,1
30,16.089,261.6255653,1.0,1,16.371,stim_min_1,p_Z,rhythm,0,0,0,1
31,17.089,391.995436,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,1,1,1
32,18.086,415.3046976,-17.5,0,0.0,stim_min_1,p_Z,rhythm,0,0,0,1
