,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
1,0.172,493.8833013,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
2,0.423,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
3,0.922,391.995436,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
4,1.419,415.3046976,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
5,1.591,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
6,1.841,493.8833013,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
7,2.34,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
8,2.84,587.3295358,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
9,3.336,391.995436,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
10,3.848,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
11,4.848,493.8833013,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
12,5.094,523.2511306,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
13,5.586,587.3295358,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,1,1
14,5.758,349.2282314,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
15,6.254,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
16,6.754,415.3046976,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,1,0,0,1
17,6.925,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
18,8.423,349.2282314,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
19,8.923,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
20,9.92,261.6255653,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,1,0,1
21,10.93,391.995436,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,1,1
22,11.426,415.3046976,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
23,11.922,391.995436,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
24,12.172,349.2282314,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
25,12.672,311.1269837,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
26,13.168,349.2282314,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
27,13.668,391.995436,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
28,14.18,293.6647679,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
29,14.676,246.9416506,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
30,15.176,261.6255653,17.5,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
31,16.172,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,1,1,1
32,17.182,415.3046976,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
33,17.432,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
34,17.586,369.9944227,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
35,17.758,493.8833013,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
36,18.751,523.2511306,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
37,19.251,349.2282314,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
38,19.751,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
39,21.25,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,1,1,0,1
40,21.76,415.3046976,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
41,22.256,261.6255653,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
42,23.756,246.9416506,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
43,24.253,261.6255653,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
44,24.596,293.6647679,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
45,25.593,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
46,25.843,349.2282314,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
47,26.339,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
48,26.511,293.6647679,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,0
49,27.007,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,0,0,0,1
