,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes,time_difference,signal_theory,part
49,20.003,329.6275569,17.5,0,0.0,stim_maj_1,p_Z,main,1,0,1,1,-20.003,miss,main
58,24.008,391.995436,1.0,1,24.349,stim_maj_1,p_Z,main,1,1,1,1,0.3410000000000011,hit,main
79,32.004,523.2511306,1.0,0,0.0,stim_maj_1,p_Z,main,1,1,0,1,-32.004,corr,main
93,39.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Z,main,1,0,0,1,-39.009,corr,main
101,43.008,391.995436,17.5,1,43.383,stim_maj_1,p_Z,main,1,0,0,1,0.375,fa,main
114,47.01,523.2511306,1.0,0,0.0,stim_maj_1,p_Z,main,1,0,0,1,-47.01,corr,main
121,51.012,261.6255653,-17.5,0,0.0,stim_maj_1,p_Z,main,1,0,0,1,-51.012,corr,main
130,56.513,523.2511306,17.5,0,0.0,stim_maj_1,p_Z,main,1,1,1,1,-56.513,miss,main
18,8.502,391.995436,1.0,0,0.0,stim_maj_1,p_Z,melody,1,1,1,1,-8.502,miss,main
25,11.007,293.6647679,17.5,1,12.129,stim_maj_1,p_Z,melody,1,0,1,1,1.1219999999999999,hit,main
51,21.004,493.8833013,-17.5,0,0.0,stim_maj_1,p_Z,melody,1,0,1,1,-21.004,miss,main
58,24.006,391.995436,1.0,1,24.971,stim_maj_1,p_Z,melody,1,1,1,1,0.9649999999999999,hit,main
93,39.003,293.6647679,17.5,0,0.0,stim_maj_1,p_Z,melody,1,0,0,1,-39.003,corr,main
115,48.013,246.9416506,1.0,1,48.772,stim_maj_1,p_Z,melody,1,1,0,1,0.7590000000000003,fa,main
130,56.506,523.2511306,1.0,1,56.903,stim_maj_1,p_Z,melody,1,1,1,1,0.39699999999999847,hit,main
138,62.004,391.995436,17.5,1,62.613,stim_maj_1,p_Z,melody,1,0,1,1,0.6090000000000018,hit,main
18,8.885,391.995436,1.0,1,9.166,stim_maj_1,p_Z,rhythm,1,1,1,1,0.2810000000000006,hit,main
51,21.581,261.6255653,1.0,0,0.0,stim_maj_1,p_Z,rhythm,1,0,1,1,-21.581,miss,main
62,26.211,261.6255653,-17.5,0,0.0,stim_maj_1,p_Z,rhythm,1,0,1,1,-26.211,miss,main
91,38.078,293.6647679,1.0,1,38.438,stim_maj_1,p_Z,rhythm,1,1,0,1,0.35999999999999943,fa,main
95,39.825,261.6255653,17.5,1,40.34,stim_maj_1,p_Z,rhythm,1,1,1,1,0.5150000000000006,hit,main
106,44.587,391.995436,1.0,1,44.959,stim_maj_1,p_Z,rhythm,1,0,1,1,0.3719999999999999,hit,main
115,50.329,246.9416506,1.0,0,0.0,stim_maj_1,p_Z,rhythm,1,1,0,1,-50.329,corr,main
130,58.701,523.2511306,1.0,1,59.234,stim_maj_1,p_Z,rhythm,1,1,1,1,0.5330000000000013,hit,main
19,7.006,311.1269837,1.0,1,8.19,stim_min_1,p_Z,main,1,0,1,1,1.1839999999999993,hit,main
21,9.015,391.995436,17.5,1,10.279,stim_min_1,p_Z,main,1,0,1,1,1.2639999999999993,hit,main
24,11.51,349.2282314,1.0,1,12.191,stim_min_1,p_Z,main,1,0,1,1,0.6810000000000009,hit,main
39,24.514,391.995436,-17.5,1,24.811,stim_min_1,p_Z,main,1,1,0,1,0.2970000000000006,fa,main
46,29.009,349.2282314,1.0,0,0.0,stim_min_1,p_Z,main,1,0,0,1,-29.009,corr,main
51,32.015,261.6255653,1.0,0,0.0,stim_min_1,p_Z,main,1,1,0,1,-32.015,corr,main
61,37.008,261.6255653,17.5,1,37.537,stim_min_1,p_Z,main,1,0,1,1,0.5289999999999964,hit,main
85,48.009,391.995436,1.0,1,48.337,stim_min_1,p_Z,main,1,1,1,1,0.32800000000000296,hit,main
101,56.007,261.6255653,17.5,1,56.472,stim_min_1,p_Z,main,1,1,1,1,0.4650000000000034,hit,main
121,62.002,349.2282314,1.0,1,63.046,stim_min_1,p_Z,main,1,0,0,1,1.043999999999997,fa,main
13,5.005,391.995436,-17.5,0,0.0,stim_min_1,p_Z,melody,1,0,0,1,-5.005,corr,main
20,8.015,261.6255653,1.0,1,8.496,stim_min_1,p_Z,melody,1,1,1,1,0.48099999999999987,hit,main
