subject,condition,corr,fa,hit,miss,state,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
p_Z,main,2,1,3,1,boundary,0.75,0.3333333333333333,-0.18778762726314502,-0.23664319132398473,0.04885556406083971,0.75,0.75,0.75
p_Z,melody,1,2,4,1,boundary,0.8,0.6666666666666666,0.10890505029367371,0.8451542547285166,-0.7362492044348429,0.6666666666666666,0.8,0.7272727272727273
p_Z,rhythm,1,2,5,0,boundary,1.0,0.6666666666666666,1.2956757605209472,0.8451542547285166,0.45052150579243067,0.7142857142857143,1.0,0.8333333333333334
p_Zofia,main,3,1,5,0,boundary,1.0,0.25,1.2956757605209472,-0.50709255283711,1.8027683133580572,0.8333333333333334,1.0,0.9090909090909091
p_Zofia,melody,0,5,5,3,boundary,0.625,1.0,-0.9295193211551911,1.926951700781018,-2.8564710219362093,0.5,0.625,0.5555555555555556
p_Zofia,rhythm,4,0,4,0,boundary,1.0,0.0,1.2956757605209472,-1.3184406373764859,2.6141163978974333,1.0,1.0,1.0
p_Z,main,4,2,4,1,no_boundary,0.8,0.3333333333333333,0.10890505029367371,-0.23664319132398473,0.34554824161765846,0.6666666666666666,0.8,0.7272727272727273
p_Z,melody,2,1,6,1,no_boundary,0.8571428571428571,0.3333333333333333,0.44798239607289425,-0.23664319132398473,0.684625587396879,0.8571428571428571,0.8571428571428571,0.8571428571428571
p_Z,rhythm,1,2,5,2,no_boundary,0.7142857142857143,0.6666666666666666,-0.39971096837515807,0.8451542547285166,-1.2448652231036745,0.7142857142857143,0.7142857142857143,0.7142857142857143
p_Zofia,main,3,0,3,3,no_boundary,0.5,0.0,-1.6712510150472373,-1.3184406373764859,-0.3528103776707514,1.0,0.5,0.6666666666666666
p_Zofia,melody,3,5,7,7,no_boundary,0.5,0.625,-1.6712510150472373,0.709929573971954,-2.3811805890191913,0.5833333333333334,0.5,0.5384615384615384
p_Zofia,rhythm,3,0,5,1,no_boundary,0.8333333333333334,0.0,0.306700168664886,-1.3184406373764859,1.625140806041372,1.0,0.8333333333333334,0.9090909090909091
