time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes,time_difference
0.512,261.6255653,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-0.512
1.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-1.009
1.508,329.6275569,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-1.508
2.008,349.2282314,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-2.008
2.758,391.995436,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-2.758
2.883,349.2282314,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-2.883
3.004,329.6275569,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-3.004
3.504,440.0,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-3.504
4.004,293.6647679,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-4.004
4.501,391.995436,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-4.501
5.264,440.0,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-5.264
5.514,391.995436,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-5.514
5.761,349.2282314,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-5.761
6.011,329.6275569,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-6.011
6.261,349.2282314,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-6.261
6.511,329.6275569,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-6.511
6.761,293.6647679,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-6.761
7.01,261.6255653,-17.5,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-7.01
8.506,391.995436,1.0,0,0.0,stim_maj_1,p_Z,main,0,1,1,1,-8.506
9.006,440.0,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-9.006
9.252,391.995436,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-9.252
9.502,349.2282314,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-9.502
9.752,391.995436,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-9.752
10.0,659.2551138,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-10.0
10.5,523.2511306,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-10.5
11.01,391.995436,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-11.01
11.514,349.2282314,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-11.514
11.764,329.6275569,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-11.764
12.014,349.2282314,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-12.014
12.51,587.3295358,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-12.51
13.01,329.6275569,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-13.01
13.507,523.2511306,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-13.507
14.004,293.6647679,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-14.004
14.5,493.8833013,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-14.5
15.0,523.2511306,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,1,-15.0
16.012,261.6255653,1.0,0,0.0,stim_maj_1,p_Z,main,0,1,0,1,-16.012
16.137,293.6647679,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-16.137
16.262,329.6275569,1.0,0,0.0,stim_maj_1,p_Z,main,0,0,0,0,-16.262
