,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,523.2511306011972,30.016,0,0,0,0
1,493.8833012561242,30.066,0,0,0,0
2,523.2511306011972,30.099,0,0,0,0
3,391.9954359817492,30.132,0,0,0,0
4,415.3046975799452,30.166,0,0,0,0
5,523.2511306011972,30.2,0,0,0,0
6,493.8833012561242,30.232,0,0,0,0
7,523.2511306011972,30.265,0,0,0,0
8,587.3295358348153,30.3,0,0,0,0
9,391.9954359817492,30.332,0,0,0,0
10,523.2511306011972,30.365,0,0,0,0
11,493.8833012561242,30.4,0,0,0,0
12,523.2511306011972,30.432,0,0,0,0
13,587.3295358348153,30.466,0,1,1,0
14,349.22823143300394,30.5,0,0,0,0
15,391.9954359817492,30.532,0,0,0,0
16,415.3046975799452,30.565,0,0,0,0
17,391.9954359817492,30.6,0,0,0,0
18,349.22823143300394,30.632,0,0,0,0
19,311.1269837220809,30.7,0,0,0,0
20,261.6255653005986,30.733,1,0,0,0
21,391.9954359817492,30.767,0,0,0,0
22,415.3046975799452,30.799,0,0,0,0
23,391.9954359817492,30.832,0,0,0,0
24,349.22823143300394,30.867,0,0,0,0
25,311.1269837220809,30.899,0,0,0,0
26,349.22823143300394,30.932,0,0,0,0
27,391.9954359817492,30.966,0,0,0,0
28,246.9416506280621,30.999,0,0,0,0
29,261.6255653005986,31.033,0,0,0,0
30,391.9954359817492,31.067,1,1,0,0
31,415.3046975799452,31.099,0,0,0,0
32,391.9954359817492,31.132,0,0,0,0
33,369.9944227116344,31.167,0,0,0,0
34,493.8833012561242,31.199,0,0,0,0
35,523.2511306011972,31.233,0,0,0,0
36,349.22823143300394,31.267,0,0,0,0
37,311.1269837220809,31.298,0,0,0,0
38,391.9954359817492,31.332,1,1,0,0
39,415.3046975799452,31.366,0,0,0,0
40,261.6255653005986,31.399,0,0,0,0
41,246.9416506280621,31.432,0,0,0,0
42,261.6255653005986,31.467,0,0,0,0
43,293.66476791740763,31.5,0,0,0,0
44,311.1269837220809,31.532,0,0,0,0
45,349.22823143300394,31.567,0,0,0,0
46,311.1269837220809,31.599,0,0,0,0
47,293.66476791740763,31.632,0,0,0,0
48,311.1269837220809,31.667,0,0,1,0
49,261.6255653005986,31.699,0,0,0,0
50,261.6255653005986,32.016,1,0,1,0
51,246.9416506280621,33.01,0,0,0,0
52,261.6255653005986,33.516,0,0,0,0
53,293.66476791740763,33.766,0,0,0,0
54,311.1269837220809,34.016,0,0,0,0
55,293.66476791740763,34.5,0,0,0,0
56,261.6255653005986,35.016,0,0,0,0
57,369.9944227116344,35.515,0,0,0,0
58,391.9954359817492,36.0,0,0,0,0
59,233.0818807590449,36.5,0,0,0,0
60,261.6255653005986,37.016,0,0,0,0
61,261.6255653005986,37.516,0,0,0,0
62,293.66476791740763,38.015,0,0,0,0
63,293.66476791740763,38.516,0,0,0,0
64,195.99771799087463,39.016,0,0,0,0
65,261.6255653005986,40.016,1,1,1,0
66,293.66476791740763,40.515,0,0,0,1
67,311.1269837220809,41.014,0,0,0,0
68,311.1269837220809,41.516,0,0,0,0
69,293.66476791740763,41.766,0,0,0,0
70,311.1269837220809,42.0,0,0,0,0
71,349.22823143300394,42.516,0,0,0,0
72,391.9954359817492,43.016,0,0,0,0
73,349.22823143300394,43.266,0,0,0,0
74,311.1269837220809,43.5,0,0,0,0
75,349.22823143300394,43.75,0,0,0,0
76,391.9954359817492,44.0,0,0,0,0
77,415.3046975799452,44.5,0,0,0,0
78,246.9416506280621,45.0,0,1,1,0
79,195.99771799087463,45.5,0,0,0,0
80,195.99771799087463,46.017,0,0,0,0
81,220.0,46.266,0,0,0,0
82,246.9416506280621,46.515,0,0,0,0
83,261.6255653005986,47.016,0,0,0,0
84,391.9954359817492,48.016,1,1,1,0
85,311.1269837220809,48.517,0,0,0,0
86,349.22823143300394,49.015,0,0,0,1
87,391.9954359817492,49.516,0,0,0,0
88,261.6255653005986,50.016,0,0,0,0
89,349.22823143300394,50.517,0,0,0,0
90,311.1269837220809,51.016,0,1,0,0
91,293.66476791740763,51.265,0,0,0,0
92,311.1269837220809,51.516,0,0,0,0
93,349.22823143300394,52.516,0,0,0,0
94,311.1269837220809,52.766,0,0,0,0
95,293.66476791740763,53.016,0,0,0,0
96,311.1269837220809,53.515,0,0,0,0
97,246.9416506280621,54.016,0,1,1,0
98,261.6255653005986,54.516,0,0,0,0
99,261.6255653005986,56.017,1,0,1,0
100,293.66476791740763,56.183,0,0,0,0
101,311.1269837220809,56.35,0,0,0,0
102,349.22823143300394,56.516,0,0,0,0
103,311.1269837220809,56.682,0,0,0,0
104,293.66476791740763,56.849,0,0,0,0
105,311.1269837220809,57.016,0,0,0,0
106,349.22823143300394,57.167,0,0,0,0
107,391.9954359817492,57.349,0,0,0,0
108,415.3046975799452,57.516,0,0,0,0
109,391.9954359817492,57.682,0,0,0,0
110,349.22823143300394,57.849,0,0,0,0
111,391.9954359817492,58.016,0,0,0,0
112,523.2511306011972,58.516,0,0,0,0
113,493.8833012561242,59.016,0,1,0,0
114,466.1637615180898,59.516,0,0,0,0
115,440.0,60.015,0,1,1,0
116,415.3046975799452,60.516,0,0,0,0
117,391.9954359817492,61.016,0,0,0,0
118,349.22823143300394,61.516,0,0,0,0
119,349.22823143300394,62.016,0,0,0,0
120,311.1269837220809,62.349,0,0,0,0
121,293.66476791740763,62.683,0,0,0,0
122,261.6255653005986,63.015,0,0,0,0
