,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,261.6255653,9,0,0.0,stim_maj_1,p05a,0,0,0,0
1,1.031,293.6647679,9,0,0.0,stim_maj_1,p05a,0,0,0,1
2,1.515,329.6275569,9,0,0.0,stim_maj_1,p05a,0,0,0,0
3,2.015,349.2282314,9,0,0.0,stim_maj_1,p05a,0,0,0,1
4,2.765,391.995436,9,0,0.0,stim_maj_1,p05a,0,0,0,0
5,2.89,349.2282314,9,0,0.0,stim_maj_1,p05a,0,0,0,0
6,3.015,329.6275569,9,0,0.0,stim_maj_1,p05a,0,0,0,1
7,3.515,440.0,9,0,0.0,stim_maj_1,p05a,0,0,0,0
8,4.015,293.6647679,9,0,0.0,stim_maj_1,p05a,0,0,0,1
9,4.515,391.995436,9,0,0.0,stim_maj_1,p05a,0,0,0,0
10,5.264,440.0,9,0,0.0,stim_maj_1,p05a,0,0,0,0
11,5.514,391.995436,9,0,0.0,stim_maj_1,p05a,0,0,0,0
12,5.764,349.2282314,9,0,0.0,stim_maj_1,p05a,0,0,0,0
13,6.014,329.6275569,9,0,0.0,stim_maj_1,p05a,0,0,0,1
14,6.264,349.2282314,9,0,0.0,stim_maj_1,p05a,0,0,0,0
15,6.514,329.6275569,9,0,0.0,stim_maj_1,p05a,0,0,0,0
16,6.764,293.6647679,9,0,0.0,stim_maj_1,p05a,0,0,0,0
17,7.014,261.6255653,9,0,0.0,stim_maj_1,p05a,0,0,0,1
18,8.514,391.995436,1,0,0.0,stim_maj_1,p05a,1,1,1,1
19,9.015,440.0,1,1,9.03,stim_maj_1,p05a,0,0,0,0
20,9.264,391.995436,1,0,0.0,stim_maj_1,p05a,0,0,0,0
21,9.514,349.2282314,1,0,0.0,stim_maj_1,p05a,0,0,0,0
22,9.751,391.995436,1,0,0.0,stim_maj_1,p05a,0,0,0,0
23,10.012,659.2551138,1,0,0.0,stim_maj_1,p05a,0,0,0,1
24,10.512,523.2511306,1,0,0.0,stim_maj_1,p05a,0,0,0,0
25,11.011,391.995436,18,0,0.0,stim_maj_1,p05a,1,0,1,1
26,11.511,349.2282314,18,0,0.0,stim_maj_1,p05a,0,0,0,0
27,11.76,329.6275569,18,0,0.0,stim_maj_1,p05a,0,0,0,0
28,12.01,349.2282314,18,0,0.0,stim_maj_1,p05a,0,0,0,1
29,12.51,587.3295358,18,0,0.0,stim_maj_1,p05a,0,0,0,0
30,13.01,329.6275569,18,0,0.0,stim_maj_1,p05a,0,0,0,1
31,13.51,523.2511306,18,0,0.0,stim_maj_1,p05a,0,0,0,0
32,14.008,293.6647679,18,0,0.0,stim_maj_1,p05a,0,0,0,1
33,14.508,493.8833013,18,0,0.0,stim_maj_1,p05a,0,0,0,0
