,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,0
1,0.25,493.8833013,9,0,0.0,stim_min_1,p05a,0,0,0,0
2,0.5,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,0
3,1.0,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,1
4,1.502,415.3046976,9,0,0.0,stim_min_1,p05a,0,0,0,0
5,2.003,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,1
6,2.253,493.8833013,9,0,0.0,stim_min_1,p05a,0,0,0,0
7,2.502,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,0
8,3.002,587.3295358,9,0,0.0,stim_min_1,p05a,0,0,0,1
9,3.502,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,0
10,4.002,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,1
11,4.252,493.8833013,9,0,0.0,stim_min_1,p05a,0,0,0,0
12,4.502,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,0
13,5.002,587.3295358,9,0,0.0,stim_min_1,p05a,0,0,0,1
14,5.502,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,0
15,5.752,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,0
16,6.002,415.3046976,9,0,0.0,stim_min_1,p05a,0,0,0,1
17,6.252,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,0
18,6.502,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,0
19,7.002,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,1
20,8.002,261.6255653,9,0,0.0,stim_min_1,p05a,0,1,0,1
21,9.002,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,1
22,10.502,415.3046976,9,0,0.0,stim_min_1,p05a,0,0,0,0
23,11.005,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,1
24,11.505,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,0
25,12.005,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,1
26,12.505,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,0
27,13.005,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,1
28,14.004,246.9416506,9,0,0.0,stim_min_1,p05a,0,0,0,1
29,14.504,261.6255653,9,0,0.0,stim_min_1,p05a,0,0,0,0
30,16.003,391.995436,9,0,0.0,stim_min_1,p05a,1,1,0,1
31,17.003,415.3046976,9,0,0.0,stim_min_1,p05a,0,0,0,1
32,18.009,391.995436,9,0,0.0,stim_min_1,p05a,0,0,0,1
33,19.006,369.9944227,9,0,0.0,stim_min_1,p05a,0,0,0,1
34,20.006,493.8833013,9,0,0.0,stim_min_1,p05a,1,0,0,1
35,21.011,523.2511306,9,0,0.0,stim_min_1,p05a,0,0,0,1
36,22.011,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,1
37,23.01,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,1
38,24.509,391.995436,9,0,0.0,stim_min_1,p05a,1,1,0,1
39,25.009,415.3046976,9,0,0.0,stim_min_1,p05a,0,0,0,0
40,25.509,261.6255653,9,0,0.0,stim_min_1,p05a,0,0,0,0
41,26.008,246.9416506,9,0,0.0,stim_min_1,p05a,0,0,0,1
42,27.005,261.6255653,9,0,0.0,stim_min_1,p05a,0,0,0,1
43,28.507,293.6647679,9,0,0.0,stim_min_1,p05a,0,0,0,0
44,28.757,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,0
45,29.007,349.2282314,9,0,0.0,stim_min_1,p05a,0,0,0,1
46,29.506,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,0
47,29.771,293.6647679,9,0,0.0,stim_min_1,p05a,0,0,0,0
48,30.007,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,1
49,31.006,261.6255653,1,0,0.0,stim_min_1,p05a,1,0,1,1
50,32.008,261.6255653,18,0,0.0,stim_min_1,p05a,0,1,1,1
51,33.006,246.9416506,18,0,0.0,stim_min_1,p05a,0,0,0,1
52,33.506,261.6255653,18,0,0.0,stim_min_1,p05a,0,0,0,0
53,33.756,293.6647679,18,0,0.0,stim_min_1,p05a,0,0,0,0
54,34.006,311.1269837,18,0,0.0,stim_min_1,p05a,0,0,0,1
55,34.505,293.6647679,18,0,0.0,stim_min_1,p05a,0,0,0,0
56,35.005,261.6255653,18,0,0.0,stim_min_1,p05a,0,0,0,1
57,35.504,369.9944227,18,0,0.0,stim_min_1,p05a,0,0,0,0
58,36.004,391.995436,18,0,0.0,stim_min_1,p05a,0,0,0,1
59,36.504,233.0818808,18,0,0.0,stim_min_1,p05a,0,0,0,0
60,37.003,261.6255653,18,0,0.0,stim_min_1,p05a,0,0,0,1
61,37.503,261.6255653,18,0,0.0,stim_min_1,p05a,0,0,0,0
62,38.001,293.6647679,18,0,0.0,stim_min_1,p05a,0,0,0,1
63,38.506,293.6647679,18,0,0.0,stim_min_1,p05a,0,0,0,0
64,39.005,195.997718,18,0,0.0,stim_min_1,p05a,0,0,0,1
65,40.007,261.6255653,1,0,0.0,stim_min_1,p05a,0,1,1,1
66,40.509,293.6647679,1,0,0.0,stim_min_1,p05a,0,0,0,0
67,41.008,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,1,1
68,41.508,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,0
69,41.758,293.6647679,9,0,0.0,stim_min_1,p05a,0,0,0,0
70,42.054,311.1269837,1,0,0.0,stim_min_1,p05a,1,0,1,1
71,42.507,349.2282314,1,0,0.0,stim_min_1,p05a,0,0,0,0
72,43.007,391.995436,18,0,0.0,stim_min_1,p05a,0,0,1,1
73,43.256,349.2282314,18,0,0.0,stim_min_1,p05a,0,0,0,0
74,43.506,311.1269837,18,0,0.0,stim_min_1,p05a,0,0,0,0
75,43.756,349.2282314,18,0,0.0,stim_min_1,p05a,0,0,0,0
76,44.006,391.995436,18,0,0.0,stim_min_1,p05a,0,0,0,1
77,44.512,415.3046976,18,0,0.0,stim_min_1,p05a,0,0,0,0
78,45.011,246.9416506,18,0,0.0,stim_min_1,p05a,0,0,0,1
79,45.511,195.997718,18,0,0.0,stim_min_1,p05a,0,0,0,0
80,46.011,195.997718,18,0,0.0,stim_min_1,p05a,0,0,0,1
81,46.26,220.0,18,0,0.0,stim_min_1,p05a,0,0,0,0
82,46.51,246.9416506,18,0,0.0,stim_min_1,p05a,0,0,0,0
83,47.005,261.6255653,18,0,0.0,stim_min_1,p05a,0,0,0,1
84,48.005,391.995436,1,0,0.0,stim_min_1,p05a,1,1,1,1
85,48.505,311.1269837,1,0,0.0,stim_min_1,p05a,0,0,0,0
86,49.004,349.2282314,1,0,0.0,stim_min_1,p05a,0,0,0,1
87,49.504,391.995436,1,0,0.0,stim_min_1,p05a,0,0,0,0
88,50.001,261.6255653,1,0,0.0,stim_min_1,p05a,0,0,0,1
89,50.501,349.2282314,1,0,0.0,stim_min_1,p05a,0,0,0,0
90,51.007,311.1269837,1,0,0.0,stim_min_1,p05a,0,0,0,1
91,51.257,293.6647679,1,0,0.0,stim_min_1,p05a,0,0,0,0
92,51.506,311.1269837,1,0,0.0,stim_min_1,p05a,0,0,0,0
93,52.505,349.2282314,1,0,0.0,stim_min_1,p05a,0,0,0,0
94,52.76,311.1269837,1,0,0.0,stim_min_1,p05a,0,0,0,0
95,53.01,293.6647679,9,0,0.0,stim_min_1,p05a,1,0,1,1
96,53.509,311.1269837,9,0,0.0,stim_min_1,p05a,0,0,0,0
97,54.009,246.9416506,1,0,0.0,stim_min_1,p05a,1,0,1,1
98,54.507,261.6255653,1,0,0.0,stim_min_1,p05a,0,0,0,0
99,56.006,261.6255653,18,0,0.0,stim_min_1,p05a,1,1,1,1
100,56.178,293.6647679,18,0,0.0,stim_min_1,p05a,0,0,0,0
101,56.334,311.1269837,18,0,0.0,stim_min_1,p05a,0,0,0,0
102,56.506,349.2282314,18,0,0.0,stim_min_1,p05a,0,0,0,0
