,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.502,261.6255653,9,0,0.0,stim_maj_1,p07,0,0,0,0
1,1.004,293.6647679,9,0,0.0,stim_maj_1,p07,0,0,0,1
2,1.503,329.6275569,9,0,0.0,stim_maj_1,p07,0,0,0,0
3,2.007,349.2282314,9,0,0.0,stim_maj_1,p07,0,0,0,1
4,2.757,391.995436,9,0,0.0,stim_maj_1,p07,0,0,0,0
5,2.882,349.2282314,9,0,0.0,stim_maj_1,p07,0,0,0,0
6,3.007,329.6275569,1,0,0.0,stim_maj_1,p07,0,0,1,1
7,3.504,440.0,1,0,0.0,stim_maj_1,p07,0,0,0,0
8,4.002,293.6647679,1,0,0.0,stim_maj_1,p07,0,0,0,1
9,4.51,391.995436,1,0,0.0,stim_maj_1,p07,0,0,0,0
10,5.253,440.0,1,0,0.0,stim_maj_1,p07,0,0,0,0
11,5.511,391.995436,1,0,0.0,stim_maj_1,p07,0,0,0,0
12,5.761,349.2282314,1,0,0.0,stim_maj_1,p07,0,0,0,0
13,6.015,329.6275569,1,0,0.0,stim_maj_1,p07,0,0,0,1
14,6.264,349.2282314,1,0,0.0,stim_maj_1,p07,0,0,0,0
15,6.507,329.6275569,1,0,0.0,stim_maj_1,p07,0,0,0,0
16,6.757,293.6647679,1,0,0.0,stim_maj_1,p07,0,0,0,0
17,7.007,261.6255653,1,0,0.0,stim_maj_1,p07,0,0,0,1
18,8.517,391.995436,18,0,0.0,stim_maj_1,p07,0,1,1,1
19,9.007,440.0,18,0,0.0,stim_maj_1,p07,0,0,0,0
20,9.261,391.995436,18,0,0.0,stim_maj_1,p07,0,0,0,0
21,9.514,349.2282314,18,0,0.0,stim_maj_1,p07,0,0,0,0
22,9.764,391.995436,18,0,0.0,stim_maj_1,p07,0,0,0,0
23,10.006,659.2551138,18,0,0.0,stim_maj_1,p07,0,0,0,1
24,10.501,523.2511306,18,0,0.0,stim_maj_1,p07,0,0,0,0
25,11.001,391.995436,1,0,0.0,stim_maj_1,p07,1,0,1,1
26,11.5,349.2282314,1,0,0.0,stim_maj_1,p07,0,0,0,0
27,11.76,329.6275569,1,0,0.0,stim_maj_1,p07,0,0,0,0
28,12.014,349.2282314,1,0,0.0,stim_maj_1,p07,0,0,0,1
29,12.514,587.3295358,1,0,0.0,stim_maj_1,p07,0,0,0,0
30,13.014,329.6275569,1,0,0.0,stim_maj_1,p07,0,0,0,1
31,13.522,523.2511306,1,0,0.0,stim_maj_1,p07,0,0,0,0
32,14.012,293.6647679,1,0,0.0,stim_maj_1,p07,0,0,0,1
33,14.512,493.8833013,1,0,0.0,stim_maj_1,p07,0,0,0,0
34,15.012,523.2511306,9,0,0.0,stim_maj_1,p07,1,0,1,1
35,16.01,261.6255653,9,0,0.0,stim_maj_1,p07,0,1,0,1
36,16.135,293.6647679,9,0,0.0,stim_maj_1,p07,0,0,0,0
37,16.26,329.6275569,9,0,0.0,stim_maj_1,p07,0,0,0,0
38,16.385,349.2282314,9,0,0.0,stim_maj_1,p07,0,0,0,0
39,16.51,329.6275569,9,0,0.0,stim_maj_1,p07,0,0,0,0
40,16.635,293.6647679,9,0,0.0,stim_maj_1,p07,0,0,0,0
41,16.752,329.6275569,9,0,0.0,stim_maj_1,p07,0,0,0,0
42,16.877,261.6255653,9,0,0.0,stim_maj_1,p07,0,0,0,0
43,17.002,440.0,9,0,0.0,stim_maj_1,p07,0,0,0,1
