,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.516,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,0
1,0.765,493.8833013,9,0,0.0,stim_min_3,p07,0,0,0,0
2,1.015,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,1
3,1.264,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
4,1.514,622.2539674,9,0,0.0,stim_min_3,p07,0,0,0,0
5,1.761,391.995436,9,0,0.0,stim_min_3,p07,0,0,0,0
6,2.011,415.3046976,9,0,0.0,stim_min_3,p07,1,0,0,1
7,2.261,466.1637615,9,0,0.0,stim_min_3,p07,0,0,0,0
8,2.511,415.3046976,9,1,2.526,stim_min_3,p07,0,0,0,0
9,2.761,349.2282314,9,1,2.776,stim_min_3,p07,0,0,0,0
10,3.011,698.4564629,9,0,0.0,stim_min_3,p07,0,0,0,1
11,3.26,622.2539674,9,0,0.0,stim_min_3,p07,0,0,0,0
12,3.51,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
13,3.76,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,0
14,4.01,493.8833013,9,0,0.0,stim_min_3,p07,0,0,0,1
15,4.26,830.6093952,9,0,0.0,stim_min_3,p07,0,0,0,0
16,4.51,783.990872,9,0,0.0,stim_min_3,p07,0,0,0,0
17,4.77,698.4564629,9,0,0.0,stim_min_3,p07,0,0,0,0
18,5.005,622.2539674,9,0,0.0,stim_min_3,p07,0,0,0,1
19,5.253,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
20,5.503,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,0
21,5.753,493.8833013,9,0,0.0,stim_min_3,p07,0,0,0,0
22,6.001,523.2511306,9,0,0.0,stim_min_3,p07,1,0,0,1
23,6.251,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
24,6.503,622.2539674,9,0,0.0,stim_min_3,p07,0,0,0,0
25,6.878,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
26,7.003,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,1
27,7.128,587.3295358,9,0,0.0,stim_min_3,p07,0,0,0,0
28,7.255,523.2511306,9,0,0.0,stim_min_3,p07,0,0,0,0
29,8.255,523.2511306,1,0,0.0,stim_min_3,p07,0,1,1,1
30,8.505,493.8833013,1,0,0.0,stim_min_3,p07,0,0,0,0
31,8.765,523.2511306,1,0,0.0,stim_min_3,p07,0,0,0,0
32,9.003,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,1
33,9.509,622.2539674,1,0,0.0,stim_min_3,p07,0,0,0,0
34,10.255,587.3295358,1,0,0.0,stim_min_3,p07,0,0,0,0
35,10.505,523.2511306,1,0,0.0,stim_min_3,p07,0,0,0,0
36,10.752,587.3295358,1,0,0.0,stim_min_3,p07,0,0,0,0
37,11.002,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,1
38,11.511,698.4564629,1,0,0.0,stim_min_3,p07,0,0,0,0
39,12.257,622.2539674,1,0,0.0,stim_min_3,p07,0,0,0,0
40,12.507,587.3295358,1,0,0.0,stim_min_3,p07,0,0,0,0
41,12.752,523.2511306,1,0,0.0,stim_min_3,p07,0,0,0,0
42,13.002,783.990872,1,0,0.0,stim_min_3,p07,0,0,0,1
43,13.501,523.2511306,1,0,0.0,stim_min_3,p07,0,0,0,0
44,14.001,698.4564629,1,0,0.0,stim_min_3,p07,0,0,0,1
45,14.253,622.2539674,1,0,0.0,stim_min_3,p07,0,0,0,0
46,14.503,587.3295358,1,0,0.0,stim_min_3,p07,0,0,0,0
47,14.755,493.8833013,1,0,0.0,stim_min_3,p07,0,0,0,0
48,15.005,493.8833013,1,0,0.0,stim_min_3,p07,0,0,0,1
49,15.255,523.2511306,1,0,0.0,stim_min_3,p07,0,0,0,0
50,16.006,261.6255653,18,0,0.0,stim_min_3,p07,1,1,1,1
51,16.503,293.6647679,18,0,0.0,stim_min_3,p07,0,0,0,0
52,17.008,311.1269837,18,1,17.023,stim_min_3,p07,0,0,0,1
53,17.505,261.6255653,18,0,0.0,stim_min_3,p07,0,0,0,0
54,18.001,415.3046976,1,0,0.0,stim_min_3,p07,1,0,1,1
55,18.251,415.3046976,1,0,0.0,stim_min_3,p07,0,0,0,0
56,18.501,415.3046976,1,0,0.0,stim_min_3,p07,0,0,0,0
57,18.751,415.3046976,1,0,0.0,stim_min_3,p07,0,0,0,0
58,19.001,293.6647679,1,0,0.0,stim_min_3,p07,0,0,0,1
59,19.75,293.6647679,1,0,0.0,stim_min_3,p07,0,0,0,0
60,20.012,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,1
61,20.262,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,0
62,20.512,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,0
63,20.774,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,0
64,21.009,261.6255653,1,0,0.0,stim_min_3,p07,0,0,0,1
65,21.774,415.3046976,1,0,0.0,stim_min_3,p07,0,0,0,0
66,22.011,391.995436,1,0,0.0,stim_min_3,p07,0,0,0,1
