,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.507,261.6255653,9,0,0.0,stim_maj_1,p07a,0,0,0,0
1,1.008,293.6647679,9,0,0.0,stim_maj_1,p07a,0,0,0,1
2,1.514,329.6275569,9,0,0.0,stim_maj_1,p07a,0,0,0,0
3,2.008,349.2282314,9,0,0.0,stim_maj_1,p07a,0,0,0,1
4,2.76,391.995436,9,0,0.0,stim_maj_1,p07a,0,0,0,0
5,2.885,349.2282314,9,0,0.0,stim_maj_1,p07a,0,0,0,0
6,3.013,329.6275569,1,0,0.0,stim_maj_1,p07a,1,0,1,1
7,3.508,440.0,1,0,0.0,stim_maj_1,p07a,0,0,0,0
8,4.008,293.6647679,1,0,0.0,stim_maj_1,p07a,0,0,0,1
9,4.506,391.995436,1,0,0.0,stim_maj_1,p07a,0,0,0,0
10,5.251,440.0,1,0,0.0,stim_maj_1,p07a,0,0,0,0
11,5.511,391.995436,1,0,0.0,stim_maj_1,p07a,0,0,0,0
12,5.759,349.2282314,1,0,0.0,stim_maj_1,p07a,0,0,0,0
13,6.009,329.6275569,1,0,0.0,stim_maj_1,p07a,0,0,0,1
14,6.264,349.2282314,1,0,0.0,stim_maj_1,p07a,0,0,0,0
15,6.514,329.6275569,1,0,0.0,stim_maj_1,p07a,0,0,0,0
16,6.764,293.6647679,1,0,0.0,stim_maj_1,p07a,0,0,0,0
17,7.011,261.6255653,1,0,0.0,stim_maj_1,p07a,0,0,0,1
18,8.515,391.995436,18,0,0.0,stim_maj_1,p07a,0,1,1,1
19,9.002,440.0,18,0,0.0,stim_maj_1,p07a,0,0,0,0
20,9.252,391.995436,18,0,0.0,stim_maj_1,p07a,0,0,0,0
21,9.512,349.2282314,18,0,0.0,stim_maj_1,p07a,0,0,0,0
22,9.762,391.995436,18,0,0.0,stim_maj_1,p07a,0,0,0,0
23,10.01,659.2551138,18,0,0.0,stim_maj_1,p07a,0,0,0,1
24,10.504,523.2511306,18,0,0.0,stim_maj_1,p07a,0,0,0,0
25,11.006,391.995436,18,0,0.0,stim_maj_1,p07a,0,0,0,1
26,11.502,349.2282314,18,0,0.0,stim_maj_1,p07a,0,0,0,0
