,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.501,523.2511306,9,0,0.0,stim_min_3,p07a,0,0,0,0
1,0.751,493.8833013,9,0,0.0,stim_min_3,p07a,0,0,0,0
2,1.001,523.2511306,9,0,0.0,stim_min_3,p07a,0,0,0,1
3,1.263,587.3295358,9,0,0.0,stim_min_3,p07a,0,0,0,0
4,1.513,622.2539674,9,0,0.0,stim_min_3,p07a,0,0,0,0
5,1.763,391.995436,9,0,0.0,stim_min_3,p07a,0,0,0,0
6,2.013,415.3046976,9,0,0.0,stim_min_3,p07a,0,0,0,1
7,2.25,466.1637615,9,0,0.0,stim_min_3,p07a,0,0,0,0
8,2.5,415.3046976,9,0,0.0,stim_min_3,p07a,0,0,0,0
9,2.765,349.2282314,9,0,0.0,stim_min_3,p07a,0,0,0,0
10,3.003,698.4564629,9,0,0.0,stim_min_3,p07a,0,0,0,1
11,3.253,622.2539674,9,0,0.0,stim_min_3,p07a,0,0,0,0
12,3.503,587.3295358,9,0,0.0,stim_min_3,p07a,0,0,0,0
13,3.753,523.2511306,9,0,0.0,stim_min_3,p07a,0,0,0,0
14,4.003,493.8833013,9,0,0.0,stim_min_3,p07a,0,0,0,1
15,4.258,830.6093952,9,0,0.0,stim_min_3,p07a,0,0,0,0
16,4.508,783.990872,9,0,0.0,stim_min_3,p07a,0,0,0,0
17,4.764,698.4564629,9,0,0.0,stim_min_3,p07a,0,0,0,0
18,5.014,622.2539674,9,0,0.0,stim_min_3,p07a,0,0,0,1
19,5.26,587.3295358,9,0,0.0,stim_min_3,p07a,0,0,0,0
20,5.51,523.2511306,9,0,0.0,stim_min_3,p07a,0,0,0,0
21,5.759,493.8833013,9,0,0.0,stim_min_3,p07a,0,0,0,0
22,6.009,523.2511306,9,0,0.0,stim_min_3,p07a,0,0,0,1
23,6.255,587.3295358,9,0,0.0,stim_min_3,p07a,0,0,0,0
24,6.511,622.2539674,9,0,0.0,stim_min_3,p07a,0,0,0,0
25,6.885,587.3295358,9,0,0.0,stim_min_3,p07a,0,0,0,0
26,7.01,523.2511306,1,0,0.0,stim_min_3,p07a,0,0,1,1
27,7.131,587.3295358,1,0,0.0,stim_min_3,p07a,0,0,0,0
28,7.256,523.2511306,1,0,0.0,stim_min_3,p07a,0,0,0,0
29,8.258,523.2511306,1,0,0.0,stim_min_3,p07a,1,1,0,1
30,8.505,493.8833013,1,0,0.0,stim_min_3,p07a,0,0,0,0
31,8.759,523.2511306,1,0,0.0,stim_min_3,p07a,0,0,0,0
32,9.007,391.995436,1,0,0.0,stim_min_3,p07a,0,0,0,1
33,9.504,622.2539674,1,0,0.0,stim_min_3,p07a,0,0,0,0
34,10.255,587.3295358,1,0,0.0,stim_min_3,p07a,0,0,0,0
