,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.266,261.6255653,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
1,0.512,293.6647679,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
2,0.762,329.6275569,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
3,1.014,349.2282314,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
4,1.25,293.6647679,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
5,1.511,329.6275569,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
6,1.758,261.6255653,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
7,2.008,391.995436,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
8,2.504,523.2511306,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
9,3.004,493.8833013,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
10,3.516,523.2511306,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
11,4.015,587.3295358,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
12,4.265,391.995436,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
13,4.515,440.0,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
14,4.765,493.8833013,-35,0,0.0,stim_maj_3_a,p06,0,0,0,0
15,5.002,523.2511306,1,0,0.0,stim_maj_3_a,p06,1,0,1,1
16,5.251,440.0,1,1,5.376,stim_maj_3_a,p06,0,0,0,0
17,5.514,493.8833013,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
18,5.764,391.995436,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
19,6.011,587.3295358,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
20,6.511,783.990872,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
21,7.01,391.995436,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
22,8.257,783.990872,35,0,0.0,stim_maj_3_a,p06,1,1,1,1
23,8.507,391.995436,35,1,8.707,stim_maj_3_a,p06,0,0,0,0
24,8.753,783.990872,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
25,9.003,783.990872,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
26,9.253,880.0,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
27,9.503,783.990872,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
28,9.766,880.0,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
29,10.012,698.4564629,35,0,0.0,stim_maj_3_a,p06,0,0,0,1
30,10.262,698.4564629,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
31,10.512,349.2282314,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
32,10.761,698.4564629,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
33,11.011,698.4564629,35,0,0.0,stim_maj_3_a,p06,0,0,0,1
34,11.251,783.990872,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
35,11.511,698.4564629,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
36,11.761,783.990872,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
37,12.011,659.2551138,1,0,0.0,stim_maj_3_a,p06,0,0,1,1
38,12.261,391.995436,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
39,12.508,523.2511306,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
40,12.758,587.3295358,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
41,13.008,659.2551138,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
42,13.258,391.995436,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
43,13.502,523.2511306,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
44,13.764,587.3295358,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
45,14.01,659.2551138,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
46,14.135,698.4564629,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
47,14.26,587.3295358,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
48,14.385,659.2551138,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
49,14.51,523.2511306,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
50,15.01,391.995436,-35,0,0.0,stim_maj_3_a,p06,1,0,1,1
51,15.506,523.2511306,-35,1,15.553,stim_maj_3_a,p06,0,0,0,0
52,16.003,261.6255653,-35,0,0.0,stim_maj_3_a,p06,0,1,0,1
53,17.013,293.6647679,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
54,18.005,329.6275569,-35,0,0.0,stim_maj_3_a,p06,0,0,0,1
55,19.005,349.2282314,1,1,19.628,stim_maj_3_a,p06,1,0,1,1
56,20.015,349.2282314,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
57,20.515,329.6275569,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
58,21.012,293.6647679,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
59,21.512,391.995436,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
60,22.0,329.6275569,1,0,0.0,stim_maj_3_a,p06,0,0,0,1
61,22.509,293.6647679,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
62,22.757,329.6275569,1,0,0.0,stim_maj_3_a,p06,0,0,0,0
63,23.007,261.6255653,1,0,0.0,stim_maj_3_a,p06,1,0,0,1
64,24.5,391.995436,35,0,0.0,stim_maj_3_a,p06,0,1,1,1
65,24.766,329.6275569,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
66,25.012,440.0,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
67,25.51,391.995436,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
68,26.009,349.2282314,35,0,0.0,stim_maj_3_a,p06,0,0,0,1
69,26.506,329.6275569,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
70,26.756,293.6647679,35,0,0.0,stim_maj_3_a,p06,0,0,0,0
71,27.005,391.995436,35,0,0.0,stim_maj_3_a,p06,0,0,0,1
