,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.266,261.6255653,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
1,0.512,293.6647679,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
2,0.762,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
3,1.009,349.2282314,1,0,0.0,stim_maj_3_b,p06,1,0,1,1
4,1.259,293.6647679,1,1,1.49,stim_maj_3_b,p06,0,0,0,0
5,1.506,329.6275569,1,1,1.71,stim_maj_3_b,p06,0,0,0,0
6,1.757,261.6255653,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
7,2.007,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
8,2.507,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
9,3.007,493.8833013,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
10,3.504,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
11,4.004,587.3295358,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
12,4.253,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
13,4.503,440.0,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
14,4.753,493.8833013,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
15,5.003,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
16,5.253,440.0,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
17,5.503,493.8833013,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
18,5.751,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
19,6.001,587.3295358,1,0,0.0,stim_maj_3_b,p06,1,0,0,1
20,6.514,783.990872,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
21,7.013,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
22,8.258,783.990872,35,0,0.0,stim_maj_3_b,p06,1,1,1,1
23,8.501,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
24,8.755,783.990872,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
25,9.005,783.990872,35,1,9.021,stim_maj_3_b,p06,0,0,0,0
26,9.255,880.0,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
27,9.505,783.990872,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
28,9.752,880.0,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
29,10.002,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
30,10.252,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
31,10.502,349.2282314,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
32,10.752,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
33,11.002,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
34,11.265,783.990872,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
35,11.514,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
36,11.761,783.990872,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
37,12.011,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
38,12.261,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
39,12.511,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
40,12.758,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
41,13.008,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
42,13.258,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
43,13.508,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
44,13.758,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
45,14.005,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
46,14.13,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
47,14.255,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
48,14.395,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
49,14.505,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
50,15.004,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
51,15.501,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
52,16.012,261.6255653,35,0,0.0,stim_maj_3_b,p06,0,1,0,1
53,17.002,293.6647679,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
54,18.0,329.6275569,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
55,19.0,349.2282314,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
56,20.012,349.2282314,1,0,0.0,stim_maj_3_b,p06,0,0,1,1
57,20.509,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
58,21.005,293.6647679,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
59,21.501,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
60,22.001,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
61,22.512,293.6647679,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
62,22.761,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
63,23.011,261.6255653,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
64,24.509,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,1,1,1
65,24.759,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
66,25.006,440.0,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
67,25.506,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
68,26.016,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
69,26.502,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
70,26.752,293.6647679,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
71,27.002,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
72,27.264,440.0,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
73,27.514,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
74,27.761,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
75,28.011,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
76,28.261,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
77,28.508,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
78,29.011,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
79,29.511,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
80,30.011,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
81,30.261,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
82,30.507,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
83,30.757,440.0,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
84,31.007,293.6647679,1,0,0.0,stim_maj_3_b,p06,0,0,1,1
85,31.507,261.6255653,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
86,32.004,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,1,0,1
87,32.511,493.8833013,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
88,32.761,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
89,33.011,587.3295358,1,0,0.0,stim_maj_3_b,p06,0,0,0,1
90,33.507,523.2511306,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
91,33.757,493.8833013,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
92,34.007,523.2511306,35,1,34.4,stim_maj_3_b,p06,1,0,1,1
93,35.009,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
94,35.259,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
95,35.509,493.8833013,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
96,35.759,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
97,36.007,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
98,36.257,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
99,36.507,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
100,36.754,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
101,37.004,698.4564629,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
102,37.25,391.995436,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
103,37.5,783.990872,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
104,38.013,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
105,38.251,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
106,38.508,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
107,38.758,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
108,39.008,493.8833013,35,0,0.0,stim_maj_3_b,p06,0,0,0,1
109,39.508,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
110,40.504,391.995436,1,0,0.0,stim_maj_3_b,p06,0,1,1,1
111,41.001,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
112,41.513,440.0,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
113,42.014,293.6647679,1,0,0.0,stim_maj_3_b,p06,1,0,0,1
114,42.51,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
115,42.757,349.2282314,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
116,43.007,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
117,43.507,195.997718,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
118,44.004,261.6255653,-35,0,0.0,stim_maj_3_b,p06,0,0,1,1
119,44.506,293.6647679,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
120,44.75,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
121,45.002,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,1
122,45.252,391.995436,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
123,45.515,329.6275569,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
124,45.765,349.2282314,-35,0,0.0,stim_maj_3_b,p06,0,0,0,0
125,46.015,293.6647679,1,0,0.0,stim_maj_3_b,p06,0,0,1,1
126,46.265,329.6275569,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
127,46.514,349.2282314,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
128,46.761,391.995436,1,0,0.0,stim_maj_3_b,p06,0,0,0,0
129,47.011,261.6255653,1,0,0.0,stim_maj_3_b,p06,1,0,0,1
130,48.007,523.2511306,35,0,0.0,stim_maj_3_b,p06,0,1,1,1
131,48.254,587.3295358,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
132,48.504,659.2551138,35,0,0.0,stim_maj_3_b,p06,0,0,0,0
