,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
1,0.262,493.8833013,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
2,0.512,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
3,1.008,391.995436,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
4,1.508,415.3046976,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
5,2.008,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
6,2.258,493.8833013,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
7,2.506,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
8,3.005,587.3295358,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
9,3.505,391.995436,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
10,4.005,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
11,4.255,493.8833013,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
12,4.502,523.2511306,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
13,5.014,587.3295358,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
14,5.514,349.2282314,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
15,5.764,391.995436,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
16,6.014,415.3046976,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
17,6.264,391.995436,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
18,6.514,349.2282314,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
19,7.011,311.1269837,1,1,7.683,stim_min_1_a,p06,1,0,1,1
20,8.011,261.6255653,1,0,0.0,stim_min_1_a,p06,0,1,0,1
21,9.007,391.995436,1,0,0.0,stim_min_1_a,p06,1,0,0,1
22,10.514,415.3046976,1,0,0.0,stim_min_1_a,p06,0,0,0,0
23,11.01,391.995436,1,0,0.0,stim_min_1_a,p06,0,0,0,1
24,11.51,349.2282314,1,0,0.0,stim_min_1_a,p06,0,0,0,0
25,12.007,311.1269837,35,0,0.0,stim_min_1_a,p06,0,0,1,1
26,12.507,349.2282314,35,0,0.0,stim_min_1_a,p06,0,0,0,0
27,13.003,391.995436,35,0,0.0,stim_min_1_a,p06,0,0,0,1
28,14.003,246.9416506,35,0,0.0,stim_min_1_a,p06,0,0,0,1
29,14.515,261.6255653,35,0,0.0,stim_min_1_a,p06,0,0,0,0
30,16.008,391.995436,35,0,0.0,stim_min_1_a,p06,1,1,0,1
31,17.004,415.3046976,35,0,0.0,stim_min_1_a,p06,0,0,0,1
32,18.004,391.995436,35,0,0.0,stim_min_1_a,p06,0,0,0,1
33,19.013,369.9944227,1,0,0.0,stim_min_1_a,p06,0,0,1,1
34,20.009,493.8833013,1,0,0.0,stim_min_1_a,p06,0,0,0,1
35,21.009,523.2511306,1,0,0.0,stim_min_1_a,p06,0,0,0,1
36,22.002,349.2282314,1,0,0.0,stim_min_1_a,p06,0,0,0,1
37,23.011,311.1269837,1,0,0.0,stim_min_1_a,p06,0,0,0,1
38,24.508,391.995436,-35,1,24.989,stim_min_1_a,p06,1,1,1,1
39,25.005,415.3046976,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
40,25.505,261.6255653,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
41,26.001,246.9416506,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
42,27.014,261.6255653,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
43,28.51,293.6647679,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
44,28.76,311.1269837,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
45,29.01,349.2282314,-35,0,0.0,stim_min_1_a,p06,0,0,0,1
46,29.507,311.1269837,-35,0,0.0,stim_min_1_a,p06,0,0,0,0
