,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
1,0.263,493.8833013,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
2,0.512,523.2511306,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
3,1.014,391.995436,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
4,1.511,415.3046976,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
5,2.011,523.2511306,1,0,0.0,stim_min_1_b,p06,1,0,1,1
6,2.261,493.8833013,1,1,2.433,stim_min_1_b,p06,0,0,0,0
7,2.511,523.2511306,1,0,0.0,stim_min_1_b,p06,0,0,0,0
8,3.011,587.3295358,1,0,0.0,stim_min_1_b,p06,0,0,0,1
9,3.511,391.995436,1,0,0.0,stim_min_1_b,p06,0,0,0,0
10,4.008,523.2511306,1,0,0.0,stim_min_1_b,p06,0,0,0,1
11,4.258,493.8833013,1,0,0.0,stim_min_1_b,p06,0,0,0,0
12,4.505,523.2511306,1,0,0.0,stim_min_1_b,p06,0,0,0,0
13,5.005,587.3295358,1,0,0.0,stim_min_1_b,p06,0,0,0,1
14,5.501,349.2282314,1,0,0.0,stim_min_1_b,p06,0,0,0,0
15,5.764,391.995436,1,0,0.0,stim_min_1_b,p06,0,0,0,0
16,6.014,415.3046976,1,0,0.0,stim_min_1_b,p06,0,0,0,1
17,6.264,391.995436,1,0,0.0,stim_min_1_b,p06,0,0,0,0
18,6.514,349.2282314,1,0,0.0,stim_min_1_b,p06,0,0,0,0
19,7.014,311.1269837,1,0,0.0,stim_min_1_b,p06,0,0,0,1
20,8.01,261.6255653,1,0,0.0,stim_min_1_b,p06,1,1,0,1
21,9.036,391.995436,35,0,0.0,stim_min_1_b,p06,0,0,1,1
22,10.512,415.3046976,35,0,0.0,stim_min_1_b,p06,0,0,0,0
23,11.008,391.995436,35,0,0.0,stim_min_1_b,p06,0,0,0,1
24,11.505,349.2282314,35,0,0.0,stim_min_1_b,p06,0,0,0,0
25,12.002,311.1269837,35,0,0.0,stim_min_1_b,p06,0,0,0,1
26,12.513,349.2282314,35,0,0.0,stim_min_1_b,p06,0,0,0,0
27,13.013,391.995436,35,0,0.0,stim_min_1_b,p06,0,0,0,1
28,14.01,246.9416506,35,0,0.0,stim_min_1_b,p06,0,0,0,1
29,14.51,261.6255653,35,0,0.0,stim_min_1_b,p06,0,0,0,0
30,16.004,391.995436,1,1,16.363,stim_min_1_b,p06,1,1,1,1
31,17.0,415.3046976,1,0,0.0,stim_min_1_b,p06,0,0,0,1
32,18.012,391.995436,1,0,0.0,stim_min_1_b,p06,0,0,0,1
33,19.012,369.9944227,1,0,0.0,stim_min_1_b,p06,0,0,0,1
34,20.008,493.8833013,-35,0,0.0,stim_min_1_b,p06,0,0,1,1
35,21.014,523.2511306,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
36,22.015,349.2282314,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
37,23.015,311.1269837,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
38,24.508,391.995436,-35,0,0.0,stim_min_1_b,p06,1,1,0,1
39,25.005,415.3046976,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
40,25.501,261.6255653,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
41,26.001,246.9416506,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
42,27.013,261.6255653,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
43,28.506,293.6647679,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
44,28.756,311.1269837,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
45,29.003,349.2282314,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
46,29.502,311.1269837,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
47,29.752,293.6647679,-35,0,0.0,stim_min_1_b,p06,0,0,0,0
48,30.001,311.1269837,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
49,31.013,261.6255653,-35,0,0.0,stim_min_1_b,p06,0,0,0,1
50,32.009,261.6255653,1,0,0.0,stim_min_1_b,p06,0,1,1,1
51,33.002,246.9416506,1,0,0.0,stim_min_1_b,p06,1,0,0,1
52,33.502,261.6255653,1,0,0.0,stim_min_1_b,p06,0,0,0,0
53,33.752,293.6647679,1,0,0.0,stim_min_1_b,p06,0,0,0,0
54,34.002,311.1269837,1,0,0.0,stim_min_1_b,p06,0,0,0,1
