,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,391.995436,0.515,0,0,0,0
1,329.6275569,0.84,0,0,0,0
2,440.0,1.246,0,0,0,0
3,293.6647679,1.672,0,0,0,0
4,329.6275569,2.052,0,0,0,0
5,349.2282314,2.24,0,0,0,0
6,391.995436,2.454,0,0,0,0
7,195.997718,2.858,0,0,0,0
8,261.6255653,3.269,0,0,1,0
9,293.6647679,3.653,0,0,0,0
10,329.6275569,3.86,0,0,0,0
11,349.2282314,4.103,0,1,1,0
12,391.995436,5.054,0,0,0,0
13,440.0,5.266,0,1,0,0
14,493.8833013,5.465,0,0,0,0
15,587.3295358,5.709,0,1,0,0
16,523.2511306,6.507,1,0,1,0
17,261.6255653,6.899,0,0,0,0
18,329.6275569,7.307,0,0,1,0
19,261.6255653,7.688,0,0,1,0
20,391.995436,8.127,0,0,0,0
21,349.2282314,8.972,0,1,1,1
22,329.6275569,9.713,0,0,0,0
23,293.6647679,9.903,0,0,0,0
24,261.6255653,10.134,0,0,0,0
25,246.9416506,10.734,0,0,0,0
26,220.0,10.914,0,0,0,0
27,246.9416506,11.108,0,0,0,0
28,261.6255653,11.364,0,0,0,1
29,261.6255653,12.186,0,1,0,0
30,783.990872,13.145,1,0,0,0
31,391.995436,13.331,0,0,0,0
32,783.990872,13.527,0,0,0,0
33,783.990872,13.737,0,0,0,0
34,880.0,13.938,0,0,0,0
35,783.990872,14.134,0,0,0,0
36,880.0,14.343,0,0,0,0
37,698.4564629,14.535,0,0,0,0
38,698.4564629,14.747,0,0,1,0
39,349.2282314,14.936,0,1,0,0
40,698.4564629,15.143,0,0,0,0
41,698.4564629,15.349,0,0,0,1
42,783.990872,15.551,0,0,0,0
43,698.4564629,15.749,0,0,0,0
44,783.990872,15.95,0,1,0,0
45,659.2551138,16.155,0,1,1,0
46,391.995436,16.354,0,0,0,0
47,523.2511306,16.559,0,0,1,0
48,587.3295358,16.754,0,0,0,0
49,659.2551138,16.966,0,1,0,0
50,391.995436,17.167,0,0,0,0
51,523.2511306,17.358,0,0,0,0
52,587.3295358,17.563,0,1,1,0
53,659.2551138,17.767,0,0,0,0
54,698.4564629,17.964,0,1,0,0
55,587.3295358,18.163,0,0,0,1
56,659.2551138,18.374,0,0,0,0
57,523.2511306,18.588,0,0,1,0
58,391.995436,19.004,0,0,0,0
59,261.6255653,19.379,0,0,0,0
60,523.2511306,19.568,1,1,0,0
61,587.3295358,19.675,0,0,0,0
62,659.2551138,19.768,0,0,0,0
63,587.3295358,19.876,0,0,0,0
64,523.2511306,19.978,0,0,0,0
65,783.990872,20.191,0,0,0,0
66,659.2551138,20.393,0,0,1,0
67,1046.502261,20.586,0,1,0,1
68,783.990872,20.797,0,0,0,0
69,659.2551138,20.996,0,0,0,0
70,783.990872,21.184,0,1,0,0
71,698.4564629,21.279,0,0,0,0
72,659.2551138,21.388,0,0,0,0
73,698.4564629,21.485,0,1,0,0
74,783.990872,21.592,0,1,0,0
75,523.2511306,21.8,0,0,0,0
76,659.2551138,22.007,0,0,0,0
77,391.995436,22.199,0,0,0,0
78,493.8833013,22.395,0,0,0,0
79,523.2511306,22.615,0,0,0,0
80,261.6255653,23.071,1,1,1,1
81,293.6647679,23.836,0,0,1,0
82,329.6275569,24.013,0,1,0,0
83,349.2282314,24.237,0,0,0,0
84,329.6275569,24.629,0,0,0,0
85,349.2282314,24.827,0,1,0,0
86,293.6647679,25.025,0,0,0,0
87,329.6275569,25.226,0,1,0,0
88,349.2282314,25.431,0,0,0,0
89,391.995436,25.631,0,0,0,0
90,329.6275569,25.845,0,1,0,0
91,440.0,26.266,0,0,0,0
92,391.995436,26.663,0,1,0,1
93,440.0,27.057,0,0,0,0
94,391.995436,27.236,0,1,0,0
95,349.2282314,27.448,0,0,0,0
96,391.995436,27.648,0,0,0,0
97,329.6275569,27.847,0,0,0,0
98,349.2282314,28.047,0,1,0,0
99,293.6647679,28.286,0,0,0,0
100,261.6255653,29.15,0,0,0,1
101,391.995436,30.299,1,0,1,0
102,440.0,30.685,0,1,1,0
103,391.995436,30.876,0,0,0,0
104,349.2282314,31.077,0,0,0,0
105,391.995436,31.275,0,0,0,0
106,659.2551138,31.489,0,0,1,0
107,523.2511306,31.912,0,1,0,0
108,391.995436,32.313,0,0,1,0
109,349.2282314,32.707,0,0,0,0
110,329.6275569,32.887,0,0,0,0
111,349.2282314,33.095,0,0,0,1
112,587.3295358,33.519,0,0,0,0
113,329.6275569,33.932,0,1,0,0
114,523.2511306,34.329,0,0,0,0
115,293.6647679,34.736,0,1,0,0
116,493.8833013,35.122,0,1,0,0
117,523.2511306,35.532,0,0,0,0
118,261.6255653,35.978,1,1,1,1
119,293.6647679,36.738,0,1,0,0
120,293.6647679,37.137,0,1,0,0
121,329.6275569,37.544,0,0,0,0
122,349.2282314,37.724,0,0,0,0
123,391.995436,37.939,0,1,0,0
124,349.2282314,38.324,0,0,0,0
125,391.995436,38.54,0,1,0,0
126,440.0,38.747,0,0,0,0
127,391.995436,39.209,0,0,0,0
128,349.2282314,40.012,0,1,1,1
129,329.6275569,40.789,0,0,1,0
130,293.6647679,41.206,0,0,0,0
131,261.6255653,41.986,1,0,1,0
132,523.2511306,42.397,0,0,1,0
133,523.2511306,42.794,0,0,0,1
134,523.2511306,43.203,0,0,0,0
135,349.2282314,43.633,0,0,0,0
136,440.0,44.474,0,0,0,0
137,293.6647679,45.625,0,0,0,0
138,391.995436,46.026,0,0,0,1
139,349.2282314,46.412,0,0,0,0
140,329.6275569,46.853,0,0,0,0
141,261.6255653,47.667,0,0,0,1
142,391.995436,48.635,1,0,1,0
143,440.0,48.811,0,0,0,0
144,493.8833013,49.026,0,0,0,0
145,523.2511306,49.226,0,0,0,0
146,587.3295358,49.417,0,0,0,0
147,659.2551138,49.628,0,0,0,0
148,698.4564629,49.826,0,0,0,0
149,783.990872,50.027,0,1,0,0
150,698.4564629,50.226,0,0,0,0
151,783.990872,50.434,0,1,0,0
152,880.0,50.634,0,0,0,0
153,587.3295358,50.836,0,1,0,1
154,880.0,51.032,0,0,1,0
155,783.990872,51.233,0,0,0,0
156,698.4564629,51.434,0,0,0,0
157,659.2551138,51.646,0,0,0,0
158,261.6255653,52.052,1,0,1,0
159,293.6647679,52.242,0,0,0,0
160,329.6275569,52.453,0,0,1,0
161,261.6255653,52.876,0,0,0,0
162,391.995436,53.284,0,0,0,0
163,329.6275569,53.682,0,0,0,0
164,440.0,54.088,0,0,0,0
165,493.8833013,54.476,0,0,0,0
166,587.3295358,54.657,0,1,0,0
167,523.2511306,54.925,0,0,0,0
168,391.995436,56.1,1,0,1,0
169,440.0,56.512,0,0,0,1
170,440.0,56.908,0,0,0,0
171,440.0,57.302,0,1,0,0
172,391.995436,57.684,0,0,1,0
173,349.2282314,57.887,0,1,0,0
174,391.995436,58.105,0,0,0,0
175,440.0,58.503,0,0,0,0
176,493.8833013,58.693,0,0,0,0
177,523.2511306,58.906,0,1,0,0
178,261.6255653,59.332,0,0,0,0
179,349.2282314,59.726,0,0,0,0
180,349.2282314,60.13,0,0,0,0
181,349.2282314,60.529,0,0,0,0
182,329.6275569,60.927,0,0,0,0
183,293.6647679,61.117,0,0,0,0
184,329.6275569,61.326,0,0,0,0
185,293.6647679,61.738,0,0,0,0
186,329.6275569,62.149,0,1,0,0
187,261.6255653,62.548,0,0,0,0
188,293.6647679,63.045,0,0,0,1
189,261.6255653,64.638,1,1,0,0
190,523.2511306,65.775,0,1,0,0
191,523.2511306,66.178,0,1,0,0
192,523.2511306,66.568,0,0,0,0
193,349.2282314,67.025,0,0,0,1
194,440.0,67.857,0,0,0,0
195,293.6647679,69.014,0,0,1,0
196,391.995436,69.417,0,0,0,0
197,349.2282314,69.812,0,0,0,0
198,329.6275569,70.258,0,0,1,0
199,261.6255653,71.23,0,0,0,0
