,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,554.365262,1,0,0,output_1,p01,1,1,0,0
1,1.015,329.6275569,1,0,0,output_1,p01,0,0,0,1
2,2.015,246.9416506,1,0,0,output_1,p01,0,0,0,0
3,3.015,329.6275569,1,0,0,output_1,p01,0,1,1,1
4,4.014,369.9944227,1,0,0,output_1,p01,0,0,0,0
5,5.014,783.990872,1,0,0,output_1,p01,0,0,0,1
6,6.014,369.9944227,1,0,0,output_1,p01,0,0,0,0
7,7.005,391.995436,1,0,0,output_1,p01,0,0,0,1
8,8.005,880.0,1,0,0,output_1,p01,0,0,0,0
9,9.002,659.2551138,23,0,0,output_1,p01,1,1,1,1
10,10.005,622.2539674,23,0,0,output_1,p01,0,0,0,0
11,11.005,261.6255653,23,0,0,output_1,p01,0,0,0,1
12,12.005,415.3046976,23,0,0,output_1,p01,0,0,0,0
13,13.016,587.3295358,1,0,0,output_1,p01,0,0,1,1
14,14.016,311.1269837,1,0,0,output_1,p01,0,0,0,0
15,15.015,523.2511306,1,0,0,output_1,p01,0,0,0,1
16,16.007,220.0,1,0,0,output_1,p01,0,0,0,0
17,17.006,698.4564629,1,0,0,output_1,p01,0,0,0,1
18,18.006,277.182631,1,0,0,output_1,p01,0,0,0,0
19,19.006,466.1637615,1,0,0,output_1,p01,0,0,0,1
20,20.007,329.6275569,1,0,0,output_1,p01,0,0,0,0
21,21.007,783.990872,1,0,0,output_1,p01,0,0,0,1
22,22.009,554.365262,1,0,0,output_1,p01,0,0,0,0
23,23.015,391.995436,1,0,0,output_1,p01,0,0,0,1
24,24.014,698.4564629,1,0,0,output_1,p01,0,0,0,0
25,25.012,261.6255653,1,0,0,output_1,p01,0,0,0,1
26,26.012,349.2282314,1,0,0,output_1,p01,0,0,0,0
27,27.012,293.6647679,1,0,0,output_1,p01,0,0,0,1
28,28.009,698.4564629,1,0,0,output_1,p01,0,0,0,0
29,29.007,739.9888454,1,0,0,output_1,p01,0,0,0,1
30,30.006,246.9416506,1,0,0,output_1,p01,0,0,0,0
31,31.008,880.0,1,0,0,output_1,p01,0,1,0,1
32,32.008,329.6275569,1,0,0,output_1,p01,0,0,0,0
33,33.007,622.2539674,1,0,0,output_1,p01,0,0,0,1
34,34.004,493.8833013,1,0,0,output_1,p01,0,0,0,0
35,35.001,261.6255653,1,0,0,output_1,p01,0,0,0,1
36,36.001,261.6255653,1,0,0,output_1,p01,0,0,0,0
37,37.002,523.2511306,1,0,0,output_1,p01,0,0,0,1
38,38.007,880.0,1,0,0,output_1,p01,0,0,0,0
39,39.005,587.3295358,1,0,0,output_1,p01,0,0,0,1
40,40.003,493.8833013,1,0,0,output_1,p01,1,1,1,0
41,41.003,587.3295358,1,0,0,output_1,p01,0,0,0,1
42,42.002,220.0,1,0,0,output_1,p01,0,0,0,0
43,43.016,493.8833013,1,0,0,output_1,p01,0,0,0,1
44,44.014,783.990872,1,0,0,output_1,p01,0,0,0,0
45,45.014,523.2511306,1,0,0,output_1,p01,0,0,0,1
46,46.014,493.8833013,1,0,0,output_1,p01,0,0,0,0
47,47.013,233.0818808,1,0,0,output_1,p01,1,0,1,1
48,48.014,440.0,1,0,0,output_1,p01,0,0,0,0
49,49.008,246.9416506,1,0,0,output_1,p01,0,0,0,1
50,50.008,349.2282314,1,0,0,output_1,p01,0,0,0,0
51,51.006,587.3295358,1,0,0,output_1,p01,0,0,0,1
52,52.006,415.3046976,1,0,0,output_1,p01,0,0,0,0
53,53.005,369.9944227,1,0,0,output_1,p01,0,0,0,1
54,54.003,329.6275569,1,0,0,output_1,p01,0,0,0,0
55,55.001,329.6275569,23,0,0,output_1,p01,1,0,1,1
56,56.0,587.3295358,23,0,0,output_1,p01,0,0,0,0
57,57.005,554.365262,23,0,0,output_1,p01,0,0,0,1
58,58.003,293.6647679,23,0,0,output_1,p01,0,0,0,0
59,59.002,493.8833013,1,0,0,output_1,p01,0,1,1,1
