,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.25,261.6255653,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
1,0.5,293.6647679,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
2,0.765,329.6275569,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
3,1.015,349.2282314,1,0,0.0,stim_maj_3_a,p01,0,0,0,1
4,1.265,293.6647679,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
5,1.515,329.6275569,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
6,1.765,261.6255653,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
7,2.015,391.995436,1,0,0.0,stim_maj_3_a,p01,1,0,1,1
8,2.515,523.2511306,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
9,3.015,493.8833013,1,0,0.0,stim_maj_3_a,p01,0,0,0,1
10,3.515,523.2511306,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
11,4.015,587.3295358,1,0,0.0,stim_maj_3_a,p01,1,0,0,1
12,4.265,391.995436,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
13,4.515,440.0,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
14,4.764,493.8833013,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
15,5.014,523.2511306,1,0,0.0,stim_maj_3_a,p01,0,0,0,1
16,5.264,440.0,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
17,5.514,493.8833013,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
18,5.764,391.995436,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
19,6.014,587.3295358,1,0,0.0,stim_maj_3_a,p01,0,0,0,1
20,6.514,783.990872,1,0,0.0,stim_maj_3_a,p01,0,0,0,0
21,7.014,391.995436,1,0,0.0,stim_maj_3_a,p01,0,0,0,1
22,8.279,783.990872,23,0,0.0,stim_maj_3_a,p01,1,1,1,1
23,8.513,391.995436,23,0,0.0,stim_maj_3_a,p01,0,0,0,0
24,8.763,783.990872,23,0,0.0,stim_maj_3_a,p01,0,0,0,0
25,9.013,783.990872,23,1,9.029,stim_maj_3_a,p01,0,0,0,0
26,9.253,880.0,23,0,0.0,stim_maj_3_a,p01,0,0,0,0
27,9.503,783.990872,23,0,0.0,stim_maj_3_a,p01,0,0,0,0
28,9.753,880.0,23,0,0.0,stim_maj_3_a,p01,0,0,0,0
29,10.003,698.4564629,23,0,0.0,stim_maj_3_a,p01,0,0,0,1
