,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
1,0.765,493.8833013,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
2,1.016,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
3,1.266,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
4,1.516,622.2539674,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
5,1.765,391.995436,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
6,2.015,415.3046976,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
7,2.265,466.1637615,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
8,2.515,415.3046976,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
9,2.78,349.2282314,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
10,3.015,698.4564629,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
11,3.265,622.2539674,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
12,3.507,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
13,3.757,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
14,4.007,493.8833013,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
15,4.257,830.6093952,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
16,4.507,783.990872,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
17,4.757,698.4564629,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
18,5.004,622.2539674,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
19,5.253,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
20,5.501,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
21,5.751,493.8833013,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
22,6.002,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
23,6.252,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
24,6.502,622.2539674,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
25,6.877,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
26,7.002,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,1
27,7.127,587.3295358,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
28,7.252,523.2511306,-35,0,0.0,stim_min_3_b,p02,0,0,0,0
29,8.252,523.2511306,1,0,0.0,stim_min_3_b,p02,1,1,1,1
30,8.501,493.8833013,1,0,0.0,stim_min_3_b,p02,0,0,0,0
31,8.752,523.2511306,1,1,8.767,stim_min_3_b,p02,0,0,0,0
32,9.001,391.995436,1,0,0.0,stim_min_3_b,p02,0,0,0,1
33,9.501,622.2539674,1,0,0.0,stim_min_3_b,p02,0,0,0,0
34,10.263,587.3295358,1,0,0.0,stim_min_3_b,p02,0,0,0,0
35,10.513,523.2511306,1,0,0.0,stim_min_3_b,p02,0,0,0,0
36,10.763,587.3295358,1,0,0.0,stim_min_3_b,p02,0,0,0,0
