,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
1,0.5,311.1269837,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
2,1.007,261.6255653,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
3,1.506,415.3046976,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
4,2.006,415.3046976,1,0,0.0,stim_min_2_a,p03,1,0,1,1
5,2.506,391.995436,1,0,0.0,stim_min_2_a,p03,0,0,0,0
6,2.88,493.8833013,1,1,2.895,stim_min_2_a,p03,0,0,0,0
7,3.005,523.2511306,1,0,0.0,stim_min_2_a,p03,0,0,0,1
8,3.504,349.2282314,1,0,0.0,stim_min_2_a,p03,0,0,0,0
9,4.004,349.2282314,1,0,0.0,stim_min_2_a,p03,0,0,0,1
10,4.504,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
11,4.878,493.8833013,1,0,0.0,stim_min_2_a,p03,0,0,0,0
12,5.002,523.2511306,1,0,0.0,stim_min_2_a,p03,0,0,0,1
13,5.503,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
14,6.003,311.1269837,35,0,0.0,stim_min_2_a,p03,0,0,1,1
15,6.174,349.2282314,35,0,0.0,stim_min_2_a,p03,0,0,0,0
16,6.347,391.995436,35,0,0.0,stim_min_2_a,p03,0,0,0,0
17,6.503,349.2282314,35,0,0.0,stim_min_2_a,p03,0,0,0,0
18,6.674,311.1269837,35,0,0.0,stim_min_2_a,p03,0,0,0,0
19,6.846,293.6647679,35,0,0.0,stim_min_2_a,p03,0,0,0,0
20,7.002,261.6255653,35,0,0.0,stim_min_2_a,p03,0,0,0,1
21,8.503,391.995436,1,0,0.0,stim_min_2_a,p03,1,1,1,1
22,9.003,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
23,9.503,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
24,10.003,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,1
25,10.502,415.3046976,1,0,0.0,stim_min_2_a,p03,0,0,0,0
26,10.752,349.2282314,1,0,0.0,stim_min_2_a,p03,0,0,0,0
27,11.002,246.9416506,1,0,0.0,stim_min_2_a,p03,0,0,0,1
28,11.501,246.9416506,1,0,0.0,stim_min_2_a,p03,0,0,0,0
29,12.001,246.9416506,1,0,0.0,stim_min_2_a,p03,0,0,0,1
30,12.251,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
31,12.501,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
32,12.751,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
33,13.001,349.2282314,1,0,0.0,stim_min_2_a,p03,0,0,0,1
34,13.251,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
35,13.501,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
36,13.751,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
37,14.0,349.2282314,-35,0,0.0,stim_min_2_a,p03,1,0,1,1
38,14.265,415.3046976,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
39,14.515,391.995436,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
40,14.765,349.2282314,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
41,15.016,311.1269837,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
42,16.015,523.2511306,-35,0,0.0,stim_min_2_a,p03,1,1,0,1
43,16.265,587.3295358,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
44,16.515,493.8833013,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
45,16.765,523.2511306,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
46,17.016,440.0,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
47,17.516,880.0,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
48,18.015,830.6093952,-35,0,0.0,stim_min_2_a,p03,1,0,0,1
49,18.265,880.0,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
50,18.515,739.9888454,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
51,18.765,830.6093952,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
52,19.005,659.2551138,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
53,19.504,880.0,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
54,19.753,659.2551138,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
55,20.003,698.4564629,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
56,20.502,587.3295358,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
57,21.002,391.995436,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
58,21.501,783.990872,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
59,22.001,659.2551138,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
60,22.251,698.4564629,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
61,22.5,587.3295358,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
62,22.75,659.2551138,-35,0,0.0,stim_min_2_a,p03,0,0,0,0
63,23.0,523.2511306,-35,0,0.0,stim_min_2_a,p03,0,0,0,1
64,24.503,261.6255653,1,0,0.0,stim_min_2_a,p03,0,1,1,1
65,25.003,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
66,25.503,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
67,26.003,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,1
68,26.518,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
69,27.002,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,1
70,27.265,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
71,27.515,349.2282314,1,0,0.0,stim_min_2_a,p03,0,0,0,0
72,27.765,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
73,28.014,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,1
74,28.513,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
75,28.763,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
76,29.013,261.6255653,35,0,0.0,stim_min_2_a,p03,1,0,1,1
77,29.513,293.6647679,35,0,0.0,stim_min_2_a,p03,0,0,0,0
78,30.013,311.1269837,35,0,0.0,stim_min_2_a,p03,0,0,0,1
79,30.278,293.6647679,35,0,0.0,stim_min_2_a,p03,0,0,0,0
80,30.512,311.1269837,35,0,0.0,stim_min_2_a,p03,0,0,0,0
81,30.762,349.2282314,35,0,0.0,stim_min_2_a,p03,0,0,0,0
82,31.012,391.995436,35,0,0.0,stim_min_2_a,p03,1,0,0,1
83,32.012,261.6255653,1,0,0.0,stim_min_2_a,p03,0,1,1,1
84,33.012,391.995436,1,0,0.0,stim_min_2_a,p03,0,0,0,1
85,34.01,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,1
86,35.508,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
87,36.008,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,1
88,36.507,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,0
89,37.007,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,1
90,37.506,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
91,38.005,246.9416506,1,0,0.0,stim_min_2_a,p03,0,0,0,1
92,38.51,220.0,1,0,0.0,stim_min_2_a,p03,0,0,0,0
93,39.01,195.997718,1,0,0.0,stim_min_2_a,p03,0,0,0,1
94,40.509,261.6255653,1,0,0.0,stim_min_2_a,p03,0,1,0,1
95,41.008,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
96,41.507,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
97,42.022,311.1269837,1,0,0.0,stim_min_2_a,p03,0,0,0,1
98,43.505,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,0
99,43.755,261.6255653,1,0,0.0,stim_min_2_a,p03,0,0,0,0
100,44.005,293.6647679,1,0,0.0,stim_min_2_a,p03,0,0,0,1
