,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,261.6255653,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
1,1.0,293.6647679,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
2,1.515,329.6275569,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
3,2.015,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
4,2.75,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
5,2.89,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
6,3.015,329.6275569,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
7,3.515,440.0,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
8,4.014,293.6647679,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
9,4.508,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
10,5.258,440.0,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
11,5.507,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
12,5.757,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
13,6.006,329.6275569,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
14,6.257,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
15,6.511,329.6275569,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
16,6.761,293.6647679,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
17,7.004,261.6255653,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
18,8.504,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,1.0,1.0,1.0
19,9.019,440.0,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
20,9.254,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
21,9.513,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
22,9.763,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
23,10.015,659.2551138,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
24,10.514,523.2511306,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
25,11.014,391.995436,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,1.0
26,11.527,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
27,11.754,329.6275569,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
28,12.004,23,1,0,0.0,stim_maj_1_b,p01,1.0,0.0,1.0,1.0
29,12.004,349.2282314,1,0,0.0,stim_maj_1_b,p01,0.0,0.0,0.0,0.0
