,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
1,0.5,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
2,1.015,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
3,1.515,415.3046976,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
4,2.0,415.3046976,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
5,2.5,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
6,2.875,493.8833013,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
7,3.003,523.2511306,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
8,3.503,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
9,4.0,349.2282314,1,0,0.0,stim_min_2_b,p01,1.0,0.0,1.0,1.0
10,4.5,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
11,4.876,493.8833013,1,1,4.892,stim_min_2_b,p01,0.0,0.0,0.0,0.0
12,5.001,523.2511306,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
13,5.5,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
14,6.0,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
15,6.172,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
16,6.344,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
17,6.5,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
18,6.671,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
19,6.843,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
20,7.015,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
21,8.513,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,1.0,0.0,1.0
22,9.015,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
23,9.513,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
24,10.014,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
25,10.514,415.3046976,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
26,10.763,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
27,11.012,246.9416506,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
28,11.513,246.9416506,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
29,12.011,246.9416506,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
30,12.261,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
31,12.511,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
32,12.761,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
33,13.011,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
34,13.261,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
35,13.509,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
36,13.758,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
37,14.008,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
38,14.258,415.3046976,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
39,14.508,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
40,14.755,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
41,15.005,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
42,16.019,23,1,0,0.0,stim_min_2_b,p01,0.0,1.0,1.0,1.0
43,16.019,523.2511306,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
44,16.254,587.3295358,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
45,16.503,493.8833013,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
46,16.753,523.2511306,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
47,17.003,440.0,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
48,17.502,880.0,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
49,18.002,830.6093952,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
50,18.252,880.0,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
51,18.502,739.9888454,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
52,18.751,830.6093952,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
53,19.001,659.2551138,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
54,19.501,880.0,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
55,19.753,659.2551138,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
56,20.003,698.4564629,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
57,20.501,587.3295358,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
58,21.0,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
59,21.513,783.990872,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
60,22.012,659.2551138,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
61,22.254,698.4564629,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
62,22.5,587.3295358,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
63,22.75,659.2551138,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
64,23.001,523.2511306,1,0,0.0,stim_min_2_b,p01,1.0,1.0,0.0,1.0
65,24.5,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
66,25.002,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
67,25.502,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,1.0,1.0
68,26.002,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
69,26.502,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
70,27.002,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
71,27.262,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
72,27.512,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
73,27.762,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
74,28.012,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
75,28.514,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
76,28.763,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
77,29.012,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
78,29.512,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
79,30.011,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
80,30.261,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
81,30.511,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
82,30.76,349.2282314,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
83,31.011,391.995436,1,0,0.0,stim_min_2_b,p01,0.0,1.0,1.0,1.0
84,32.003,261.6255653,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
85,33.007,391.995436,1,0,0.0,stim_min_2_b,p01,1.0,0.0,1.0,1.0
86,34.003,311.1269837,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,0.0
87,35.508,293.6647679,1,0,0.0,stim_min_2_b,p01,0.0,0.0,0.0,1.0
