,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,stim_min_3.csv,0.0,0,0,0,0
1,9,0.0,0,0,0,0
2,523.2511306,0.5,0,0,0,0
3,493.8833013,0.765,0,0,0,0
4,523.2511306,1.015,0,0,0,0
5,587.3295358,1.265,0,0,0,0
6,622.2539674,1.515,0,0,0,0
7,391.995436,1.764,0,0,0,0
8,415.3046976,2.014,0,0,0,0
9,466.1637615,2.264,0,0,0,0
10,415.3046976,2.514,0,0,0,0
11,349.2282314,2.764,0,0,0,0
12,698.4564629,3.015,0,0,0,0
13,622.2539674,3.265,0,0,0,0
14,587.3295358,3.515,0,0,0,0
15,523.2511306,3.765,0,0,0,0
16,493.8833013,4.0,0,0,0,0
17,830.6093952,4.257,0,0,0,0
18,783.990872,4.507,0,0,0,0
19,698.4564629,4.757,0,0,0,0
20,622.2539674,5.007,0,0,0,0
21,587.3295358,5.257,0,0,0,0
22,523.2511306,5.508,0,1,1,0
23,493.8833013,5.759,0,0,0,0
24,1,6.009,0,0,0,0
25,523.2511306,6.025,0,0,0,0
26,587.3295358,6.26,0,0,0,0
27,622.2539674,6.51,0,0,0,0
28,587.3295358,6.884,0,0,0,1
29,523.2511306,7.009,1,0,1,0
30,587.3295358,7.134,0,0,0,0
31,523.2511306,7.259,0,0,0,0
32,523.2511306,8.256,0,0,0,0
33,493.8833013,8.505,0,0,0,0
34,523.2511306,8.755,0,0,0,0
35,391.995436,9.005,0,0,0,0
36,622.2539674,9.505,0,0,0,0
37,587.3295358,10.254,0,0,0,0
38,523.2511306,10.504,0,0,0,0
39,587.3295358,10.753,0,0,0,0
40,391.995436,11.003,0,0,0,0
41,698.4564629,11.504,0,0,0,0
42,622.2539674,12.253,0,0,0,0
43,587.3295358,12.503,0,0,0,0
44,523.2511306,12.753,0,0,0,0
45,783.990872,13.003,0,0,0,0
46,523.2511306,13.513,0,0,0,0
47,698.4564629,14.013,0,0,0,0
48,622.2539674,14.263,0,1,0,0
49,587.3295358,14.513,0,0,0,0
50,493.8833013,14.763,1,1,0,0
51,18,15.013,0,0,0,0
52,493.8833013,15.013,0,0,0,0
53,523.2511306,15.263,0,0,0,0
54,1,16.013,0,0,0,0
55,261.6255653,16.013,0,0,0,0
56,293.6647679,16.511,0,0,0,0
57,311.1269837,17.011,0,0,0,0
58,261.6255653,17.511,0,0,0,0
59,415.3046976,18.01,0,0,0,0
60,415.3046976,18.252,0,0,0,0
61,415.3046976,18.517,0,0,0,0
62,415.3046976,18.752,0,0,0,0
63,293.6647679,19.012,0,0,0,0
64,293.6647679,19.762,0,0,0,0
65,391.995436,20.012,0,0,0,0
66,391.995436,20.262,0,0,0,0
67,391.995436,20.51,0,0,0,0
68,391.995436,20.76,0,0,0,0
69,261.6255653,21.009,0,0,0,0
70,415.3046976,21.758,0,0,0,0
71,391.995436,22.008,0,0,0,0
72,415.3046976,22.258,1,1,0,0
73,349.2282314,22.508,0,0,0,0
74,391.995436,22.758,0,0,0,0
75,311.1269837,23.008,0,0,0,0
76,261.6255653,23.504,0,0,0,0
77,9,24.006,0,0,0,0
78,391.995436,24.006,0,0,1,0
79,261.6255653,25.006,0,0,0,0
80,293.6647679,25.764,0,0,0,0
81,311.1269837,26.014,0,0,0,0
82,349.2282314,26.766,0,0,0,0
83,391.995436,27.015,0,0,0,0
84,415.3046976,28.015,1,0,0,0
85,391.995436,29.008,0,0,0,0
86,349.2282314,29.758,0,1,1,0
87,311.1269837,30.006,0,0,0,0
88,293.6647679,30.756,0,0,0,0
89,261.6255653,31.008,0,0,0,0
90,523.2511306,32.006,0,0,0,0
91,587.3295358,32.506,0,0,0,0
92,1,33.006,0,0,0,0
93,622.2539674,33.006,0,0,0,0
94,523.2511306,33.506,0,0,0,0
95,783.990872,34.007,0,0,0,0
96,523.2511306,35.504,0,0,0,0
97,830.6093952,36.004,1,1,1,0
98,523.2511306,37.504,0,0,0,0
99,783.990872,38.004,0,0,0,0
100,698.4564629,38.753,0,0,0,0
101,622.2539674,39.003,0,0,0,0
102,587.3295358,39.253,0,0,0,0
103,523.2511306,39.518,0,0,0,0
104,18,40.502,0,1,1,0
105,391.995436,40.517,0,0,0,0
106,349.2282314,41.001,0,0,0,0
107,391.995436,41.501,0,0,0,0
108,415.3046976,42.0,0,0,0,0
109,440.0,42.514,0,0,0,0
110,391.995436,43.014,0,0,0,0
111,440.0,43.504,1,0,1,0
112,1,44.004,0,0,0,0
113,466.1637615,44.004,0,0,0,0
114,493.8833013,44.504,0,0,0,0
115,415.3046976,45.005,0,0,0,1
116,493.8833013,45.505,0,0,0,0
117,523.2511306,46.005,0,0,0,0
118,391.995436,46.518,0,1,0,0
119,261.6255653,47.002,0,0,0,0
120,195.997718,48.252,0,0,0,0
121,261.6255653,48.502,0,0,0,0
122,311.1269837,48.752,0,0,0,0
123,293.6647679,49.002,0,0,0,0
124,195.997718,49.251,0,0,0,0
