,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,stim_maj_3.csv,0.0,0,0,0,0
1,9,0.0,0,0,0,0
2,261.6255653,0.266,0,0,0,0
3,293.6647679,0.515,0,0,0,0
4,329.6275569,0.765,0,0,0,0
5,349.2282314,1.004,0,0,0,0
6,293.6647679,1.254,0,0,0,0
7,329.6275569,1.504,0,0,0,0
8,261.6255653,1.754,0,0,0,0
9,391.995436,2.004,0,0,0,0
10,523.2511306,2.503,0,0,0,0
11,493.8833013,3.003,0,0,1,0
12,523.2511306,3.51,0,0,0,0
13,587.3295358,4.01,0,0,0,0
14,391.995436,4.26,0,0,0,0
15,440.0,4.51,0,0,0,0
16,493.8833013,4.775,0,0,0,0
17,523.2511306,5.009,0,0,0,0
18,440.0,5.259,0,0,0,0
19,493.8833013,5.504,0,0,0,0
20,391.995436,5.754,0,0,0,0
21,587.3295358,6.004,0,0,0,0
22,783.990872,6.51,1,1,1,0
23,391.995436,7.008,0,0,0,0
24,1,8.26,0,0,0,0
25,783.990872,8.26,0,0,0,0
26,391.995436,8.51,0,0,0,0
27,783.990872,8.76,0,0,0,0
28,783.990872,9.01,0,0,0,1
29,880.0,9.259,0,0,0,0
30,783.990872,9.509,0,0,0,0
31,880.0,9.759,0,0,0,0
32,698.4564629,10.009,0,0,0,0
33,698.4564629,10.259,0,1,1,0
34,349.2282314,10.509,0,0,0,0
35,698.4564629,10.759,0,0,0,0
36,18,11.008,0,0,0,0
37,698.4564629,11.008,0,0,0,0
38,783.990872,11.258,0,0,0,0
39,698.4564629,11.508,0,0,0,0
40,783.990872,11.758,0,0,0,0
41,659.2551138,12.008,0,0,0,0
42,391.995436,12.258,0,0,0,0
43,523.2511306,12.508,0,0,0,0
44,587.3295358,12.757,0,0,0,0
45,659.2551138,13.007,0,0,0,0
46,391.995436,13.257,0,0,0,0
47,523.2511306,13.522,0,0,0,0
48,587.3295358,13.756,0,0,0,0
49,659.2551138,14.006,0,0,0,0
50,698.4564629,14.131,0,0,0,0
51,587.3295358,14.256,0,0,0,0
52,659.2551138,14.381,1,0,1,0
53,523.2511306,14.506,0,0,1,0
54,391.995436,15.005,0,0,0,0
55,523.2511306,15.511,0,1,0,0
56,261.6255653,16.011,0,0,0,0
57,293.6647679,17.01,0,0,0,0
58,329.6275569,18.011,0,0,0,0
59,1,19.014,0,0,0,0
60,349.2282314,19.014,0,0,0,0
61,349.2282314,20.013,0,0,0,0
62,329.6275569,20.512,0,0,0,0
63,293.6647679,21.011,0,0,0,0
64,391.995436,21.511,1,0,0,0
65,329.6275569,22.009,0,0,0,0
66,293.6647679,22.507,0,0,0,0
67,329.6275569,22.757,0,0,0,0
68,261.6255653,23.007,0,0,0,0
69,391.995436,24.506,0,0,0,0
70,329.6275569,24.756,0,0,0,0
71,440.0,25.006,0,1,1,0
72,391.995436,25.506,0,0,0,0
73,349.2282314,26.006,0,0,0,0
74,329.6275569,26.514,0,0,0,0
75,293.6647679,26.764,0,0,0,0
76,9,27.014,0,0,0,0
77,391.995436,27.014,0,0,0,0
78,440.0,27.264,0,1,0,0
79,349.2282314,27.514,0,0,0,0
80,391.995436,27.764,0,0,0,0
81,329.6275569,28.014,0,0,0,0
82,349.2282314,28.264,0,0,0,0
83,391.995436,28.514,0,0,0,0
84,1,29.014,0,0,0,0
85,391.995436,29.014,0,0,0,0
86,349.2282314,29.514,1,0,0,0
87,329.6275569,30.013,0,0,0,0
88,349.2282314,30.263,0,0,0,0
89,391.995436,30.518,0,0,0,0
90,440.0,30.753,0,0,0,0
91,293.6647679,31.003,0,0,0,0
92,261.6255653,31.503,0,0,0,0
93,523.2511306,32.003,0,0,0,0
94,493.8833013,32.514,0,0,0,0
95,523.2511306,32.764,0,0,0,0
96,587.3295358,33.014,0,0,0,0
97,523.2511306,33.513,0,0,0,0
98,493.8833013,33.763,0,0,0,0
99,523.2511306,34.013,0,0,0,0
100,523.2511306,35.013,0,0,0,0
101,587.3295358,35.263,0,0,0,0
102,493.8833013,35.513,0,0,0,0
103,523.2511306,35.763,0,0,0,0
104,587.3295358,36.013,0,0,0,0
105,391.995436,36.263,0,0,0,0
106,659.2551138,36.513,0,0,0,0
107,391.995436,36.752,0,0,0,0
108,698.4564629,37.002,0,0,0,0
109,391.995436,37.253,0,0,0,0
110,783.990872,37.503,1,1,0,0
111,659.2551138,38.003,0,0,0,0
112,587.3295358,38.252,0,0,0,0
113,523.2511306,38.502,0,0,0,0
114,587.3295358,38.752,0,0,0,0
115,493.8833013,39.002,0,0,0,0
116,523.2511306,39.501,0,0,0,0
117,18,40.502,0,0,0,0
118,391.995436,40.502,0,0,0,0
119,329.6275569,41.014,0,0,0,0
120,440.0,41.514,0,0,0,0
121,293.6647679,42.014,0,0,0,0
122,329.6275569,42.513,0,0,0,0
123,349.2282314,42.763,0,0,0,0
124,391.995436,43.013,0,0,0,0
125,195.997718,43.513,0,0,0,0
126,261.6255653,44.013,0,0,0,0
127,293.6647679,44.513,0,0,0,0
128,329.6275569,44.763,0,0,0,0
129,349.2282314,45.013,0,0,0,0
130,391.995436,45.263,1,1,0,0
131,329.6275569,45.515,0,0,0,0
132,349.2282314,45.765,0,0,0,0
133,293.6647679,46.015,0,0,0,0
134,329.6275569,46.263,0,0,0,0
135,349.2282314,46.513,0,0,0,0
136,391.995436,46.763,0,0,0,0
137,261.6255653,47.013,0,0,0,0
138,1,48.014,0,0,0,0
139,523.2511306,48.014,0,0,0,0
140,587.3295358,48.264,0,0,0,0
141,659.2551138,48.514,0,0,0,0
142,523.2511306,48.764,0,0,0,0
143,391.995436,49.013,0,0,0,0
144,659.2551138,49.262,0,0,0,0
145,587.3295358,49.512,0,0,0,0
146,523.2511306,49.762,0,1,1,0
147,587.3295358,50.012,0,0,0,0
148,659.2551138,50.262,0,0,0,0
149,698.4564629,50.512,0,0,0,0
150,587.3295358,50.762,0,0,0,0
151,391.995436,51.011,0,0,0,0
152,698.4564629,51.261,0,0,0,0
153,659.2551138,51.511,0,0,0,0
154,587.3295358,51.76,0,0,0,0
155,9,52.01,0,0,0,0
156,659.2551138,52.01,0,0,0,0
157,523.2511306,52.26,0,0,0,0
158,880.0,52.51,0,0,0,0
159,783.990872,52.76,1,1,1,1
160,698.4564629,53.01,0,0,0,0
161,659.2551138,53.259,0,0,0,0
162,587.3295358,53.508,0,1,1,0
163,523.2511306,53.758,0,0,0,0
164,391.995436,54.008,0,0,0,0
165,440.0,54.258,0,0,0,0
166,493.8833013,54.508,0,0,0,0
167,391.995436,54.758,0,0,0,0
168,523.2511306,55.008,0,0,0,0
169,1,56.503,0,0,0,0
170,261.6255653,56.503,0,0,0,0
171,261.6255653,57.003,0,0,0,0
172,293.6647679,57.502,0,0,0,0
173,18,58.008,0,0,0,0
