,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,stim_min_2.csv,0.0,0,0,0,0
1,9,0.0,0,0,0,0
2,391.995436,0.016,0,0,0,0
3,311.1269837,0.5,0,0,0,0
4,261.6255653,1.0,0,0,0,0
5,415.3046976,1.504,0,0,0,0
6,415.3046976,2.004,0,0,0,0
7,391.995436,2.51,0,0,0,0
8,493.8833013,2.879,0,0,0,0
9,523.2511306,3.004,0,0,0,0
10,349.2282314,3.503,0,0,0,0
11,349.2282314,4.003,0,0,0,0
12,311.1269837,4.503,0,0,0,0
13,493.8833013,4.878,0,0,0,0
14,523.2511306,5.003,0,0,0,0
15,293.6647679,5.504,0,0,0,0
16,311.1269837,6.003,0,0,0,0
17,349.2282314,6.174,0,0,0,0
18,391.995436,6.346,0,0,0,0
19,349.2282314,6.502,0,0,0,0
20,311.1269837,6.674,0,0,0,0
21,293.6647679,6.846,1,1,1,0
22,261.6255653,7.002,0,0,0,0
23,1,8.503,0,0,0,0
24,391.995436,8.503,0,0,0,0
25,261.6255653,9.003,0,0,0,1
26,261.6255653,9.505,0,0,0,0
27,261.6255653,10.005,0,0,0,0
28,415.3046976,10.505,0,0,0,0
29,349.2282314,10.755,0,1,0,0
30,246.9416506,11.005,0,0,0,0
31,246.9416506,11.505,0,0,0,0
32,18,12.005,0,0,0,0
33,246.9416506,12.005,0,0,0,0
34,261.6255653,12.255,0,0,0,0
35,293.6647679,12.504,0,0,0,0
36,311.1269837,12.753,0,0,0,0
37,349.2282314,13.003,0,0,0,0
38,311.1269837,13.253,0,0,0,0
39,293.6647679,13.502,0,0,0,0
40,311.1269837,13.752,0,0,0,0
41,349.2282314,14.016,0,1,0,0
42,415.3046976,14.251,1,1,0,0
43,391.995436,14.501,0,0,0,0
44,349.2282314,14.751,0,0,0,0
45,1,15.001,0,0,0,0
46,311.1269837,15.001,0,0,0,0
47,9,16.001,0,0,0,0
48,523.2511306,16.001,0,0,0,0
49,587.3295358,16.251,0,0,0,0
50,493.8833013,16.501,0,0,0,0
51,523.2511306,16.751,0,0,0,0
52,440.0,17.001,0,0,0,0
53,880.0,17.502,0,0,0,0
54,830.6093952,18.003,0,0,0,0
55,880.0,18.264,0,0,0,0
56,739.9888454,18.514,0,0,0,0
57,830.6093952,18.764,0,0,0,0
58,659.2551138,19.029,0,0,0,0
59,880.0,19.513,0,0,0,0
60,659.2551138,19.763,0,0,0,0
61,698.4564629,20.013,0,0,0,0
62,587.3295358,20.513,0,0,0,0
63,391.995436,21.011,0,0,0,0
64,783.990872,21.511,1,1,1,0
65,659.2551138,22.011,0,0,0,0
66,698.4564629,22.26,0,0,0,0
67,587.3295358,22.511,0,0,0,0
68,659.2551138,22.761,0,0,0,0
69,523.2511306,23.011,0,0,0,0
70,1,24.515,0,0,0,0
71,261.6255653,24.515,0,0,0,0
72,261.6255653,25.014,0,0,0,0
73,261.6255653,25.514,0,1,1,0
74,293.6647679,26.014,0,0,0,0
75,293.6647679,26.512,0,0,0,0
76,293.6647679,27.012,0,0,0,0
77,311.1269837,27.262,0,0,0,0
78,349.2282314,27.512,0,0,0,0
79,293.6647679,27.758,0,0,0,0
80,18,28.008,0,0,0,0
81,311.1269837,28.008,0,0,0,0
82,293.6647679,28.508,0,0,0,0
83,311.1269837,28.758,1,0,1,0
84,261.6255653,29.007,0,0,0,1
85,293.6647679,29.507,0,0,0,0
86,311.1269837,30.007,0,0,0,0
87,293.6647679,30.257,0,1,1,0
88,311.1269837,30.506,0,0,0,0
89,349.2282314,30.756,0,1,1,0
90,391.995436,31.006,0,0,0,0
91,261.6255653,32.009,0,0,0,0
92,391.995436,33.009,0,0,0,0
93,311.1269837,34.009,0,0,0,0
94,293.6647679,35.509,1,1,0,0
95,1,36.001,0,0,0,0
96,261.6255653,36.001,0,0,0,0
97,311.1269837,36.501,0,0,0,0
98,9,37.0,0,0,0,0
99,293.6647679,37.0,0,0,0,0
100,261.6255653,37.5,0,0,0,0
101,246.9416506,38.002,0,0,0,0
102,220.0,38.501,0,0,0,0
103,195.997718,39.001,0,0,0,0
104,1,40.516,0,0,0,0
105,261.6255653,40.516,0,0,0,0
106,261.6255653,41.015,1,0,0,0
107,261.6255653,41.514,0,0,1,0
108,311.1269837,42.014,0,0,0,0
109,293.6647679,43.514,0,1,1,0
110,261.6255653,43.762,0,0,0,0
111,293.6647679,44.013,0,0,0,0
112,195.997718,44.511,0,0,0,0
113,391.995436,45.011,0,0,0,0
114,369.9944227,46.509,0,0,0,0
115,440.0,46.76,0,0,0,0
116,391.995436,47.009,0,0,0,0
117,391.995436,48.002,0,0,0,0
118,261.6255653,49.007,1,0,1,0
119,523.2511306,49.507,0,0,0,0
120,18,50.007,0,0,0,0
121,466.1637615,50.007,0,0,0,0
122,415.3046976,50.507,0,0,0,0
123,391.995436,50.757,0,0,0,0
124,415.3046976,51.006,0,0,0,0
125,391.995436,52.006,0,0,0,0
126,349.2282314,53.006,0,0,0,0
127,311.1269837,54.003,0,0,0,0
