,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,stim_maj_3.csv,0.0,0,0,0,0
1,9,0.0,0,0,0,0
2,261.6255653,0.266,0,0,0,0
3,293.6647679,0.504,0,0,0,0
4,329.6275569,0.754,0,0,0,0
5,349.2282314,1.004,0,0,0,0
6,293.6647679,1.255,0,0,0,0
7,329.6275569,1.505,0,0,0,0
8,261.6255653,1.754,0,0,0,0
9,391.995436,2.004,0,0,0,0
10,523.2511306,2.504,0,0,0,0
11,493.8833013,3.004,0,0,0,0
12,523.2511306,3.504,0,0,0,0
13,587.3295358,4.004,0,0,0,0
14,391.995436,4.255,0,0,0,0
15,440.0,4.505,0,0,0,0
16,493.8833013,4.755,0,0,0,0
17,523.2511306,5.005,0,0,0,0
18,440.0,5.255,0,0,0,0
19,493.8833013,5.505,0,0,1,0
20,391.995436,5.755,0,0,0,0
21,587.3295358,6.005,0,1,0,0
22,783.990872,6.512,1,1,1,0
23,1,7.011,0,0,0,0
24,391.995436,7.011,0,0,0,0
25,18,8.262,0,0,0,0
26,783.990872,8.31,0,0,0,0
27,391.995436,8.514,0,0,0,0
28,783.990872,8.764,0,0,0,1
29,783.990872,9.028,0,1,1,0
30,880.0,9.262,0,0,0,0
31,783.990872,9.513,0,0,0,0
32,880.0,9.763,0,0,0,0
33,1,10.013,0,0,0,0
34,698.4564629,10.013,0,0,0,0
35,698.4564629,10.263,0,0,0,0
36,349.2282314,10.513,0,0,0,0
37,698.4564629,10.763,0,0,0,1
38,698.4564629,11.012,0,0,0,0
39,783.990872,11.262,0,0,0,0
40,698.4564629,11.51,0,0,0,0
41,783.990872,11.76,0,0,0,0
42,659.2551138,12.01,0,0,0,0
43,391.995436,12.26,0,0,0,0
44,523.2511306,12.51,0,0,0,0
45,587.3295358,12.756,0,0,0,0
46,659.2551138,13.006,0,0,0,0
47,391.995436,13.253,0,0,0,0
48,523.2511306,13.503,0,0,0,0
49,587.3295358,13.752,0,0,0,0
50,659.2551138,14.002,0,0,0,0
51,698.4564629,14.127,0,0,0,0
52,587.3295358,14.255,1,1,1,0
53,659.2551138,14.38,0,0,0,0
54,523.2511306,14.504,0,1,1,0
55,391.995436,15.004,0,0,0,0
56,523.2511306,15.511,0,0,0,0
57,9,16.011,0,0,0,0
58,261.6255653,16.011,0,0,0,0
59,293.6647679,17.002,0,0,0,0
60,1,18.0,0,0,0,0
61,329.6275569,18.0,0,0,0,0
62,349.2282314,19.015,0,0,0,0
63,349.2282314,20.001,0,1,0,0
64,329.6275569,20.517,1,1,0,0
65,293.6647679,21.001,0,0,0,0
66,391.995436,21.515,0,0,0,0
67,329.6275569,22.0,0,0,0,0
68,293.6647679,22.5,0,0,0,0
69,329.6275569,22.765,0,0,0,0
70,18,23.015,0,0,0,0
71,261.6255653,23.015,0,0,0,0
72,1,24.503,0,0,0,0
73,391.995436,24.503,0,0,0,0
74,329.6275569,24.753,0,0,0,0
75,440.0,25.003,0,0,0,0
76,391.995436,25.502,0,0,0,0
77,349.2282314,26.002,0,0,0,0
78,329.6275569,26.502,0,0,0,0
79,293.6647679,26.752,0,0,0,0
80,391.995436,27.002,0,0,0,0
81,440.0,27.252,0,0,0,0
82,349.2282314,27.502,0,0,0,0
83,391.995436,27.751,0,0,0,0
84,329.6275569,28.006,0,0,0,0
85,349.2282314,28.255,0,0,0,0
86,391.995436,28.505,1,0,1,0
87,391.995436,29.005,0,0,0,0
88,349.2282314,29.504,0,0,0,0
89,329.6275569,30.003,0,0,0,0
90,349.2282314,30.253,0,0,0,0
91,391.995436,30.503,0,0,0,0
92,440.0,30.753,0,0,0,0
93,293.6647679,31.002,0,0,0,0
94,261.6255653,31.503,0,0,0,0
95,523.2511306,32.003,0,0,0,0
96,493.8833013,32.513,0,0,0,0
97,523.2511306,32.763,0,0,0,0
98,587.3295358,33.013,0,0,0,0
99,523.2511306,33.512,0,0,0,0
100,493.8833013,33.762,0,0,0,0
101,523.2511306,34.012,0,1,1,0
102,523.2511306,35.011,0,0,0,0
103,587.3295358,35.261,0,0,0,0
104,493.8833013,35.511,0,0,0,0
105,523.2511306,35.761,0,0,0,0
106,587.3295358,36.011,0,0,0,0
107,391.995436,36.262,0,0,0,0
108,659.2551138,36.51,0,0,0,0
109,391.995436,36.76,0,0,0,0
110,9,37.01,1,0,0,0
111,698.4564629,37.01,0,0,0,0
112,391.995436,37.26,0,0,0,0
113,783.990872,37.509,0,0,0,0
114,659.2551138,38.009,0,0,0,0
115,587.3295358,38.259,0,0,0,0
116,523.2511306,38.509,0,0,0,0
117,587.3295358,38.76,0,0,0,0
118,493.8833013,39.009,0,0,0,0
119,523.2511306,39.509,0,0,0,0
120,391.995436,40.508,0,0,0,0
121,329.6275569,41.008,0,0,0,0
122,440.0,41.508,0,0,0,0
123,293.6647679,42.006,0,0,0,0
124,329.6275569,42.506,0,0,0,0
125,349.2282314,42.761,0,0,0,0
126,391.995436,43.011,0,0,0,0
127,195.997718,43.511,0,0,0,0
128,261.6255653,44.011,0,0,0,0
129,293.6647679,44.51,0,0,1,0
130,329.6275569,44.76,1,0,0,0
131,349.2282314,45.01,0,0,0,0
132,391.995436,45.26,0,0,0,0
133,329.6275569,45.51,0,0,0,0
134,349.2282314,45.76,0,0,0,0
135,293.6647679,46.008,0,0,0,0
136,329.6275569,46.258,0,0,0,0
137,349.2282314,46.508,0,0,0,0
138,391.995436,46.758,0,0,0,0
139,261.6255653,47.009,0,0,0,0
140,523.2511306,48.009,0,0,0,0
141,587.3295358,48.259,0,0,0,0
142,659.2551138,48.509,0,0,0,0
143,523.2511306,48.759,0,0,0,0
144,391.995436,49.009,0,0,0,0
145,659.2551138,49.259,0,0,0,0
146,587.3295358,49.509,0,0,0,0
147,523.2511306,49.759,0,0,0,0
148,587.3295358,50.006,0,0,0,0
149,659.2551138,50.255,0,0,0,0
150,698.4564629,50.505,0,0,0,0
151,587.3295358,50.755,0,0,0,0
152,391.995436,51.006,0,0,0,0
153,698.4564629,51.256,0,0,0,0
154,659.2551138,51.505,0,0,0,0
155,587.3295358,51.755,0,0,0,0
156,659.2551138,52.005,0,0,0,0
157,523.2511306,52.255,0,0,0,0
158,880.0,52.505,0,0,0,0
159,783.990872,52.752,1,1,0,0
160,698.4564629,53.002,0,0,0,0
161,659.2551138,53.252,0,0,0,0
162,587.3295358,53.501,0,0,0,0
163,523.2511306,53.751,0,0,0,0
164,391.995436,54.016,0,0,0,0
165,440.0,54.251,0,1,1,0
166,493.8833013,54.501,0,0,0,0
167,391.995436,54.751,0,0,0,0
168,523.2511306,55.001,0,0,0,0
169,1,56.515,0,0,0,0
170,261.6255653,56.515,0,0,0,0
171,261.6255653,57.014,0,0,0,0
172,293.6647679,57.513,0,0,0,0
173,293.6647679,58.016,0,0,0,0
