,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,0
1,0.25,493.8833013,9,0,0.0,stim_min_1,p04,0,0,0,0
2,0.5,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,0
3,1.016,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,1
4,1.504,415.3046976,9,0,0.0,stim_min_1,p04,0,0,0,0
5,2.004,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,1
6,2.265,493.8833013,9,0,0.0,stim_min_1,p04,0,0,0,0
7,2.512,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,0
8,3.013,587.3295358,9,0,0.0,stim_min_1,p04,0,0,0,1
9,3.51,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,0
10,4.01,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,1
11,4.26,493.8833013,9,0,0.0,stim_min_1,p04,0,0,0,0
12,4.509,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,0
13,5.009,587.3295358,1,0,0.0,stim_min_1,p04,0,0,1,1
14,5.509,349.2282314,1,0,0.0,stim_min_1,p04,0,0,0,0
15,5.759,391.995436,1,0,0.0,stim_min_1,p04,0,0,0,0
16,6.008,415.3046976,1,0,0.0,stim_min_1,p04,0,0,0,1
17,6.259,391.995436,1,0,0.0,stim_min_1,p04,0,0,0,0
18,6.503,349.2282314,1,0,0.0,stim_min_1,p04,0,0,0,0
19,7.003,311.1269837,1,0,0.0,stim_min_1,p04,0,0,0,1
20,8.003,261.6255653,1,0,0.0,stim_min_1,p04,0,1,0,1
21,9.004,391.995436,1,0,0.0,stim_min_1,p04,0,0,0,1
22,10.504,415.3046976,1,0,0.0,stim_min_1,p04,0,0,0,0
23,11.007,391.995436,1,0,0.0,stim_min_1,p04,0,0,0,1
24,11.513,349.2282314,1,0,0.0,stim_min_1,p04,0,0,0,0
25,12.012,311.1269837,18,0,0.0,stim_min_1,p04,0,0,1,1
26,12.512,349.2282314,18,0,0.0,stim_min_1,p04,0,0,0,0
27,13.012,391.995436,18,0,0.0,stim_min_1,p04,0,0,0,1
28,14.012,246.9416506,18,0,0.0,stim_min_1,p04,0,0,0,1
29,14.512,261.6255653,18,0,0.0,stim_min_1,p04,0,0,0,0
30,16.011,391.995436,1,0,0.0,stim_min_1,p04,1,1,1,1
31,17.002,415.3046976,1,1,17.018,stim_min_1,p04,0,0,0,1
32,18.002,391.995436,1,0,0.0,stim_min_1,p04,0,0,0,1
33,19.009,369.9944227,1,0,0.0,stim_min_1,p04,0,0,0,1
34,20.01,493.8833013,1,0,0.0,stim_min_1,p04,0,0,0,1
35,21.008,523.2511306,1,0,0.0,stim_min_1,p04,0,0,0,1
36,22.006,349.2282314,1,0,0.0,stim_min_1,p04,0,0,0,1
37,23.007,311.1269837,1,0,0.0,stim_min_1,p04,1,0,0,1
38,24.51,391.995436,9,0,0.0,stim_min_1,p04,1,1,1,1
39,25.012,415.3046976,9,0,0.0,stim_min_1,p04,0,0,0,0
40,25.511,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,0
41,26.011,246.9416506,9,0,0.0,stim_min_1,p04,0,0,0,1
42,27.007,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,1
43,28.511,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
44,28.751,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
45,29.003,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,1
46,29.515,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
47,29.765,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
48,30.015,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,1
49,31.015,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,1
50,32.011,261.6255653,9,0,0.0,stim_min_1,p04,0,1,0,1
51,33.005,246.9416506,9,0,0.0,stim_min_1,p04,0,0,0,1
52,33.505,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,0
53,33.755,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
54,34.005,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,1
55,34.505,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
56,35.004,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,1
57,35.503,369.9944227,9,0,0.0,stim_min_1,p04,0,0,0,0
58,36.001,391.995436,9,0,0.0,stim_min_1,p04,1,0,0,1
59,36.501,233.0818808,9,0,0.0,stim_min_1,p04,0,0,0,0
60,37.001,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,1
61,37.514,261.6255653,9,0,0.0,stim_min_1,p04,0,0,0,0
62,38.015,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,1
63,38.509,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
64,39.009,195.997718,9,0,0.0,stim_min_1,p04,0,0,0,1
65,40.004,261.6255653,9,0,0.0,stim_min_1,p04,1,1,0,1
66,40.504,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
67,41.004,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,1
68,41.502,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
69,41.751,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
70,42.001,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,1
71,42.501,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
72,43.0,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,1
73,43.25,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
74,43.5,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
75,43.765,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
76,44.014,391.995436,1,0,0.0,stim_min_1,p04,1,0,1,1
77,44.514,415.3046976,1,1,44.529,stim_min_1,p04,0,0,0,0
78,45.014,246.9416506,1,0,0.0,stim_min_1,p04,0,0,0,1
79,45.513,195.997718,1,0,0.0,stim_min_1,p04,0,0,0,0
80,46.013,195.997718,1,0,0.0,stim_min_1,p04,0,0,0,1
81,46.263,220.0,1,0,0.0,stim_min_1,p04,0,0,0,0
82,46.513,246.9416506,1,0,0.0,stim_min_1,p04,0,0,0,0
83,47.012,261.6255653,1,0,0.0,stim_min_1,p04,0,0,0,1
84,48.012,391.995436,18,0,0.0,stim_min_1,p04,0,1,1,1
85,48.512,311.1269837,18,0,0.0,stim_min_1,p04,0,0,0,0
86,49.012,349.2282314,18,0,0.0,stim_min_1,p04,0,0,0,1
87,49.511,391.995436,18,0,0.0,stim_min_1,p04,0,0,0,0
88,50.008,261.6255653,18,0,0.0,stim_min_1,p04,0,0,0,1
89,50.508,349.2282314,18,0,0.0,stim_min_1,p04,0,0,0,0
90,51.009,311.1269837,1,0,0.0,stim_min_1,p04,1,0,1,1
91,51.259,293.6647679,1,0,0.0,stim_min_1,p04,0,0,0,0
92,51.509,311.1269837,1,0,0.0,stim_min_1,p04,0,0,0,0
93,52.508,349.2282314,1,0,0.0,stim_min_1,p04,0,0,0,0
94,52.758,311.1269837,1,0,0.0,stim_min_1,p04,0,0,0,0
95,53.009,293.6647679,1,0,0.0,stim_min_1,p04,0,0,0,1
96,53.512,311.1269837,1,0,0.0,stim_min_1,p04,0,0,0,0
97,54.012,246.9416506,1,0,0.0,stim_min_1,p04,0,0,0,1
98,54.511,261.6255653,1,0,0.0,stim_min_1,p04,0,0,0,0
99,56.009,261.6255653,9,0,0.0,stim_min_1,p04,0,1,1,1
100,56.18,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
101,56.335,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
102,56.508,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
103,56.671,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,0
104,56.843,293.6647679,9,0,0.0,stim_min_1,p04,0,0,0,0
105,57.014,311.1269837,9,0,0.0,stim_min_1,p04,0,0,0,1
106,57.171,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
107,57.342,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,0
108,57.514,415.3046976,9,0,0.0,stim_min_1,p04,0,0,0,0
109,57.67,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,0
110,57.842,349.2282314,9,0,0.0,stim_min_1,p04,0,0,0,0
111,58.014,391.995436,9,0,0.0,stim_min_1,p04,0,0,0,1
112,58.514,523.2511306,9,0,0.0,stim_min_1,p04,0,0,0,0
113,59.013,493.8833013,1,0,0.0,stim_min_1,p04,1,0,1,1
114,59.513,466.1637615,1,1,59.544,stim_min_1,p04,0,0,0,0
115,60.013,440.0,18,0,0.0,stim_min_1,p04,1,0,1,1
116,60.512,415.3046976,18,0,0.0,stim_min_1,p04,0,0,0,0
117,61.012,391.995436,18,0,0.0,stim_min_1,p04,0,0,0,1
118,61.512,349.2282314,18,0,0.0,stim_min_1,p04,0,0,0,0
119,62.011,349.2282314,18,0,0.0,stim_min_1,p04,0,0,0,1
120,62.339,311.1269837,18,0,0.0,stim_min_1,p04,0,0,0,0
121,62.689,293.6647679,18,0,0.0,stim_min_1,p04,0,0,0,0
122,63.002,261.6255653,18,0,0.0,stim_min_1,p04,0,0,0,0
