,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.502,261.6255653,9,0,0.0,stim_maj_1,p04a,0,0,0,0
1,1.001,293.6647679,9,0,0.0,stim_maj_1,p04a,0,0,0,1
2,1.505,329.6275569,9,0,0.0,stim_maj_1,p04a,0,0,0,0
3,2.005,349.2282314,9,0,0.0,stim_maj_1,p04a,0,0,0,1
4,2.755,391.995436,9,0,0.0,stim_maj_1,p04a,0,0,0,0
5,2.88,349.2282314,9,0,0.0,stim_maj_1,p04a,0,0,0,0
6,3.02,329.6275569,1,0,0.0,stim_maj_1,p04a,1,0,1,1
7,3.503,440.0,1,0,0.0,stim_maj_1,p04a,0,0,0,0
8,4.003,293.6647679,1,0,0.0,stim_maj_1,p04a,0,0,0,1
9,4.503,391.995436,1,0,0.0,stim_maj_1,p04a,0,0,0,0
10,5.252,440.0,1,0,0.0,stim_maj_1,p04a,0,0,0,0
11,5.502,391.995436,1,0,0.0,stim_maj_1,p04a,0,0,0,0
12,5.752,349.2282314,1,0,0.0,stim_maj_1,p04a,0,0,0,0
13,6.002,329.6275569,1,0,0.0,stim_maj_1,p04a,0,0,0,1
14,6.252,349.2282314,1,0,0.0,stim_maj_1,p04a,0,0,0,0
15,6.502,329.6275569,1,0,0.0,stim_maj_1,p04a,0,0,0,0
16,6.752,293.6647679,1,0,0.0,stim_maj_1,p04a,0,0,0,0
17,7.001,261.6255653,1,0,0.0,stim_maj_1,p04a,0,0,0,1
18,8.506,391.995436,1,0,0.0,stim_maj_1,p04a,0,1,0,1
19,9.005,440.0,1,0,0.0,stim_maj_1,p04a,0,0,0,0
20,9.255,391.995436,1,0,0.0,stim_maj_1,p04a,0,0,0,0
21,9.505,349.2282314,1,0,0.0,stim_maj_1,p04a,0,0,0,0
22,9.752,391.995436,1,0,0.0,stim_maj_1,p04a,0,0,0,0
23,10.002,659.2551138,1,0,0.0,stim_maj_1,p04a,0,0,0,1
24,10.515,523.2511306,1,0,0.0,stim_maj_1,p04a,0,0,0,0
25,11.016,391.995436,1,0,0.0,stim_maj_1,p04a,0,0,0,1
26,11.526,349.2282314,1,0,0.0,stim_maj_1,p04a,0,0,0,0
27,11.761,329.6275569,1,0,0.0,stim_maj_1,p04a,0,0,0,0
28,12.011,349.2282314,1,0,0.0,stim_maj_1,p04a,0,0,0,1
29,12.51,587.3295358,1,0,0.0,stim_maj_1,p04a,0,0,0,0
30,13.022,329.6275569,1,0,0.0,stim_maj_1,p04a,0,0,0,1
31,13.508,523.2511306,1,0,0.0,stim_maj_1,p04a,0,0,0,0
32,14.023,293.6647679,1,0,0.0,stim_maj_1,p04a,0,0,0,1
33,14.505,493.8833013,1,0,0.0,stim_maj_1,p04a,0,0,0,0
34,15.005,523.2511306,1,0,0.0,stim_maj_1,p04a,0,0,0,1
35,16.02,261.6255653,18,0,0.0,stim_maj_1,p04a,1,1,1,1
36,16.129,293.6647679,18,0,0.0,stim_maj_1,p04a,0,0,0,0
37,16.254,329.6275569,18,0,0.0,stim_maj_1,p04a,0,0,0,0
38,16.379,349.2282314,18,0,0.0,stim_maj_1,p04a,0,0,0,0
39,16.504,329.6275569,18,0,0.0,stim_maj_1,p04a,0,0,0,0
40,16.629,293.6647679,18,0,0.0,stim_maj_1,p04a,0,0,0,0
41,16.754,329.6275569,18,1,16.769,stim_maj_1,p04a,0,0,0,0
42,16.879,261.6255653,18,0,0.0,stim_maj_1,p04a,0,0,0,0
43,17.003,440.0,18,0,0.0,stim_maj_1,p04a,0,0,0,1
44,17.751,440.0,18,0,0.0,stim_maj_1,p04a,0,0,0,0
45,18.001,391.995436,18,0,0.0,stim_maj_1,p04a,0,0,0,1
