,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,0
1,0.266,493.8833013,9,0,0.0,stim_min_1,p07a,0,0,0,0
2,0.516,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,0
3,1.015,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,1
4,1.512,415.3046976,9,0,0.0,stim_min_1,p07a,0,0,0,0
5,2.001,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,1
6,2.262,493.8833013,9,0,0.0,stim_min_1,p07a,0,0,0,0
7,2.512,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,0
8,3.009,587.3295358,9,0,0.0,stim_min_1,p07a,0,0,0,1
9,3.509,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,0
10,4.009,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,1
11,4.271,493.8833013,9,0,0.0,stim_min_1,p07a,0,0,0,0
12,4.505,523.2511306,9,0,0.0,stim_min_1,p07a,0,0,0,0
13,5.003,587.3295358,9,0,0.0,stim_min_1,p07a,0,0,0,1
14,5.503,349.2282314,9,0,0.0,stim_min_1,p07a,0,0,0,0
15,5.765,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,0
16,6.002,415.3046976,9,0,0.0,stim_min_1,p07a,0,0,0,1
17,6.265,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,0
18,6.515,349.2282314,9,0,0.0,stim_min_1,p07a,0,0,0,0
19,7.003,311.1269837,9,0,0.0,stim_min_1,p07a,0,0,0,1
20,8.001,261.6255653,9,0,0.0,stim_min_1,p07a,1,1,0,1
21,9.005,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,1
22,10.505,415.3046976,9,0,0.0,stim_min_1,p07a,0,0,0,0
23,11.005,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,1
24,11.501,349.2282314,9,0,0.0,stim_min_1,p07a,0,0,0,0
25,12.014,311.1269837,9,0,0.0,stim_min_1,p07a,0,0,0,1
26,12.529,349.2282314,9,0,0.0,stim_min_1,p07a,0,0,0,0
27,13.014,391.995436,9,0,0.0,stim_min_1,p07a,0,0,0,1
28,14.008,246.9416506,1,0,0.0,stim_min_1,p07a,0,0,1,1
29,14.501,261.6255653,1,0,0.0,stim_min_1,p07a,0,0,0,0
30,16.001,391.995436,18,0,0.0,stim_min_1,p07a,0,1,1,1
31,17.012,415.3046976,18,0,0.0,stim_min_1,p07a,1,0,0,1
32,18.009,391.995436,18,0,0.0,stim_min_1,p07a,0,0,0,1
33,19.011,369.9944227,18,0,0.0,stim_min_1,p07a,0,0,0,1
34,20.005,493.8833013,18,0,0.0,stim_min_1,p07a,0,0,0,1
35,21.008,523.2511306,18,0,0.0,stim_min_1,p07a,0,0,0,1
36,22.008,349.2282314,1,0,0.0,stim_min_1,p07a,0,0,1,1
37,23.011,311.1269837,1,0,0.0,stim_min_1,p07a,0,0,0,1
38,24.504,391.995436,1,0,0.0,stim_min_1,p07a,0,1,0,1
39,25.013,415.3046976,1,0,0.0,stim_min_1,p07a,0,0,0,0
40,25.513,261.6255653,1,0,0.0,stim_min_1,p07a,0,0,0,0
41,26.003,246.9416506,1,0,0.0,stim_min_1,p07a,0,0,0,1
42,27.014,261.6255653,1,0,0.0,stim_min_1,p07a,0,0,0,1
43,28.53,293.6647679,1,0,0.0,stim_min_1,p07a,0,0,0,0
44,28.754,311.1269837,1,0,0.0,stim_min_1,p07a,0,0,0,0
45,29.004,349.2282314,1,0,0.0,stim_min_1,p07a,0,0,0,1
46,29.501,311.1269837,1,0,0.0,stim_min_1,p07a,0,0,0,0
47,29.75,293.6647679,1,0,0.0,stim_min_1,p07a,0,0,0,0
48,30.006,311.1269837,1,0,0.0,stim_min_1,p07a,0,0,0,1
49,31.003,261.6255653,1,0,0.0,stim_min_1,p07a,0,0,0,1
50,32.014,261.6255653,9,0,0.0,stim_min_1,p07a,1,1,1,1
51,33.01,246.9416506,9,0,0.0,stim_min_1,p07a,0,0,0,1
52,33.506,261.6255653,9,0,0.0,stim_min_1,p07a,0,0,0,0
53,33.756,293.6647679,9,0,0.0,stim_min_1,p07a,0,0,0,0
54,34.006,311.1269837,9,0,0.0,stim_min_1,p07a,0,0,0,1
55,34.503,293.6647679,9,0,0.0,stim_min_1,p07a,0,0,0,0
56,35.01,261.6255653,9,0,0.0,stim_min_1,p07a,0,0,0,1
57,35.503,369.9944227,9,0,0.0,stim_min_1,p07a,0,0,0,0
