,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.516,523.2511306,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
1,0.764,493.8833013,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
2,1.013,523.2511306,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
3,1.26,587.3295358,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
4,1.51,622.2539674,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
5,1.76,391.995436,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
6,2.009,415.3046976,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
7,2.259,466.1637615,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
8,2.506,415.3046976,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
9,2.757,349.2282314,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
10,3.007,698.4564629,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
11,3.257,622.2539674,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
12,3.507,587.3295358,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
13,3.757,523.2511306,-17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
14,4.003,493.8833013,1.0,0,0.0,stim_min_3_a,p11,0,0,1,1
15,4.265,830.6093952,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
16,4.515,783.990872,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
17,4.762,698.4564629,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
18,5.012,622.2539674,1.0,0,0.0,stim_min_3_a,p11,0,0,0,1
19,5.262,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
20,5.512,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
21,5.762,493.8833013,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
22,6.011,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,1
23,6.261,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
24,6.507,622.2539674,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
25,6.879,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
26,7.004,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,1
27,7.129,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
28,7.254,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
29,8.256,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,1,0,1
30,8.506,493.8833013,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
31,8.753,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
32,9.003,391.995436,1.0,0,0.0,stim_min_3_a,p11,0,0,0,1
33,9.515,622.2539674,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
34,10.265,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
35,10.514,523.2511306,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
36,10.761,587.3295358,1.0,0,0.0,stim_min_3_a,p11,0,0,0,0
37,11.011,391.995436,17.5,0,0.0,stim_min_3_a,p11,0,0,1,1
38,11.511,698.4564629,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
39,12.262,622.2539674,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
40,12.512,587.3295358,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
41,12.762,523.2511306,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
42,13.014,783.990872,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
43,13.511,523.2511306,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
44,14.011,698.4564629,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
45,14.257,622.2539674,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
46,14.507,587.3295358,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
47,14.757,493.8833013,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
48,15.003,493.8833013,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
49,15.253,523.2511306,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
50,16.002,261.6255653,17.5,0,0.0,stim_min_3_a,p11,1,1,0,1
51,16.514,293.6647679,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
52,17.011,311.1269837,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
53,17.511,261.6255653,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
54,18.008,415.3046976,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
55,18.258,415.3046976,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
56,18.508,415.3046976,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
57,18.758,415.3046976,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
58,19.004,293.6647679,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
59,19.75,293.6647679,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
60,20.0,391.995436,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
61,20.262,391.995436,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
62,20.512,391.995436,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
63,20.762,391.995436,17.5,0,0.0,stim_min_3_a,p11,0,0,0,0
64,21.008,261.6255653,17.5,0,0.0,stim_min_3_a,p11,0,0,0,1
