,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,time_difference
0,0.25,261.6255653,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-0.25
1,0.516,293.6647679,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-0.516
2,0.751,329.6275569,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-0.751
3,1.001,349.2282314,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-1.001
4,1.251,293.6647679,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-1.251
5,1.514,329.6275569,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-1.514
6,1.764,261.6255653,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-1.764
7,2.014,391.995436,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-2.014
8,2.514,523.2511306,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-2.514
9,3.015,493.8833013,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-3.015
10,3.514,523.2511306,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-3.514
11,4.014,587.3295358,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-4.014
12,4.264,391.995436,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-4.264
13,4.514,440.0,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-4.514
14,4.764,493.8833013,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-4.764
15,5.014,523.2511306,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-5.014
16,5.264,440.0,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-5.264
17,5.512,493.8833013,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-5.512
18,5.762,391.995436,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-5.762
19,6.013,587.3295358,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-6.013
20,6.505,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-6.505
21,7.007,391.995436,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-7.007
22,8.256,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,1,0,1,-8.256
23,8.513,391.995436,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-8.513
24,8.763,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-8.763
25,9.013,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-9.013
26,9.263,880.0,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-9.263
27,9.513,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-9.513
28,9.763,880.0,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-9.763
29,10.013,698.4564629,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-10.013
30,10.262,698.4564629,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-10.262
31,10.512,349.2282314,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-10.512
32,10.762,698.4564629,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-10.762
33,11.012,698.4564629,-35,0,0.0,stim_maj_3_a,p02,0,0,0,1,-11.012
34,11.262,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-11.262
35,11.512,698.4564629,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-11.512
36,11.762,783.990872,-35,0,0.0,stim_maj_3_a,p02,0,0,0,0,-11.762
