Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
16,0,60,80,0.472916667,0.472916667,261.6255653,0,0
18,0.5,69,80,1.447916667,0.947916667,440,0,0
20,1.5,67,80,1.972916667,0.472916667,391.995436,0,0
22,2,65,80,2.472916667,0.472916667,349.2282314,0,1
24,2.5,65,80,2.735416667,0.235416667,349.2282314,0,0
26,2.75,64,80,2.985416667,0.235416667,329.6275569,0,0
28,3,65,80,3.472916667,0.472916667,349.2282314,0,1
30,3.5,69,80,3.972916667,0.472916667,440,0,0
32,4,62,80,4.472916667,0.472916667,293.6647679,0,1
34,4.5,67,80,5.447916667,0.947916667,391.995436,0,0
36,5.5,65,80,5.972916667,0.472916667,349.2282314,0,0
38,6,64,80,6.472916667,0.472916667,329.6275569,0,1
40,6.5,64,80,6.735416667,0.235416667,329.6275569,0,0
42,6.75,62,80,6.985416667,0.235416667,293.6647679,0,0
44,7,64,80,7.472916667,0.472916667,329.6275569,0,1
46,7.5,60,80,8.447916667,0.947916667,261.6255653,0,0
48,8.5,67,80,8.972916667,0.472916667,391.995436,1,1
50,9,64,80,9.472916667,0.472916667,329.6275569,0,0
52,9.5,69,80,9.972916667,0.472916667,440,0,0
54,10,62,80,10.47291667,0.472916667,293.6647679,0,1
56,10.5,64,80,10.73541667,0.235416667,329.6275569,0,0
58,10.75,65,80,10.98541667,0.235416667,349.2282314,0,0
60,11,67,80,11.47291667,0.472916667,391.995436,0,1
62,11.5,55,80,11.97291667,0.472916667,195.997718,0,0
64,12,60,80,12.47291667,0.472916667,261.6255653,0,1
66,12.5,62,80,12.73541667,0.235416667,293.6647679,0,0
68,12.75,64,80,12.98541667,0.235416667,329.6275569,0,0
70,13,65,80,14.18541667,1.185416667,349.2282314,0,1
72,14.25,67,80,14.48541667,0.235416667,391.995436,0,1
74,14.5,64,80,14.73541667,0.235416667,329.6275569,0,0
76,14.75,65,80,14.98541667,0.235416667,349.2282314,0,0
78,15,62,80,15.47291667,0.472916667,293.6647679,0,1
80,15.5,60,80,16.44791667,0.947916667,261.6255653,0,0
82,16.5,60,80,16.73541667,0.235416667,261.6255653,1,1
84,16.75,62,80,16.98541667,0.235416667,293.6647679,0,0
86,17,64,80,17.23541667,0.235416667,329.6275569,0,0
88,17.25,62,80,17.48541667,0.235416667,293.6647679,0,0
90,17.5,60,80,17.73541667,0.235416667,261.6255653,0,0
92,17.75,64,80,17.98541667,0.235416667,329.6275569,0,0
94,18,62,80,18.23541667,0.235416667,293.6647679,0,1
96,18.25,65,80,18.48541667,0.235416667,349.2282314,0,0
98,18.5,64,80,19.21041667,0.710416667,329.6275569,0,0
100,19.25,67,80,19.48541667,0.235416667,391.995436,0,0
102,19.5,65,80,20.21041667,0.710416667,349.2282314,0,0
104,20.25,69,80,20.48541667,0.235416667,440,0,0
106,20.5,67,80,20.73541667,0.235416667,391.995436,0,0
108,20.75,65,80,20.98541667,0.235416667,349.2282314,0,0
110,21,67,80,21.23541667,0.235416667,391.995436,0,1
112,21.25,62,80,21.48541667,0.235416667,293.6647679,0,0
114,21.5,64,80,21.73541667,0.235416667,329.6275569,0,0
116,21.75,65,80,21.98541667,0.235416667,349.2282314,0,0
118,22,64,80,22.23541667,0.235416667,329.6275569,0,1
120,22.25,60,80,22.48541667,0.235416667,261.6255653,0,0
122,22.5,59,80,22.97291667,0.472916667,246.9416506,0,0
124,23,60,80,23.94791667,0.947916667,261.6255653,0,1
126,24,60,80,24.94791667,0.947916667,261.6255653,1,1
128,25,64,80,25.94791667,0.947916667,329.6275569,0,1
130,26,69,80,26.94791667,0.947916667,440,0,1
132,27,65,80,27.94791667,0.947916667,349.2282314,0,1
134,28,62,80,28.94791667,0.947916667,293.6647679,0,1
136,29,71,80,29.94791667,0.947916667,493.8833013,0,1
138,30,72,80,31.89791667,1.897916667,523.2511306,0,1
140,32,72,80,32.47291667,0.472916667,523.2511306,1,1
142,32.5,72,80,32.97291667,0.472916667,523.2511306,0,0
144,33,76,80,34.42291667,1.422916667,659.2551138,0,1
146,34.5,74,80,34.97291667,0.472916667,587.3295358,0,0
148,35,72,80,35.47291667,0.472916667,523.2511306,0,1
150,35.5,72,80,35.97291667,0.472916667,523.2511306,0,0
152,36,72,80,36.47291667,0.472916667,523.2511306,0,1
154,36.5,71,80,36.73541667,0.235416667,493.8833013,0,0
156,36.75,72,80,36.98541667,0.235416667,523.2511306,0,0
