Column1,onset_sec,offset,midi_pitch,duration,freq,boundary,changable_note
16,0,0.472916667,67,0.472916667,391.995436,0,0
18,0.5,0.972916667,63,0.472916667,311.1269837,0,0
20,1,1.472916667,60,0.472916667,261.6255653,0,1
22,1.5,1.972916667,68,0.472916667,415.3046976,0,0
24,2,2.472916667,68,0.472916667,415.3046976,0,1
26,2.5,2.854166667,67,0.354166667,391.995436,0,0
28,2.875,2.991666667,71,0.116666667,493.8833013,0,0
30,3,3.472916667,72,0.472916667,523.2511306,0,1
32,3.5,3.972916667,65,0.472916667,349.2282314,0,0
34,4,4.472916667,65,0.472916667,349.2282314,0,1
36,4.5,4.854166667,63,0.354166667,311.1269837,0,0
38,4.875,4.991666667,71,0.116666667,493.8833013,0,0
40,5,5.472916667,72,0.472916667,523.2511306,0,1
42,5.5,5.972916667,62,0.472916667,293.6647679,0,0
44,6,6.15625,63,0.15625,311.1269837,0,1
46,6.166666667,6.322916667,65,0.15625,349.2282314,0,0
48,6.333333333,6.489583333,67,0.15625,391.995436,0,0
50,6.5,6.65625,65,0.15625,349.2282314,0,0
52,6.666666667,6.822916667,63,0.15625,311.1269837,0,0
54,6.833333333,6.989583333,62,0.15625,293.6647679,0,0
56,7,8.422916667,60,1.422916667,261.6255653,0,1
58,8.5,8.972916667,67,0.472916667,391.995436,1,1
60,9,9.472916667,60,0.472916667,261.6255653,0,0
62,9.5,9.972916667,60,0.472916667,261.6255653,0,0
64,10,10.47291667,60,0.472916667,261.6255653,0,1
66,10.5,10.73541667,68,0.235416667,415.3046976,0,0
68,10.75,10.98541667,65,0.235416667,349.2282314,0,0
70,11,11.47291667,59,0.472916667,246.9416506,0,1
72,11.5,11.97291667,59,0.472916667,246.9416506,0,0
74,12,12.23541667,59,0.235416667,246.9416506,0,1
76,12.25,12.48541667,60,0.235416667,261.6255653,0,0
78,12.5,12.73541667,62,0.235416667,293.6647679,0,0
80,12.75,12.98541667,63,0.235416667,311.1269837,0,0
82,13,13.23541667,65,0.235416667,349.2282314,0,1
84,13.25,13.48541667,63,0.235416667,311.1269837,0,0
86,13.5,13.73541667,62,0.235416667,293.6647679,0,0
88,13.75,13.98541667,63,0.235416667,311.1269837,0,0
90,14,14.23541667,65,0.235416667,349.2282314,0,1
92,14.25,14.48541667,68,0.235416667,415.3046976,0,0
94,14.5,14.73541667,67,0.235416667,391.995436,0,0
96,14.75,14.98541667,65,0.235416667,349.2282314,0,0
98,15,15.94791667,63,0.947916667,311.1269837,0,1
100,16,16.23541667,72,0.235416667,523.2511306,1,1
102,16.25,16.48541667,74,0.235416667,587.3295358,0,0
104,16.5,16.73541667,71,0.235416667,493.8833013,0,0
106,16.75,16.98541667,72,0.235416667,523.2511306,0,0
108,17,17.47291667,69,0.472916667,440,0,1
110,17.5,17.97291667,81,0.472916667,880,0,0
112,18,18.23541667,80,0.235416667,830.6093952,0,1
114,18.25,18.48541667,81,0.235416667,880,0,0
116,18.5,18.73541667,78,0.235416667,739.9888454,0,0
118,18.75,18.98541667,80,0.235416667,830.6093952,0,0
120,19,19.47291667,76,0.472916667,659.2551138,0,1
122,19.5,19.73541667,81,0.235416667,880,0,0
124,19.75,19.98541667,76,0.235416667,659.2551138,0,0
126,20,20.47291667,77,0.472916667,698.4564629,0,1
128,20.5,20.97291667,74,0.472916667,587.3295358,0,0
130,21,21.47291667,67,0.472916667,391.995436,0,1
132,21.5,21.97291667,79,0.472916667,783.990872,0,0
134,22,22.23541667,76,0.235416667,659.2551138,0,1
136,22.25,22.48541667,77,0.235416667,698.4564629,0,0
138,22.5,22.73541667,74,0.235416667,587.3295358,0,0
140,22.75,22.98541667,76,0.235416667,659.2551138,0,0
142,23,24.42291667,72,1.422916667,523.2511306,0,1
144,24.5,24.97291667,60,0.472916667,261.6255653,1,1
146,25,25.47291667,60,0.472916667,261.6255653,0,0
148,25.5,25.97291667,60,0.472916667,261.6255653,0,0
150,26,26.47291667,62,0.472916667,293.6647679,0,1
152,26.5,26.97291667,62,0.472916667,293.6647679,0,0
154,27,27.23541667,62,0.235416667,293.6647679,0,1
156,27.25,27.48541667,63,0.235416667,311.1269837,0,0
158,27.5,27.73541667,65,0.235416667,349.2282314,0,0
160,27.75,27.98541667,62,0.235416667,293.6647679,0,0
162,28,28.47291667,63,0.472916667,311.1269837,0,1
164,28.5,28.73541667,62,0.235416667,293.6647679,0,0
166,28.75,28.98541667,63,0.235416667,311.1269837,0,0
168,29,29.47291667,60,0.472916667,261.6255653,0,1
170,29.5,29.97291667,62,0.472916667,293.6647679,0,0
172,30,30.23541667,63,0.235416667,311.1269837,0,1
