Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
16,0,67,80,0.472916667,0.472916667,391.995436,0,0
18,0.5,63,80,0.972916667,0.472916667,311.1269837,0,0
20,1,60,80,1.472916667,0.472916667,261.6255653,0,1
22,1.5,68,80,1.972916667,0.472916667,415.3046976,0,0
24,2,68,80,2.472916667,0.472916667,415.3046976,0,1
26,2.5,67,80,2.854166667,0.354166667,391.995436,0,0
28,2.875,71,80,2.991666667,0.116666667,493.8833013,0,0
30,3,72,80,3.472916667,0.472916667,523.2511306,0,1
32,3.5,65,80,3.972916667,0.472916667,349.2282314,0,0
34,4,65,80,4.472916667,0.472916667,349.2282314,0,1
36,4.5,63,80,4.854166667,0.354166667,311.1269837,0,0
38,4.875,71,80,4.991666667,0.116666667,493.8833013,0,0
40,5,72,80,5.472916667,0.472916667,523.2511306,0,1
42,5.5,62,80,5.972916667,0.472916667,293.6647679,0,0
44,6,63,80,6.15625,0.15625,311.1269837,0,1
46,6.166666667,65,80,6.322916667,0.15625,349.2282314,0,0
48,6.333333333,67,80,6.489583333,0.15625,391.995436,0,0
50,6.5,65,80,6.65625,0.15625,349.2282314,0,0
52,6.666666667,63,80,6.822916667,0.15625,311.1269837,0,0
54,6.833333333,62,80,6.989583333,0.15625,293.6647679,0,0
56,7,60,80,8.422916667,1.422916667,261.6255653,0,1
58,8.5,67,80,8.972916667,0.472916667,391.995436,1,1
60,9,60,80,9.472916667,0.472916667,261.6255653,0,0
62,9.5,60,80,9.972916667,0.472916667,261.6255653,0,0
64,10,60,80,10.47291667,0.472916667,261.6255653,0,1
66,10.5,68,80,10.73541667,0.235416667,415.3046976,0,0
68,10.75,65,80,10.98541667,0.235416667,349.2282314,0,0
70,11,59,80,11.47291667,0.472916667,246.9416506,0,1
72,11.5,59,80,11.97291667,0.472916667,246.9416506,0,0
74,12,59,80,12.23541667,0.235416667,246.9416506,0,1
76,12.25,60,80,12.48541667,0.235416667,261.6255653,0,0
78,12.5,62,80,12.73541667,0.235416667,293.6647679,0,0
80,12.75,63,80,12.98541667,0.235416667,311.1269837,0,0
82,13,65,80,13.23541667,0.235416667,349.2282314,0,1
84,13.25,63,80,13.48541667,0.235416667,311.1269837,0,0
86,13.5,62,80,13.73541667,0.235416667,293.6647679,0,0
88,13.75,63,80,13.98541667,0.235416667,311.1269837,0,0
90,14,65,80,14.23541667,0.235416667,349.2282314,0,1
92,14.25,68,80,14.48541667,0.235416667,415.3046976,0,0
94,14.5,67,80,14.73541667,0.235416667,391.995436,0,0
96,14.75,65,80,14.98541667,0.235416667,349.2282314,0,0
98,15,63,80,15.94791667,0.947916667,311.1269837,0,1
100,16,72,80,16.23541667,0.235416667,523.2511306,1,1
102,16.25,74,80,16.48541667,0.235416667,587.3295358,0,0
104,16.5,71,80,16.73541667,0.235416667,493.8833013,0,0
106,16.75,72,80,16.98541667,0.235416667,523.2511306,0,0
108,17,69,80,17.47291667,0.472916667,440,0,1
110,17.5,81,80,17.97291667,0.472916667,880,0,0
112,18,80,80,18.23541667,0.235416667,830.6093952,0,1
114,18.25,81,80,18.48541667,0.235416667,880,0,0
116,18.5,78,80,18.73541667,0.235416667,739.9888454,0,0
118,18.75,80,80,18.98541667,0.235416667,830.6093952,0,0
120,19,76,80,19.47291667,0.472916667,659.2551138,0,1
122,19.5,81,80,19.73541667,0.235416667,880,0,0
124,19.75,76,80,19.98541667,0.235416667,659.2551138,0,0
126,20,77,80,20.47291667,0.472916667,698.4564629,0,1
128,20.5,74,80,20.97291667,0.472916667,587.3295358,0,0
130,21,67,80,21.47291667,0.472916667,391.995436,0,1
132,21.5,79,80,21.97291667,0.472916667,783.990872,0,0
134,22,76,80,22.23541667,0.235416667,659.2551138,0,1
136,22.25,77,80,22.48541667,0.235416667,698.4564629,0,0
138,22.5,74,80,22.73541667,0.235416667,587.3295358,0,0
140,22.75,76,80,22.98541667,0.235416667,659.2551138,0,0
142,23,72,80,24.42291667,1.422916667,523.2511306,0,1
144,24.5,60,80,24.97291667,0.472916667,261.6255653,1,1
146,25,60,80,25.47291667,0.472916667,261.6255653,0,0
148,25.5,60,80,25.97291667,0.472916667,261.6255653,0,0
150,26,62,80,26.47291667,0.472916667,293.6647679,0,1
152,26.5,62,80,26.97291667,0.472916667,293.6647679,0,0
154,27,62,80,27.23541667,0.235416667,293.6647679,0,1
156,27.25,63,80,27.48541667,0.235416667,311.1269837,0,0
158,27.5,65,80,27.73541667,0.235416667,349.2282314,0,0
160,27.75,62,80,27.98541667,0.235416667,293.6647679,0,0
162,28,63,80,28.47291667,0.472916667,311.1269837,0,1
164,28.5,62,80,28.73541667,0.235416667,293.6647679,0,0
166,28.75,63,80,28.98541667,0.235416667,311.1269837,0,0
168,29,60,80,29.47291667,0.472916667,261.6255653,0,1
170,29.5,62,80,29.97291667,0.472916667,293.6647679,0,0
172,30,63,80,30.23541667,0.235416667,311.1269837,0,1
174,30.25,62,80,30.48541667,0.235416667,293.6647679,0,0
176,30.5,63,80,30.73541667,0.235416667,311.1269837,0,0
178,30.75,65,80,30.98541667,0.235416667,349.2282314,0,0
180,31,67,80,32.42291667,1.422916667,391.995436,0,1
182,32.5,60,80,32.97291667,0.472916667,261.6255653,1,1
184,33,60,80,33.47291667,0.472916667,261.6255653,0,0
186,33.5,60,80,33.97291667,0.472916667,261.6255653,0,0
188,34,63,80,35.42291667,1.422916667,311.1269837,0,1
