subject,corr,fa,hit,miss,condition,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
p05,15,0,24,0,boundary,1.0,0.0,0.8215060365833547,-0.9099537694551414,1.731459806038496,1.0,1.0,1.0
p07,13,0,26,0,boundary,1.0,0.0,0.8215060365833547,-0.9099537694551414,1.731459806038496,1.0,1.0,1.0
p08,13,1,22,1,boundary,0.9565217391304348,0.07142857142857142,0.30474497905037323,0.2517466553404961,0.052998323709877115,0.9565217391304348,0.9565217391304348,0.9565217391304348
p09,8,2,10,2,boundary,0.8333333333333334,0.2,-1.1594113506264088,2.342807419972644,-3.5022187705990526,0.8333333333333334,0.8333333333333334,0.8333333333333334
p10,10,0,12,0,boundary,1.0,0.0,0.8215060365833547,-0.9099537694551414,1.731459806038496,1.0,1.0,1.0
p05,19,1,44,0,no_boundary,1.0,0.05,0.8215060365833547,-0.09676347209819505,0.9182695086815498,0.9777777777777777,1.0,0.9887640449438203
p07,24,1,38,3,no_boundary,0.926829268292683,0.04,-0.048165011459955664,-0.25940153156958434,0.21123652010962868,0.9743589743589743,0.926829268292683,0.9499999999999998
p08,21,2,34,8,no_boundary,0.8095238095238095,0.08695652173913043,-1.4423995487992325,0.5042902259482434,-1.9466897747474758,0.9444444444444444,0.8095238095238095,0.8717948717948718
p09,14,0,18,5,no_boundary,0.782608695652174,0.0,-1.7622992510815543,-0.9099537694551414,-0.8523454816264129,1.0,0.782608695652174,0.8780487804878049
p10,16,2,23,0,no_boundary,1.0,0.1111111111111111,0.8215060365833547,0.8971357802269614,-0.07562974364360664,0.92,1.0,0.9583333333333334
