onset_beat;duration_beat;midi_channel;freq;midi_pitch;velocity;onset_sec;duration_sec;boundary
1.5;0.47292;0;523,2511306;72;80;0.40323;0.38138;0
2;0.47292;0;523,2511306;72;80;0.80645;0.38138;0
2.5;0.47292;0;523,2511306;72;80;1.2097;0.38138;0
3;0.94792;0;349,2282314;65;80;1.6129;0.76445;0
4;1.4229;0;440;69;80;2.4194;1.1475;0
5.5;0.47292;0;293,6647679;62;80;3.629;0.38138;0
6;0.47292;0;391,995436;67;80;4.0323;0.38138;0
6.5;0.47292;0;349,2282314;65;80;4.4355;0.38138;0
7;0.94792;0;329,6275569;64;80;4.8387;0.76445;0
8;1.1854;0;261,6255653;60;80;5.6452;0.95598;0
9.25;0.23542;0;783,990872;79;80;6.6532;0.18985;1
9.5;0.23542;0;391,995436;67;80;6.8548;0.18985;0
9.75;0.23542;0;783,990872;79;80;7.0565;0.18985;0
10;0.23542;0;783,990872;79;80;7.2581;0.18985;0
10.25;0.23542;0;880;81;80;7.4597;0.18985;0
10.5;0.23542;0;783,990872;79;80;7.6613;0.18985;0
10.75;0.23542;0;880;81;80;7.8629;0.18985;0
11;0.23542;0;698,4564629;77;80;8.0645;0.18985;0
11.25;0.23542;0;698,4564629;77;80;8.2661;0.18985;0
11.5;0.23542;0;349,2282314;65;80;8.4677;0.18985;0
11.75;0.23542;0;698,4564629;77;80;8.6694;0.18985;0
12;0.23542;0;698,4564629;77;80;8.871;0.18985;0
12.25;0.23542;0;783,990872;79;80;9.0726;0.18985;0
12.5;0.23542;0;698,4564629;77;80;9.2742;0.18985;0
12.75;0.23542;0;783,990872;79;80;9.4758;0.18985;0
13;0.23542;0;659,2551138;76;80;9.6774;0.18985;0
13.25;0.23542;0;391,995436;67;80;9.879;0.18985;0
13.5;0.23542;0;523,2511306;72;80;10.081;0.18985;0
13.75;0.23542;0;587,3295358;74;80;10.282;0.18985;0
14;0.23542;0;659,2551138;76;80;10.484;0.18985;0
14.25;0.23542;0;391,995436;67;80;10.685;0.18985;0
14.5;0.23542;0;523,2511306;72;80;10.887;0.18985;0
14.75;0.23542;0;587,3295358;74;80;11.089;0.18985;0
15;0.23542;0;659,2551138;76;80;11.29;0.18985;0
15.25;0.23542;0;698,4564629;77;80;11.492;0.18985;0
15.5;0.23542;0;587,3295358;74;80;11.694;0.18985;0
15.75;0.23542;0;659,2551138;76;80;11.895;0.18985;0
16;0.23542;0;523,2511306;72;80;12.097;0.18985;0
16.25;0.23542;0;587,3295358;74;80;12.298;0.18985;0
16.5;0.23542;0;659,2551138;76;80;12.5;0.18985;0
16.75;0.23542;0;698,4564629;77;80;12.702;0.18985;0
17;0.47292;0;783,990872;79;80;12.903;0.38138;0
17.5;0.23542;0;261,6255653;60;80;13.306;0.18985;1
17.75;0.23542;0;293,6647679;62;80;13.508;0.18985;0
18;0.47292;0;329,6275569;64;80;13.71;0.38138;0
18.5;0.47292;0;261,6255653;60;80;14.113;0.38138;0
19;0.47292;0;391,995436;67;80;14.516;0.38138;0
19.5;0.47292;0;329,6275569;64;80;14.919;0.38138;0
20;0.47292;0;440;69;80;15.323;0.38138;0
20.5;0.23542;0;391,995436;67;80;15.726;0.18985;0
20.75;0.23542;0;349,2282314;65;80;15.927;0.18985;0
21;0.94792;0;391,995436;67;80;16.129;0.76445;0
22;0.47292;0;440;69;80;16.935;0.38138;1
22.5;0.47292;0;391,995436;67;80;17.339;0.38138;0
23;0.47292;0;329,6275569;64;80;17.742;0.38138;0
23.5;0.47292;0;391,995436;67;80;18.145;0.38138;0
24;0.94792;0;493,8833013;71;80;18.548;0.76445;0
25;1.4229;0;523,2511306;72;80;19.355;1.1475;0
26.5;0.47292;0;391,995436;67;80;20.565;0.38138;1
27;0.23542;0;440;69;80;20.968;0.18985;0
27.25;0.23542;0;391,995436;67;80;21.169;0.18985;0
27.5;0.23542;0;349,2282314;65;80;21.371;0.18985;0
27.75;0.23542;0;391,995436;67;80;21.573;0.18985;0
28;0.47292;0;659,2551138;76;80;21.774;0.38138;0
28.5;0.47292;0;523,2511306;72;80;22.177;0.38138;0
29;0.47292;0;391,995436;67;80;22.581;0.38138;0
29.5;0.23542;0;349,2282314;65;80;22.984;0.18985;0
29.75;0.23542;0;329,6275569;64;80;23.185;0.18985;0
30;0.47292;0;349,2282314;65;80;23.387;0.38138;0
30.5;0.47292;0;587,3295358;74;80;23.79;0.38138;0
31;0.47292;0;329,6275569;64;80;24.194;0.38138;0
31.5;0.47292;0;523,2511306;72;80;24.597;0.38138;0
32;0.94792;0;493,8833013;71;80;25;0.76445;0
33;0.47292;0;523,2511306;72;80;25.806;0.38138;0
33.5;0.47292;0;261,6255653;60;80;26.21;0.38138;1
34;0.47292;0;329,6275569;64;80;26.613;0.38138;0
34.5;0.47292;0;261,6255653;60;80;27.016;0.38138;0
35;0.94792;0;391,995436;67;80;27.419;0.76445;0
36;0.94792;0;349,2282314;65;80;28.226;0.76445;0
37;0.23542;0;329,6275569;64;80;29.032;0.18985;0
37.25;0.23542;0;293,6647679;62;80;29.234;0.18985;0
37.5;0.71042;0;261,6255653;60;80;29.435;0.57292;0
38.25;0.23542;0;293,6647679;62;80;30.04;0.18985;0
38.5;0.23542;0;329,6275569;64;80;30.242;0.18985;0
38.75;0.23542;0;246,9416506;59;80;30.444;0.18985;0
39;2.3729;0;261,6255653;60;80;30.645;1.9136;0
41.5;0.47292;0;391,995436;67;80;32.661;0.38138;1
42;0.47292;0;329,6275569;64;80;33.065;0.38138;0
42.5;0.47292;0;440;69;80;33.468;0.38138;0
43;0.47292;0;293,6647679;62;80;33.871;0.38138;0
43.5;0.23542;0;329,6275569;64;80;34.274;0.18985;0
43.75;0.23542;0;349,2282314;65;80;34.476;0.18985;0
44;0.47292;0;391,995436;67;80;34.677;0.38138;0
44.5;0.47292;0;195,997718;55;80;35.081;0.38138;0
45;0.47292;0;261,6255653;60;80;35.484;0.38138;0
45.5;0.23542;0;293,6647679;62;80;35.887;0.18985;0
45.75;0.23542;0;329,6275569;64;80;36.089;0.18985;0
46;1.1854;0;349,2282314;65;80;36.29;0.95598;0
47.25;0.23542;0;391,995436;67;80;37.298;0.18985;0
47.5;0.23542;0;329,6275569;64;80;37.5;0.18985;0
47.75;0.23542;0;349,2282314;65;80;37.702;0.18985;0
48;0.23542;0;293,6647679;62;80;37.903;0.18985;0
48.25;0.23542;0;329,6275569;64;80;38.105;0.18985;0
48.5;0.23542;0;349,2282314;65;80;38.306;0.18985;0
48.75;0.23542;0;391,995436;67;80;38.508;0.18985;0
49;0.23542;0;329,6275569;64;80;38.71;0.18985;0
49.25;0.11667;0;523,2511306;72;80;38.911;0.094086;1
49.375;0.11667;0;587,3295358;74;80;39.012;0.094086;0
49.5;0.11667;0;659,2551138;76;80;39.113;0.094086;0
49.625;0.11667;0;587,3295358;74;80;39.214;0.094086;0
49.75;0.23542;0;523,2511306;72;80;39.315;0.18985;0
50;0.23542;0;783,990872;79;80;39.516;0.18985;0
50.25;0.23542;0;659,2551138;76;80;39.718;0.18985;0
50.5;0.23542;0;1046,502261;84;80;39.919;0.18985;0
50.75;0.23542;0;783,990872;79;80;40.121;0.18985;0
51;0.23542;0;659,2551138;76;80;40.323;0.18985;0
51.25;0.11667;0;783,990872;79;80;40.524;0.094086;0
