Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
16,0.25,60,80,0.485416667,0.235416667,261.6255653,0,0
18,0.5,62,80,0.735416667,0.235416667,293.6647679,0,0
20,0.75,64,80,0.985416667,0.235416667,329.6275569,0,0
22,1,65,80,1.235416667,0.235416667,349.2282314,0,1
24,1.25,62,80,1.485416667,0.235416667,293.6647679,0,0
26,1.5,64,80,1.735416667,0.235416667,329.6275569,0,0
28,1.75,60,80,1.985416667,0.235416667,261.6255653,0,0
30,2,67,80,2.472916667,0.472916667,391.995436,0,1
32,2.5,72,80,2.972916667,0.472916667,523.2511306,0,0
34,3,71,80,3.472916667,0.472916667,493.8833013,0,1
36,3.5,72,80,3.972916667,0.472916667,523.2511306,0,0
38,4,74,80,4.235416667,0.235416667,587.3295358,0,1
40,4.25,67,80,4.485416667,0.235416667,391.995436,0,0
42,4.5,69,80,4.735416667,0.235416667,440,0,0
44,4.75,71,80,4.985416667,0.235416667,493.8833013,0,0
46,5,72,80,5.235416667,0.235416667,523.2511306,0,1
48,5.25,69,80,5.485416667,0.235416667,440,0,0
50,5.5,71,80,5.735416667,0.235416667,493.8833013,0,0
52,5.75,67,80,5.985416667,0.235416667,391.995436,0,0
54,6,74,80,6.472916667,0.472916667,587.3295358,0,1
56,6.5,79,80,6.972916667,0.472916667,783.990872,0,0
58,7,67,80,8.185416667,1.185416667,391.995436,0,1
60,8.25,79,80,8.485416667,0.235416667,783.990872,1,1
62,8.5,67,80,8.735416667,0.235416667,391.995436,0,0
64,8.75,79,80,8.985416667,0.235416667,783.990872,0,0
66,9,79,80,9.235416667,0.235416667,783.990872,0,1
68,9.25,81,80,9.485416667,0.235416667,880,0,0
70,9.5,79,80,9.735416667,0.235416667,783.990872,0,0
72,9.75,81,80,9.985416667,0.235416667,880,0,0
74,10,77,80,10.23541667,0.235416667,698.4564629,0,1
76,10.25,77,80,10.48541667,0.235416667,698.4564629,0,0
78,10.5,65,80,10.73541667,0.235416667,349.2282314,0,0
80,10.75,77,80,10.98541667,0.235416667,698.4564629,0,0
82,11,77,80,11.23541667,0.235416667,698.4564629,0,1
84,11.25,79,80,11.48541667,0.235416667,783.990872,0,0
86,11.5,77,80,11.73541667,0.235416667,698.4564629,0,0
88,11.75,79,80,11.98541667,0.235416667,783.990872,0,0
90,12,76,80,12.23541667,0.235416667,659.2551138,0,1
92,12.25,67,80,12.48541667,0.235416667,391.995436,0,0
94,12.5,72,80,12.73541667,0.235416667,523.2511306,0,0
96,12.75,74,80,12.98541667,0.235416667,587.3295358,0,0
98,13,76,80,13.23541667,0.235416667,659.2551138,0,1
100,13.25,67,80,13.48541667,0.235416667,391.995436,0,0
102,13.5,72,80,13.73541667,0.235416667,523.2511306,0,0
104,13.75,74,80,13.98541667,0.235416667,587.3295358,0,0
106,14,76,80,14.11666667,0.116666667,659.2551138,0,1
108,14.125,77,80,14.24166667,0.116666667,698.4564629,0,0
110,14.25,74,80,14.36666667,0.116666667,587.3295358,0,0
112,14.375,76,80,14.49166667,0.116666667,659.2551138,0,0
114,14.5,72,80,14.97291667,0.472916667,523.2511306,0,0
116,15,67,80,15.47291667,0.472916667,391.995436,0,1
118,15.5,72,80,16.21041667,0.710416667,523.2511306,0,0
120,16.25,67,80,16.48541667,0.235416667,391.995436,1,1
122,16.5,69,80,16.73541667,0.235416667,440,0,0
124,16.75,71,80,16.98541667,0.235416667,493.8833013,0,0
126,17,72,80,17.23541667,0.235416667,523.2511306,0,0
128,17.25,74,80,17.48541667,0.235416667,587.3295358,0,0
130,17.5,76,80,17.73541667,0.235416667,659.2551138,0,0
132,17.75,77,80,17.98541667,0.235416667,698.4564629,0,0
134,18,79,80,18.23541667,0.235416667,783.990872,0,1
136,18.25,77,80,18.48541667,0.235416667,698.4564629,0,0
138,18.5,79,80,18.73541667,0.235416667,783.990872,0,0
140,18.75,81,80,18.98541667,0.235416667,880,0,0
142,19,74,80,19.23541667,0.235416667,587.3295358,0,1
144,19.25,81,80,19.48541667,0.235416667,880,0,0
146,19.5,79,80,19.73541667,0.235416667,783.990872,0,0
148,19.75,77,80,19.98541667,0.235416667,698.4564629,0,0
150,20,76,80,20.23541667,0.235416667,659.2551138,0,1
152,20.25,60,80,20.48541667,0.235416667,261.6255653,0,0
154,20.5,62,80,20.73541667,0.235416667,293.6647679,0,0
156,20.75,64,80,20.98541667,0.235416667,329.6275569,0,0
158,21,65,80,21.23541667,0.235416667,349.2282314,0,1
160,21.25,67,80,21.48541667,0.235416667,391.995436,0,0
162,21.5,69,80,21.73541667,0.235416667,440,0,0
164,21.75,71,80,21.98541667,0.235416667,493.8833013,0,0
166,22,72,80,22.23541667,0.235416667,523.2511306,0,1
168,22.25,71,80,22.48541667,0.235416667,493.8833013,0,0
170,22.5,72,80,22.97291667,0.472916667,523.2511306,0,0
172,23,76,80,23.23541667,0.235416667,659.2551138,0,1
174,23.25,74,80,23.48541667,0.235416667,587.3295358,0,0
176,23.5,72,80,24.44791667,0.947916667,523.2511306,0,0
178,24.5,67,80,24.73541667,0.235416667,391.995436,1,1
180,24.75,64,80,24.98541667,0.235416667,329.6275569,0,0
182,25,69,80,25.47291667,0.472916667,440,0,0
184,25.5,67,80,25.97291667,0.472916667,391.995436,0,0
186,26,65,80,26.47291667,0.472916667,349.2282314,0,1
