,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.001,391.995436,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
1,0.751,523.2511306,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
2,1.0,415.3046976,-17.5,0,0,stim_min_6,sub05,main,0,0,0,1
3,1.75,415.3046976,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
4,2.001,391.995436,1.0,0,0,stim_min_6,sub05,main,1,0,1,1
5,2.751,349.2282314,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
6,2.875,293.6647679,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
7,3.001,311.1269837,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
8,3.751,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
9,4.0,391.995436,1.0,0,0,stim_min_6,sub05,main,1,0,0,1
10,4.751,415.3046976,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
11,4.875,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
12,5.0,349.2282314,17.5,0,0,stim_min_6,sub05,main,0,0,1,1
13,5.376,311.1269837,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
14,5.501,293.6647679,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
15,5.875,261.6255653,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
16,6.0,246.9416506,17.5,0,0,stim_min_6,sub05,main,0,0,0,1
17,6.375,220.0,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
18,6.5,195.997718,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
19,6.876,174.6141157,17.5,0,0,stim_min_6,sub05,main,0,0,0,0
20,7.001,261.6255653,17.5,0,0,stim_min_6,sub05,main,0,0,0,1
21,8.002,523.2511306,1.0,0,0,stim_min_6,sub05,main,1,1,1,1
22,8.5,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
23,9.0,523.2511306,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
24,9.501,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
25,10.0,415.3046976,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
26,10.5,415.3046976,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
27,10.75,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
28,11.001,349.2282314,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
29,11.5,415.3046976,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
30,12.001,391.995436,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
31,12.5,349.2282314,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
32,13.001,311.1269837,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
33,13.501,293.6647679,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
34,14.0,349.2282314,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
35,14.251,311.1269837,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
36,14.501,293.6647679,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
37,14.751,311.1269837,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
38,15.001,261.6255653,-17.5,0,0,stim_min_6,sub05,main,0,0,1,1
39,16.0,523.2511306,-17.5,0,0,stim_min_6,sub05,main,1,1,0,1
40,17.001,493.8833013,-17.5,0,0,stim_min_6,sub05,main,0,0,0,1
41,17.5,587.3295358,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
42,18.0,523.2511306,-17.5,0,0,stim_min_6,sub05,main,0,0,0,1
43,18.25,493.8833013,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
44,18.5,523.2511306,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
45,19.25,523.2511306,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
46,19.376,587.3295358,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
47,19.501,622.2539674,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
48,19.626,698.4564629,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
49,19.75,783.990872,-17.5,0,0,stim_min_6,sub05,main,0,0,0,0
50,20.001,830.6093952,1.0,0,0,stim_min_6,sub05,main,1,0,1,1
51,20.501,698.4564629,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
52,21.0,587.3295358,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
53,21.5,523.2511306,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
54,22.0,493.8833013,1.0,0,0,stim_min_6,sub05,main,0,0,0,1
55,22.501,440.0,1.0,0,0,stim_min_6,sub05,main,0,0,0,0
