,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.001,523.2511306,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
1,0.25,261.6255653,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
2,0.5,329.6275569,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
3,0.75,391.995436,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
4,1.001,523.2511306,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
5,1.251,659.2551138,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
6,1.501,783.990872,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
7,1.751,1046.502261,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
8,2.25,1046.502261,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
9,2.5,987.7666025,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
10,2.751,880.0,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
11,3.0,987.7666025,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
12,3.251,1174.659072,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
13,3.501,783.990872,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
14,3.751,880.0,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
15,4.001,932.327523,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,1,1
16,4.25,783.990872,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
17,4.501,659.2551138,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
18,4.751,523.2511306,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
19,5.001,440.0,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
20,5.25,523.2511306,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
21,5.5,698.4564629,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
22,5.75,440.0,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
23,6.001,523.2511306,17.5,0,0,stim_maj_5,sub05_eeg,main,1,0,1,1
24,6.25,698.4564629,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
25,6.501,659.2551138,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
26,6.75,587.3295358,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
27,7.0,523.2511306,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
28,7.251,587.3295358,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
29,7.5,523.2511306,17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
30,8.001,261.6255653,1.0,0,0,stim_maj_5,sub05_eeg,main,1,1,1,1
31,8.501,246.9416506,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
32,9.001,293.6647679,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
33,9.5,261.6255653,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
34,10.001,329.6275569,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
35,10.501,293.6647679,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
36,11.0,349.2282314,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
37,11.5,329.6275569,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
38,12.0,523.2511306,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
39,13.001,391.995436,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
40,14.0,329.6275569,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
41,14.5,391.995436,1.0,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
42,15.001,523.2511306,-17.5,0,0,stim_maj_5,sub05_eeg,main,1,0,1,1
43,16.0,329.6275569,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,1,0,1
44,16.5,349.2282314,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
45,17.001,329.6275569,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
46,17.5,293.6647679,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
47,18.001,329.6275569,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
48,18.501,220.0,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
49,19.501,207.6523488,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
50,20.001,220.0,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
51,20.5,349.2282314,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,0
52,21.001,329.6275569,-17.5,0,0,stim_maj_5,sub05_eeg,main,0,0,0,1
