onset_sec,duration,freq,offset,loc_change
0,0.9,233.08188075904496,0.9,1
1,0.9,311.1269837220809,1.9,0
2,0.9,233.08188075904496,2.9,0
3,0.9,349.2282314330039,3.9,0
4,0.9,739.9888454232688,4.9,0
5,0.9,880.0,5.9,0
6,0.9,415.3046975799451,6.9,0
7,0.9,880.0,7.9,0
8,0.9,466.1637615180899,8.9,0
9,0.9,698.4564628660078,9.9,0
10,0.9,369.9944227116344,10.9,0
11,0.9,246.94165062806206,11.9,1
12,0.9,293.6647679174076,12.9,0
13,0.9,830.6093951598903,13.9,0
14,0.9,311.1269837220809,14.9,0
15,0.9,369.9944227116344,15.9,0
16,0.9,466.1637615180899,16.9,0
17,0.9,880.0,17.9,0
18,0.9,293.6647679174076,18.9,0
19,0.9,261.6255653005986,19.9,0
20,0.9,293.6647679174076,20.9,0
21,0.9,233.08188075904496,21.9,0
22,0.9,659.2551138257398,22.9,0
23,0.9,554.3652619537442,23.9,0
24,0.9,739.9888454232688,24.9,0
25,0.9,659.2551138257398,25.9,1
26,0.9,783.9908719634985,26.9,0
27,0.9,349.2282314330039,27.9,0
28,0.9,293.6647679174076,28.9,1
29,0.9,622.2539674441618,29.9,0
30,0.9,830.6093951598903,30.9,0
31,0.9,369.9944227116344,31.9,0
32,0.9,246.94165062806206,32.9,0
33,0.9,369.9944227116344,33.9,0
34,0.9,783.9908719634985,34.9,1
35,0.9,739.9888454232688,35.9,1
36,0.9,440.0,36.9,1
37,0.9,523.2511306011972,37.9,0
38,0.9,880.0,38.9,0
39,0.9,349.2282314330039,39.9,0
