onset_sec,duration,freq,offset,loc_change
0,0.9,246.94165062806206,0.9,0
1,0.9,369.9944227116344,1.9,1
2,0.9,880.0,2.9,0
3,0.9,659.2551138257398,3.9,0
4,0.9,246.94165062806206,4.9,0
5,0.9,698.4564628660078,5.9,0
6,0.9,369.9944227116344,6.9,0
7,0.9,739.9888454232688,7.9,1
8,0.9,587.3295358348151,8.9,0
9,0.9,880.0,9.9,0
10,0.9,523.2511306011972,10.9,0
11,0.9,659.2551138257398,11.9,1
12,0.9,369.9944227116344,12.9,0
13,0.9,880.0,13.9,0
14,0.9,277.1826309768721,14.9,0
15,0.9,659.2551138257398,15.9,0
16,0.9,369.9944227116344,16.9,0
17,0.9,391.99543598174927,17.9,0
18,0.9,391.99543598174927,18.9,1
19,0.9,440.0,19.9,1
20,0.9,659.2551138257398,20.9,1
21,0.9,277.1826309768721,21.9,0
22,0.9,369.9944227116344,22.9,0
23,0.9,391.99543598174927,23.9,0
24,0.9,523.2511306011972,24.9,0
25,0.9,587.3295358348151,25.9,0
26,0.9,369.9944227116344,26.9,0
27,0.9,440.0,27.9,0
28,0.9,698.4564628660078,28.9,0
29,0.9,830.6093951598903,29.9,0
30,0.9,415.3046975799451,30.9,0
31,0.9,391.99543598174927,31.9,0
32,0.9,369.9944227116344,32.9,0
33,0.9,622.2539674441618,33.9,1
34,0.9,369.9944227116344,34.9,0
35,0.9,277.1826309768721,35.9,0
36,0.9,659.2551138257398,36.9,0
37,0.9,220.0,37.9,0
38,0.9,369.9944227116344,38.9,0
39,0.9,311.1269837220809,39.9,0
40,0.9,554.3652619537442,40.9,0
41,0.9,349.2282314330039,41.9,0
42,0.9,466.1637615180899,42.9,0
43,0.9,493.8833012561241,43.9,0
44,0.9,349.2282314330039,44.9,0
45,0.9,311.1269837220809,45.9,0
46,0.9,783.9908719634985,46.9,0
47,0.9,293.6647679174076,47.9,1
48,0.9,587.3295358348151,48.9,0
49,0.9,440.0,49.9,0
50,0.9,261.6255653005986,50.9,0
51,0.9,261.6255653005986,51.9,0
52,0.9,246.94165062806206,52.9,0
53,0.9,415.3046975799451,53.9,0
54,0.9,880.0,54.9,0
55,0.9,233.08188075904496,55.9,0
56,0.9,369.9944227116344,56.9,0
57,0.9,391.99543598174927,57.9,0
58,0.9,466.1637615180899,58.9,0
59,0.9,659.2551138257398,59.9,0
