onset_sec,duration,freq,offset,loc_change
0,0.95,349.2282314330039,0.95,1
1,0.95,493.8833012561241,1.95,0
2,0.95,329.6275569128699,2.95,0
3,0.95,739.9888454232688,3.95,0
4,0.95,220.0,4.95,0
5,0.95,830.6093951598903,5.95,1
6,0.95,698.4564628660078,6.95,0
7,0.95,440.0,7.95,0
8,0.95,739.9888454232688,8.95,0
9,0.95,293.6647679174076,9.95,0
10,0.95,415.3046975799451,10.95,0
11,0.95,493.8833012561241,11.95,0
12,0.95,261.6255653005986,12.95,0
13,0.95,880.0,13.95,0
14,0.95,880.0,14.95,1
15,0.95,261.6255653005986,15.95,0
16,0.95,349.2282314330039,16.95,0
17,0.95,415.3046975799451,17.95,1
18,0.95,261.6255653005986,18.95,1
19,0.95,293.6647679174076,19.95,0
20,0.95,329.6275569128699,20.95,0
21,0.95,783.9908719634985,21.95,0
22,0.95,329.6275569128699,22.95,0
23,0.95,739.9888454232688,23.95,0
24,0.95,466.1637615180899,24.95,0
25,0.95,587.3295358348151,25.95,0
26,0.95,783.9908719634985,26.95,0
27,0.95,220.0,27.95,0
28,0.95,493.8833012561241,28.95,0
29,0.95,554.3652619537442,29.95,0
30,0.95,311.1269837220809,30.95,0
31,0.95,349.2282314330039,31.95,1
32,0.95,622.2539674441618,32.95,0
33,0.95,261.6255653005986,33.95,1
34,0.95,830.6093951598903,34.95,0
35,0.95,739.9888454232688,35.95,0
36,0.95,329.6275569128699,36.95,0
37,0.95,329.6275569128699,37.95,1
38,0.95,880.0,38.95,0
39,0.95,830.6093951598903,39.95,1
