,onset_sec,midi_pitch,velocity,offset,duration,freq,boundary,changable_note
16,1,67,80,1.945833333,0.945833333,391.995436,0,0
18,2,69,80,2.945833333,0.945833333,440,0,0
20,3,67,80,3.945833333,0.945833333,391.995436,0,0
22,4,72,80,4.945833333,0.945833333,523.2511306,0,0
24,5,64,80,5.945833333,0.945833333,329.6275569,0,0
26,6,62,80,6.945833333,0.945833333,293.6647679,0,0
28,7,71,80,7.470833333,0.470833333,493.8833013,0,0
30,7.5,69,80,7.970833333,0.470833333,440,0,0
32,8,72,80,8.470833333,0.470833333,523.2511306,0,0
34,8.5,71,80,8.970833333,0.470833333,493.8833013,0,0
36,9,69,80,9.470833333,0.470833333,440,0,0
38,9.5,67,80,9.970833333,0.470833333,391.995436,0,0
40,10,72,80,11.89583333,1.895833333,523.2511306,0,0
42,12.5,67,80,12.97083333,0.470833333,391.995436,0,0
44,13,64,80,13.47083333,0.470833333,329.6275569,0,0
46,13.5,67,80,13.97083333,0.470833333,391.995436,0,0
48,14,72,80,14.47083333,0.470833333,523.2511306,0,0
50,14.5,67,80,14.97083333,0.470833333,391.995436,0,0
52,15,64,80,15.47083333,0.470833333,329.6275569,0,0
54,15.5,67,80,15.97083333,0.470833333,391.995436,0,0
56,16,60,80,16.47083333,0.470833333,261.6255653,0,0
58,16.5,67,80,16.97083333,0.470833333,391.995436,0,0
60,17,64,80,17.47083333,0.470833333,329.6275569,0,0
62,17.5,67,80,17.97083333,0.470833333,391.995436,0,0
64,18,69,80,18.47083333,0.470833333,440,0,0
66,18.5,65,80,18.97083333,0.470833333,349.2282314,0,0
68,19,62,80,19.47083333,0.470833333,293.6647679,0,0
70,19.5,65,80,19.97083333,0.470833333,349.2282314,0,0
72,20,59,80,20.47083333,0.470833333,246.9416506,0,0
74,20.5,62,80,20.97083333,0.470833333,293.6647679,0,0
76,21,67,80,21.47083333,0.470833333,391.995436,0,0
78,21.5,64,80,21.97083333,0.470833333,329.6275569,0,0
80,22,62,80,22.94583333,0.945833333,293.6647679,0,0
82,23,60,80,23.94583333,0.945833333,261.6255653,0,0
84,25,74,80,25.94583333,0.945833333,587.3295358,0,0
86,26,72,80,26.94583333,0.945833333,523.2511306,0,0
88,27,71,80,27.94583333,0.945833333,493.8833013,0,0
90,28,72,80,28.94583333,0.945833333,523.2511306,0,0
92,29,67,80,29.94583333,0.945833333,391.995436,0,0
94,30,64,80,30.94583333,0.945833333,329.6275569,0,0
96,31,69,80,31.94583333,0.945833333,440,0,0
98,32,67,80,32.94583333,0.945833333,391.995436,0,0
100,33,64,80,33.94583333,0.945833333,329.6275569,0,0
102,34,60,80,35.89583333,1.895833333,261.6255653,0,0
104,36,60,80,36.94583333,0.945833333,261.6255653,0,0
106,37,62,80,37.94583333,0.945833333,293.6647679,0,0
108,38,64,80,38.94583333,0.945833333,329.6275569,0,0
110,39,65,80,39.94583333,0.945833333,349.2282314,0,0
112,40,64,80,40.94583333,0.945833333,329.6275569,0,0
114,41,62,80,41.94583333,0.945833333,293.6647679,0,0
116,42,65,80,42.94583333,0.945833333,349.2282314,0,0
118,43,64,80,43.94583333,0.945833333,329.6275569,0,0
120,44,62,80,44.94583333,0.945833333,293.6647679,0,0
122,45,64,80,45.94583333,0.945833333,329.6275569,0,0
124,46,60,80,47.89583333,1.895833333,261.6255653,0,0
