,onset_sec,midi_pitch,velocity,offset,duration,freq,boundary,changable_note
16,0.5,67,80,0.972916667,0.472916667,391.995436,0,0
18,1,69,80,1.472916667,0.472916667,440,0,0
20,1.5,67,80,1.972916667,0.472916667,391.995436,0,0
22,2,72,80,2.472916667,0.472916667,523.2511306,0,0
24,2.5,64,80,2.972916667,0.472916667,329.6275569,0,0
26,3,62,80,3.472916667,0.472916667,293.6647679,0,0
28,3.5,71,80,3.735416667,0.235416667,493.8833013,0,0
30,3.75,69,80,3.985416667,0.235416667,440,0,0
32,4,72,80,4.235416667,0.235416667,523.2511306,0,0
34,4.25,71,80,4.485416667,0.235416667,493.8833013,0,0
36,4.5,69,80,4.735416667,0.235416667,440,0,0
38,4.75,67,80,4.985416667,0.235416667,391.995436,0,0
40,5,72,80,5.947916665,0.947916667,523.2511306,0,0
42,6.25,67,80,6.485416665,0.235416667,391.995436,0,0
44,6.5,64,80,6.735416665,0.235416667,329.6275569,0,0
46,6.75,67,80,6.985416665,0.235416667,391.995436,0,0
48,7,72,80,7.235416665,0.235416667,523.2511306,0,0
50,7.25,67,80,7.485416665,0.235416667,391.995436,0,0
52,7.5,64,80,7.735416665,0.235416667,329.6275569,0,0
54,7.75,67,80,7.985416665,0.235416667,391.995436,0,0
56,8,60,80,8.235416665,0.235416667,261.6255653,0,0
58,8.25,67,80,8.485416665,0.235416667,391.995436,0,0
60,8.5,64,80,8.735416665,0.235416667,329.6275569,0,0
62,8.75,67,80,8.985416665,0.235416667,391.995436,0,0
64,9,69,80,9.235416665,0.235416667,440,0,0
66,9.25,65,80,9.485416665,0.235416667,349.2282314,0,0
68,9.5,62,80,9.735416665,0.235416667,293.6647679,0,0
70,9.75,65,80,9.985416665,0.235416667,349.2282314,0,0
72,10,59,80,10.23541667,0.235416667,246.9416506,0,0
74,10.25,62,80,10.48541667,0.235416667,293.6647679,0,0
76,10.5,67,80,10.73541667,0.235416667,391.995436,0,0
78,10.75,64,80,10.98541667,0.235416667,329.6275569,0,0
80,11,62,80,11.47291667,0.472916667,293.6647679,0,0
82,11.5,60,80,11.97291667,0.472916667,261.6255653,0,0
84,12.5,74,80,12.97291667,0.472916667,587.3295358,0,0
86,13,72,80,13.47291667,0.472916667,523.2511306,0,0
88,13.5,71,80,13.97291667,0.472916667,493.8833013,0,0
90,14,72,80,14.47291667,0.472916667,523.2511306,0,0
92,14.5,67,80,14.97291667,0.472916667,391.995436,0,0
94,15,64,80,15.47291667,0.472916667,329.6275569,0,0
96,15.5,69,80,15.97291667,0.472916667,440,0,0
98,16,67,80,16.47291667,0.472916667,391.995436,0,0
100,16.5,64,80,16.97291667,0.472916667,329.6275569,0,0
102,17,60,80,17.94791667,0.947916667,261.6255653,0,0
104,18,60,80,18.47291667,0.472916667,261.6255653,0,0
106,18.5,62,80,18.97291667,0.472916667,293.6647679,0,0
108,19,64,80,19.47291667,0.472916667,329.6275569,0,0
110,19.5,65,80,19.97291667,0.472916667,349.2282314,0,0
112,20,64,80,20.47291667,0.472916667,329.6275569,0,0
114,20.5,62,80,20.97291667,0.472916667,293.6647679,0,0
116,21,65,80,21.47291667,0.472916667,349.2282314,0,0
118,21.5,64,80,21.97291667,0.472916667,329.6275569,0,0
120,22,62,80,22.47291667,0.472916667,293.6647679,0,0
122,22.5,64,80,22.97291667,0.472916667,329.6275569,0,0
124,23,60,80,23.94791667,0.947916667,261.6255653,0,0
