Column1,onset_sec,offset,midi_pitch,duration,freq,boundary,changable_note
16,0,0.472916667,60,0.472916667,261.6255653,0,0
18,0.5,1.447916667,69,0.947916667,440,0,0
20,1.5,1.972916667,67,0.472916667,391.995436,0,0
22,2,2.472916667,65,0.472916667,349.2282314,0,1
24,2.5,2.735416667,65,0.235416667,349.2282314,0,0
26,2.75,2.985416667,64,0.235416667,329.6275569,0,0
28,3,3.472916667,65,0.472916667,349.2282314,0,1
30,3.5,3.972916667,69,0.472916667,440,0,0
32,4,4.472916667,62,0.472916667,293.6647679,0,1
34,4.5,5.447916667,67,0.947916667,391.995436,0,0
36,5.5,5.972916667,65,0.472916667,349.2282314,0,0
38,6,6.472916667,64,0.472916667,329.6275569,0,1
40,6.5,6.735416667,64,0.235416667,329.6275569,0,0
42,6.75,6.985416667,62,0.235416667,293.6647679,0,0
44,7,7.472916667,64,0.472916667,329.6275569,0,1
46,7.5,8.447916667,60,0.947916667,261.6255653,0,0
48,8.5,8.972916667,67,0.472916667,391.995436,1,1
50,9,9.472916667,64,0.472916667,329.6275569,0,0
52,9.5,9.972916667,69,0.472916667,440,0,0
54,10,10.47291667,62,0.472916667,293.6647679,0,1
56,10.5,10.73541667,64,0.235416667,329.6275569,0,0
58,10.75,10.98541667,65,0.235416667,349.2282314,0,0
60,11,11.47291667,67,0.472916667,391.995436,0,1
62,11.5,11.97291667,55,0.472916667,195.997718,0,0
64,12,12.47291667,60,0.472916667,261.6255653,0,1
66,12.5,12.73541667,62,0.235416667,293.6647679,0,0
68,12.75,12.98541667,64,0.235416667,329.6275569,0,0
70,13,14.18541667,65,1.185416667,349.2282314,0,1
72,14.25,14.48541667,67,0.235416667,391.995436,0,0
74,14.5,14.73541667,64,0.235416667,329.6275569,0,0
76,14.75,14.98541667,65,0.235416667,349.2282314,0,0
78,15,15.47291667,62,0.472916667,293.6647679,0,1
80,15.5,16.44791667,60,0.947916667,261.6255653,0,0
82,16.5,16.73541667,60,0.235416667,261.6255653,1,0
84,16.75,16.98541667,62,0.235416667,293.6647679,0,0
86,17,17.23541667,64,0.235416667,329.6275569,0,1
88,17.25,17.48541667,62,0.235416667,293.6647679,0,0
90,17.5,17.73541667,60,0.235416667,261.6255653,0,0
92,17.75,17.98541667,64,0.235416667,329.6275569,0,0
94,18,18.23541667,62,0.235416667,293.6647679,0,1
96,18.25,18.48541667,65,0.235416667,349.2282314,0,0
98,18.5,19.21041667,64,0.710416667,329.6275569,0,0
100,19.25,19.48541667,67,0.235416667,391.995436,0,0
102,19.5,20.21041667,65,0.710416667,349.2282314,0,0
104,20.25,20.48541667,69,0.235416667,440,0,0
106,20.5,20.73541667,67,0.235416667,391.995436,0,0
108,20.75,20.98541667,65,0.235416667,349.2282314,0,0
110,21,21.23541667,67,0.235416667,391.995436,0,1
112,21.25,21.48541667,62,0.235416667,293.6647679,0,0
114,21.5,21.73541667,64,0.235416667,329.6275569,0,0
116,21.75,21.98541667,65,0.235416667,349.2282314,0,0
118,22,22.23541667,64,0.235416667,329.6275569,0,1
120,22.25,22.48541667,60,0.235416667,261.6255653,0,0
122,22.5,22.97291667,62,0.472916667,293.6647679,0,0
124,23,23.94791667,60,0.947916667,261.6255653,0,1
126,24,24.47291667,72,0.472916667,523.2511306,1,1
128,24.5,24.97291667,72,0.472916667,523.2511306,0,0
130,25,26.42291667,76,1.422916667,659.2551138,0,1
132,26.5,26.97291667,74,0.472916667,587.3295358,0,0
134,27,27.47291667,72,0.472916667,523.2511306,0,1
136,27.5,27.97291667,72,0.472916667,523.2511306,0,0
138,28,28.47291667,72,0.472916667,523.2511306,0,1
140,28.5,28.73541667,71,0.235416667,493.8833013,0,0
142,28.75,28.98541667,72,0.235416667,523.2511306,0,0
144,29,30.42291667,74,1.422916667,587.3295358,0,1
146,30.5,30.97291667,76,0.472916667,659.2551138,0,0
148,31,31.94791667,72,0.947916667,523.2511306,0,1
150,32,32.47291667,67,0.472916667,391.995436,1,1
152,32.5,32.73541667,69,0.235416667,440,0,0
154,32.75,32.98541667,71,0.235416667,493.8833013,0,0
156,33,33.47291667,72,0.472916667,523.2511306,0,1
158,33.5,33.97291667,60,0.472916667,261.6255653,0,0
160,34,34.47291667,65,0.472916667,349.2282314,0,1
162,34.5,34.97291667,65,0.472916667,349.2282314,0,0
164,35,35.47291667,65,0.472916667,349.2282314,0,1
166,35.5,35.73541667,64,0.235416667,329.6275569,0,0
168,35.75,35.98541667,62,0.235416667,293.6647679,0,0
170,36,36.47291667,64,0.472916667,329.6275569,0,1
172,36.5,36.97291667,62,0.472916667,293.6647679,0,0
174,37,37.47291667,64,0.472916667,329.6275569,0,1
176,37.5,37.97291667,60,0.472916667,261.6255653,0,0
178,38,38.94791667,62,0.947916667,293.6647679,0,1
180,39,39.94791667,60,0.947916667,261.6255653,0,1
182,40,41.18541667,60,1.185416667,261.6255653,1,1
184,41.25,41.48541667,59,0.235416667,246.9416506,0,0
186,41.5,41.73541667,60,0.235416667,261.6255653,0,0
188,41.75,41.98541667,62,0.235416667,293.6647679,0,0
190,42,42.47291667,64,0.472916667,329.6275569,0,1
192,42.5,42.97291667,60,0.472916667,261.6255653,0,0
194,43,43.47291667,57,0.472916667,220,0,1
196,43.5,43.97291667,66,0.472916667,369.9944227,0,0
198,44,44.47291667,67,0.472916667,391.995436,0,1
200,44.5,44.97291667,62,0.472916667,293.6647679,0,0
202,45,45.47291667,64,0.472916667,329.6275569,0,1
204,45.5,45.97291667,59,0.472916667,246.9416506,0,0
206,46,46.23541667,60,0.235416667,261.6255653,0,1
208,46.25,46.48541667,62,0.235416667,293.6647679,0,0
210,46.5,46.73541667,64,0.235416667,329.6275569,0,0
212,46.75,46.98541667,59,0.235416667,246.9416506,0,0
214,47,48.18541667,60,1.185416667,261.6255653,0,1
216,48.25,48.48541667,67,0.235416667,391.995436,1,0
218,48.5,48.73541667,69,0.235416667,440,0,0
220,48.75,48.98541667,71,0.235416667,493.8833013,0,0
222,49,49.23541667,72,0.235416667,523.2511306,0,1
224,49.25,49.48541667,74,0.235416667,587.3295358,0,0
226,49.5,49.73541667,76,0.235416667,659.2551138,0,0
228,49.75,49.98541667,77,0.235416667,698.4564629,0,0
230,50,50.23541667,79,0.235416667,783.990872,0,1
232,50.25,50.48541667,77,0.235416667,698.4564629,0,0
234,50.5,50.73541667,79,0.235416667,783.990872,0,0
236,50.75,50.98541667,81,0.235416667,880,0,0
238,51,51.23541667,74,0.235416667,587.3295358,0,1
240,51.25,51.48541667,81,0.235416667,880,0,0
242,51.5,51.73541667,79,0.235416667,783.990872,0,0
244,51.75,51.98541667,77,0.235416667,698.4564629,0,0
246,52,52.23541667,76,0.235416667,659.2551138,0,1
248,52.25,52.48541667,60,0.235416667,261.6255653,0,0
250,52.5,52.73541667,62,0.235416667,293.6647679,0,0
252,52.75,52.98541667,64,0.235416667,329.6275569,0,0
254,53,53.23541667,65,0.235416667,349.2282314,0,1
256,53.25,53.48541667,67,0.235416667,391.995436,0,0
258,53.5,53.73541667,69,0.235416667,440,0,0
260,53.75,53.98541667,71,0.235416667,493.8833013,0,0
262,54,54.23541667,72,0.235416667,523.2511306,0,1
264,54.25,54.48541667,71,0.235416667,493.8833013,0,0
266,54.5,54.97291667,72,0.472916667,523.2511306,0,0
268,55,55.47291667,76,0.472916667,659.2551138,0,1
270,55.5,55.97291667,72,0.472916667,523.2511306,0,0
272,56,56.94791667,60,0.947916667,261.6255653,1,1
274,57,57.94791667,64,0.947916667,329.6275569,0,1
276,58,58.94791667,69,0.947916667,440,0,1
278,59,59.94791667,65,0.947916667,349.2282314,0,1
280,60,60.94791667,62,0.947916667,293.6647679,0,1
282,61,61.94791667,71,0.947916667,493.8833013,0,1
284,62,63.89791667,72,1.897916667,523.2511306,0,0
