;onset_sec;note;velocity;offset;duration;freq;boundary;changable_notes
16;0.0;67.0;80.0;0.23541666666666666;0.23541666666666666;391.9954359817492;0;0
18;0.25;62.0;80.0;0.48541666666666666;0.23541666666666666;293.66476791740763;0;0
20;0.5;64.0;80.0;0.7354166666666666;0.2354166666666666;329.62755691286986;0;0
22;0.7499999999999999;67.0;80.0;0.9854166666666666;0.23541666666666672;391.9954359817492;0;0
24;0.9999999999999999;60.0;80.0;1.2354166666666666;0.23541666666666672;261.6255653005986;0;1
26;1.25;64.0;80.0;1.4854166666666666;0.2354166666666666;329.62755691286986;0;0
28;1.5;67.0;80.0;1.7354166666666666;0.2354166666666666;391.9954359817492;0;0
30;1.75;70.0;80.0;1.9854166666666666;0.2354166666666666;466.1637615180898;0;0
32;2.0;69.0;80.0;2.2354166666666666;0.2354166666666666;440.0;0;1
34;2.25;64.0;80.0;2.4854166666666666;0.2354166666666666;329.62755691286986;0;0
36;2.5;65.0;80.0;2.7354166666666666;0.2354166666666666;349.22823143300394;0;0
38;2.75;69.0;80.0;2.9854166666666666;0.2354166666666666;440.0;0;0
40;3.0;60.0;80.0;3.2354166666666666;0.2354166666666666;261.6255653005986;0;1
42;3.25;65.0;80.0;3.4854166666666666;0.2354166666666666;349.22823143300394;0;0
44;3.5;69.0;80.0;3.7354166666666666;0.2354166666666666;440.0;0;0
46;3.75;72.0;80.0;3.9854166666666666;0.2354166666666666;523.2511306011972;0;0
48;4.0;71.0;80.0;4.235416666666667;0.2354166666666666;493.88330125612424;0;1
50;4.25;64.0;80.0;4.485416666666667;0.2354166666666666;329.62755691286986;0;0
52;4.5;65.0;80.0;4.735416666666667;0.2354166666666666;349.22823143300394;0;0
54;4.75;71.0;80.0;4.985416666666667;0.2354166666666666;493.88330125612424;0;0
56;5.0;62.0;80.0;5.235416666666667;0.2354166666666666;293.66476791740763;0;1
58;5.25;65.0;80.0;5.485416666666667;0.2354166666666666;349.22823143300394;0;0
60;5.5;71.0;80.0;5.735416666666667;0.2354166666666666;493.88330125612424;0;0
62;5.75;74.0;80.0;5.985416666666667;0.2354166666666666;587.3295358348153;0;0
64;6.0;74.0;80.0;6.235416666666667;0.2354166666666666;587.3295358348153;0;1
66;6.25;71.0;80.0;6.485416666666667;0.2354166666666666;493.88330125612424;0;0
68;6.5;72.0;80.0;6.735416666666667;0.2354166666666666;523.2511306011972;0;0
70;6.75;76.0;80.0;6.985416666666667;0.2354166666666666;659.2551138257397;0;0
72;7.0;67.0;80.0;7.235416666666667;0.2354166666666666;391.9954359817492;0;1
74;7.25;71.0;80.0;7.485416666666667;0.2354166666666666;493.88330125612424;0;0
76;7.5;72.0;80.0;7.972916666666666;0.47291666666666643;523.2511306011972;0;0
78;8.0;72.0;80.0;8.472916666666666;0.47291666666666643;523.2511306011972;1;1
80;8.5;67.0;80.0;8.972916666666666;0.47291666666666643;391.9954359817492;0;0
82;9.0;69.0;80.0;9.472916666666666;0.47291666666666643;440.0;0;1
84;9.5;65.0;80.0;9.972916666666666;0.47291666666666643;349.22823143300394;0;0
86;10.0;64.0;80.0;11.422916666666666;1.4229166666666657;329.62755691286986;0;1
88;11.499999999999998;65.0;80.0;11.972916666666665;0.47291666666666643;349.22823143300394;0;1
90;11.999999999999998;67.0;80.0;12.472916666666665;0.47291666666666643;391.9954359817492;0;1
92;12.499999999999998;62.0;80.0;12.972916666666665;0.47291666666666643;293.66476791740763;0;0
94;12.999999999999998;64.0;80.0;13.472916666666665;0.47291666666666643;329.62755691286986;0;1
96;13.499999999999998;60.0;80.0;13.972916666666665;0.47291666666666643;261.6255653005986;0;0
98;13.999999999999998;59.0;80.0;14.947916666666664;0.9479166666666661;246.94165062806212;0;1
100;14.999999999999998;57.0;80.0;15.472916666666665;0.47291666666666643;220.0;0;1
102;15.499999999999998;55.0;80.0;15.972916666666665;0.47291666666666643;195.99771799087466;0;1
104;15.999999999999998;67.0;80.0;16.235416666666666;0.2354166666666675;391.9954359817492;1;1
106;16.25;72.0;80.0;16.485416666666666;0.23541666666666572;523.2511306011972;0;0
108;16.5;71.0;80.0;16.735416666666666;0.23541666666666572;493.88330125612424;0;0
110;16.75;69.0;80.0;16.985416666666666;0.23541666666666572;440.0;0;0
112;17.0;67.0;80.0;17.235416666666666;0.23541666666666572;391.9954359817492;0;1
114;17.25;65.0;80.0;17.485416666666666;0.23541666666666572;349.22823143300394;0;0
116;17.5;64.0;80.0;17.735416666666666;0.23541666666666572;329.62755691286986;0;0
118;17.75;62.0;80.0;17.985416666666666;0.23541666666666572;293.66476791740763;0;0
120;18.0;60.0;80.0;18.472916666666666;0.47291666666666643;261.6255653005986;0;1
122;18.5;60.0;80.0;19.447916666666668;0.9479166666666679;261.6255653005986;0;1
124;19.5;62.0;80.0;19.972916666666666;0.47291666666666643;293.66476791740763;0;1
126;20.0;64.0;80.0;20.235416666666666;0.23541666666666572;329.62755691286986;0;1
128;20.25;60.0;80.0;20.485416666666666;0.23541666666666572;261.6255653005986;0;0
130;20.5;59.0;80.0;20.735416666666666;0.23541666666666572;246.94165062806212;0;0
132;20.75;60.0;80.0;20.985416666666666;0.23541666666666572;261.6255653005986;0;0
134;21.0;65.0;80.0;21.235416666666666;0.23541666666666572;349.22823143300394;0;1
136;21.25;62.0;80.0;21.485416666666666;0.23541666666666572;293.66476791740763;0;0
138;21.5;60.0;80.0;21.735416666666666;0.23541666666666572;261.6255653005986;0;0
140;21.75;62.0;80.0;21.985416666666666;0.23541666666666572;293.66476791740763;0;0
142;22.0;64.0;80.0;22.235416666666666;0.23541666666666572;329.62755691286986;0;1
144;22.25;65.0;80.0;22.485416666666666;0.23541666666666572;349.22823143300394;0;0
