Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
16,0,72,80,0.235416667,0.235416667,523.2511306,0,0
18,0.25,71,80,0.485416667,0.235416667,493.8833013,0,0
20,0.5,72,80,0.972916667,0.472916667,523.2511306,0,0
22,1,67,80,1.472916667,0.472916667,391.995436,0,1
24,1.5,68,80,1.972916667,0.472916667,415.3046976,0,0
26,2,72,80,2.235416667,0.235416667,523.2511306,0,1
28,2.25,71,80,2.485416667,0.235416667,493.8833013,0,0
30,2.5,72,80,2.972916667,0.472916667,523.2511306,0,0
32,3,74,80,3.472916667,0.472916667,587.3295358,0,1
34,3.5,67,80,3.972916667,0.472916667,391.995436,0,0
36,4,72,80,4.235416667,0.235416667,523.2511306,0,1
38,4.25,71,80,4.485416667,0.235416667,493.8833013,0,0
40,4.5,72,80,4.972916667,0.472916667,523.2511306,0,0
42,5,74,80,5.472916667,0.472916667,587.3295358,0,1
44,5.5,65,80,5.735416667,0.235416667,349.2282314,0,0
46,5.75,67,80,5.985416667,0.235416667,391.995436,0,0
48,6,68,80,6.235416667,0.235416667,415.3046976,0,1
50,6.25,67,80,6.485416667,0.235416667,391.995436,0,0
52,6.5,65,80,6.972916667,0.472916667,349.2282314,0,0
54,7,63,80,7.947916667,0.947916667,311.1269837,0,1
56,8,60,80,8.947916667,0.947916667,261.6255653,1,1
58,9,67,80,10.42291667,1.422916667,391.995436,0,1
60,10.5,68,80,10.97291667,0.472916667,415.3046976,0,0
62,11,67,80,11.47291667,0.472916667,391.995436,0,1
64,11.5,65,80,11.97291667,0.472916667,349.2282314,0,1
66,12,63,80,12.47291667,0.472916667,311.1269837,0,1
68,12.5,65,80,12.97291667,0.472916667,349.2282314,0,0
70,13,67,80,13.47291667,0.472916667,391.995436,0,1
72,13.5,62,80,13.97291667,0.472916667,293.6647679,0,0
74,14,59,80,14.94791667,0.947916667,246.9416506,0,1
76,15,60,80,15.94791667,0.947916667,261.6255653,0,1
78,16,67,80,16.94791667,0.947916667,391.995436,1,1
80,17,68,80,17.94791667,0.947916667,415.3046976,0,1
82,18,67,80,18.94791667,0.947916667,391.995436,0,1
84,19,66,80,19.94791667,0.947916667,369.9944227,0,1
86,20,71,80,20.94791667,0.947916667,493.8833013,0,1
88,21,72,80,21.94791667,0.947916667,523.2511306,0,1
