Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
16,0.5,60,80,0.972916667,0.472916667,261.6255653,0,0
18,1,62,80,1.472916667,0.472916667,293.6647679,0,1
20,1.5,63,80,1.972916667,0.472916667,311.1269837,0,0
22,2,65,80,2.472916667,0.472916667,349.2282314,0,1
24,2.5,62,80,2.972916667,0.472916667,293.6647679,0,0
26,3,63,80,3.235416667,0.235416667,311.1269837,0,1
28,3.25,60,80,3.485416667,0.235416667,261.6255653,0,0
30,3.5,59,80,3.735416667,0.235416667,246.9416506,0,0
32,3.75,60,80,3.985416667,0.235416667,261.6255653,0,0
34,4,63,80,4.472916667,0.472916667,311.1269837,0,1
36,4.5,62,80,4.972916667,0.472916667,293.6647679,0,0
38,5,60,80,5.947916667,0.947916667,261.6255653,0,1
40,6,60,80,6.235416667,0.235416667,261.6255653,1,1
42,6.25,63,80,6.485416667,0.235416667,311.1269837,0,0
44,6.5,67,80,6.735416667,0.235416667,391.995436,0,0
46,6.75,72,80,6.985416667,0.235416667,523.2511306,0,0
48,7,71,80,7.235416667,0.235416667,493.8833013,0,1
50,7.25,72,80,7.485416667,0.235416667,523.2511306,0,0
52,7.5,70,80,7.735416667,0.235416667,466.1637615,0,0
54,7.75,72,80,7.985416667,0.235416667,523.2511306,0,0
56,8,69,80,8.235416667,0.235416667,440,0,1
58,8.25,72,80,8.485416667,0.235416667,523.2511306,0,0
60,8.5,68,80,8.735416667,0.235416667,415.3046976,0,0
62,8.75,72,80,8.985416667,0.235416667,523.2511306,0,0
64,9,67,80,9.235416667,0.235416667,391.995436,0,1
66,9.25,72,80,9.485416667,0.235416667,523.2511306,0,0
68,9.5,71,80,9.735416667,0.235416667,493.8833013,0,0
70,9.75,72,80,9.985416667,0.235416667,523.2511306,0,0
72,10,66,80,10.23541667,0.235416667,369.9944227,0,1
74,10.25,69,80,10.48541667,0.235416667,440,0,0
76,10.5,63,80,10.73541667,0.235416667,311.1269837,0,0
78,10.75,62,80,10.98541667,0.235416667,293.6647679,0,0
80,11,63,80,11.23541667,0.235416667,311.1269837,0,1
82,11.25,67,80,11.48541667,0.235416667,391.995436,0,0
84,11.5,60,80,12.44791667,0.947916667,261.6255653,0,0
86,12.5,60,80,12.97291667,0.472916667,261.6255653,1,1
88,13,62,80,13.47291667,0.472916667,293.6647679,0,0
90,13.5,63,80,15.39791667,1.897916667,311.1269837,0,0
92,15.5,62,80,15.73541667,0.235416667,293.6647679,0,1
94,15.75,64,80,15.98541667,0.235416667,329.6275569,0,0
96,16,65,80,16.94791667,0.947916667,349.2282314,0,1
98,17,64,80,17.47291667,0.472916667,329.6275569,0,1
100,17.5,60,80,18.44791667,0.947916667,261.6255653,0,0
102,18.5,67,80,18.97291667,0.472916667,391.995436,1,1
104,19,72,80,19.47291667,0.472916667,523.2511306,0,0
106,19.5,74,80,19.97291667,0.472916667,587.3295358,0,0
108,20,75,80,20.94791667,0.947916667,622.2539674,0,1
110,21,75,80,21.47291667,0.472916667,622.2539674,0,1
112,21.5,74,80,21.97291667,0.472916667,587.3295358,0,0
114,22,77,80,22.47291667,0.472916667,698.4564629,0,1
116,22.5,75,80,22.97291667,0.472916667,622.2539674,0,0
118,23,74,80,23.47291667,0.472916667,587.3295358,0,1
120,23.5,72,80,23.97291667,0.472916667,523.2511306,0,0
122,24,60,80,24.94791667,0.947916667,261.6255653,1,1
124,25,62,80,26.42291667,1.422916667,293.6647679,0,1
126,26.5,63,80,26.97291667,0.472916667,311.1269837,0,1
128,27,65,80,27.47291667,0.472916667,349.2282314,0,1
130,27.5,59,80,27.97291667,0.472916667,246.9416506,0,0
132,28,60,80,28.71041667,0.710416667,261.6255653,0,1
134,28.75,62,80,28.98541667,0.235416667,293.6647679,0,0
136,29,60,80,29.23541667,0.235416667,261.6255653,0,1
138,29.25,62,80,29.48541667,0.235416667,293.6647679,0,0
140,29.5,60,80,29.97291667,0.472916667,261.6255653,0,0
142,30,60,80,30.23541667,0.235416667,261.6255653,1,1
144,30.25,62,80,30.48541667,0.235416667,293.6647679,0,0
146,30.5,63,80,30.73541667,0.235416667,311.1269837,0,0
148,30.75,65,80,30.98541667,0.235416667,349.2282314,0,0
150,31,67,80,31.23541667,0.235416667,391.995436,0,1
152,31.25,68,80,31.48541667,0.235416667,415.3046976,0,0
154,31.5,59,80,31.73541667,0.235416667,246.9416506,0,0
156,31.75,68,80,31.98541667,0.235416667,415.3046976,0,0
158,32,67,80,32.23541667,0.235416667,391.995436,0,1
160,32.25,65,80,32.48541667,0.235416667,349.2282314,0,0
162,32.5,63,80,32.73541667,0.235416667,311.1269837,0,0
164,32.75,62,80,32.98541667,0.235416667,293.6647679,0,0
166,33,71,80,33.47291667,0.472916667,493.8833013,0,1
168,33.5,75,80,33.97291667,0.472916667,622.2539674,0,0
170,34,68,80,34.47291667,0.472916667,415.3046976,0,0
172,34.5,74,80,34.97291667,0.472916667,587.3295358,0,0
174,35,75,80,35.47291667,0.472916667,622.2539674,0,1
176,35.5,72,80,35.97291667,0.472916667,523.2511306,0,0
178,36,67,80,36.23541667,0.235416667,391.995436,1,1
180,36.25,65,80,36.48541667,0.235416667,349.2282314,0,0
182,36.5,63,80,36.73541667,0.235416667,311.1269837,0,0
184,36.75,62,80,36.98541667,0.235416667,293.6647679,0,0
186,37,63,80,37.47291667,0.472916667,311.1269837,0,1
188,37.5,60,80,37.97291667,0.472916667,261.6255653,0,0
190,38,68,80,38.94791667,0.947916667,415.3046976,0,1
192,39,68,80,39.23541667,0.235416667,415.3046976,0,1
194,39.25,67,80,39.48541667,0.235416667,391.995436,0,0
196,39.5,65,80,39.73541667,0.235416667,349.2282314,0,0
198,39.75,64,80,39.98541667,0.235416667,329.6275569,0,0
200,40,65,80,40.47291667,0.472916667,349.2282314,0,1
202,40.5,62,80,40.97291667,0.472916667,293.6647679,0,0
204,41,63,80,41.47291667,0.472916667,311.1269837,0,1
206,41.5,60,80,41.97291667,0.472916667,261.6255653,0,0
208,42,72,80,42.47291667,0.472916667,523.2511306,1,1
210,42.5,72,80,42.97291667,0.472916667,523.2511306,0,0
212,43,70,80,43.47291667,0.472916667,466.1637615,0,1
214,43.5,68,80,43.97291667,0.472916667,415.3046976,0,0
216,44,70,80,44.47291667,0.472916667,466.1637615,0,1
218,44.5,67,80,44.97291667,0.472916667,391.995436,0,0
220,45,68,80,45.94791667,0.947916667,415.3046976,0,1
222,46,67,80,46.47291667,0.472916667,391.995436,0,1
224,46.5,65,80,46.97291667,0.472916667,349.2282314,0,0
226,47,63,80,47.23541667,0.235416667,311.1269837,0,0
228,47.25,62,80,47.48541667,0.235416667,293.6647679,0,0
230,47.5,60,80,47.97291667,0.472916667,261.6255653,0,0
