Column1;onset_sec;note;velocity;offset;duration;freq;boundary;changable_notes
16;0;67;80;0.710416667;0.710416667;391.995436;0;0
18;0.75;67;80;0.985416667;0.235416667;391.995436;0;0
20;1;72;80;1.235416667;0.235416667;523.2511306;0;1
22;1.25;71;80;1.485416667;0.235416667;493.8833013;0;0
24;1.5;72;80;1.735416667;0.235416667;523.2511306;0;0
26;1.75;74;80;1.985416667;0.235416667;587.3295358;0;0
28;2;65;80;2.235416667;0.235416667;349.2282314;0;1
30;2.25;68;80;2.485416667;0.235416667;415.3046976;0;0
32;2.5;67;80;2.735416667;0.235416667;391.995436;0;0
34;2.75;68;80;3.222916667;0.472916667;415.3046976;0;0
36;3.25;68;80;3.485416667;0.235416667;415.3046976;0;0
38;3.5;67;80;3.735416667;0.235416667;391.995436;0;0
40;3.75;65;80;3.985416667;0.235416667;349.2282314;0;0
42;4;63;80;4.235416667;0.235416667;311.1269837;0;1
44;4.25;62;80;4.485416667;0.235416667;293.6647679;0;0
46;4.5;60;80;4.735416667;0.235416667;261.6255653;0;0
48;4.75;62;80;4.985416667;0.235416667;293.6647679;0;0
50;5;63;80;5.472916667;0.472916667;311.1269837;0;1
52;5.5;72;80;6.210416667;0.710416667;523.2511306;0;0
54;6.25;72;80;6.485416667;0.235416667;523.2511306;0;0
56;6.5;71;80;6.735416667;0.235416667;493.8833013;0;0
58;6.75;74;80;6.985416667;0.235416667;587.3295358;0;0
60;7;72;80;7.947916667;0.947916667;523.2511306;0;1
62;8;72;80;8.947916667;0.947916667;523.2511306;1;1
64;9;67;80;9.947916667;0.947916667;391.995436;0;1
66;10;65;80;10.47291667;0.472916667;349.2282314;0;1
68;10.5;67;80;10.97291667;0.472916667;391.995436;0;0
70;11;68;80;11.94791667;0.947916667;415.3046976;0;1
72;12;67;80;12.47291667;0.472916667;391.995436;0;1
74;12.5;65;80;12.97291667;0.472916667;349.2282314;0;0
76;13;67;80;13.94791667;0.947916667;391.995436;0;1
78;14;60;80;14.94791667;0.947916667;261.6255653;0;1
80;15;60;80;15.94791667;0.947916667;261.6255653;0;1
82;16;63;80;17.18541667;1.185416667;311.1269837;1;1
84;17.25;72;80;17.48541667;0.235416667;523.2511306;0;1
86;17.5;71;80;17.73541667;0.235416667;493.8833013;0;0
88;17.75;72;80;17.98541667;0.235416667;523.2511306;0;0
90;18;65;80;19.18541667;1.185416667;349.2282314;0;1
92;19.25;74;80;19.48541667;0.235416667;587.3295358;0;1
94;19.5;72;80;19.73541667;0.235416667;523.2511306;0;0
96;19.75;74;80;19.98541667;0.235416667;587.3295358;0;0
98;20;67;80;20.23541667;0.235416667;391.995436;0;1
100;20.25;60;80;20.48541667;0.235416667;261.6255653;0;0
102;20.5;63;80;20.73541667;0.235416667;311.1269837;0;0
104;20.75;67;80;20.98541667;0.235416667;391.995436;0;0
106;21;72;80;21.23541667;0.235416667;523.2511306;0;1
108;21.25;75;80;21.48541667;0.235416667;622.2539674;0;0
110;21.5;74;80;21.73541667;0.235416667;587.3295358;0;0
112;21.75;72;80;21.98541667;0.235416667;523.2511306;0;0
114;22;71;80;22.23541667;0.235416667;493.8833013;0;1
116;22.25;72;80;22.48541667;0.235416667;523.2511306;0;0
118;22.5;74;80;22.73541667;0.235416667;587.3295358;0;0
120;22.75;68;80;22.98541667;0.235416667;415.3046976;0;0
122;23;67;80;23.23541667;0.235416667;391.995436;0;1
124;23.25;65;80;23.48541667;0.235416667;349.2282314;0;0
126;23.5;63;80;23.73541667;0.235416667;311.1269837;0;0
128;23.75;60;80;23.98541667;0.235416667;261.6255653;0;0
130;24;72;80;24.47291667;0.472916667;523.2511306;1;1
132;24.5;75;80;24.73541667;0.235416667;622.2539674;0;0
134;24.75;74;80;24.98541667;0.235416667;587.3295358;0;0
136;25;75;80;25.47291667;0.472916667;622.2539674;0;1
138;25.5;72;80;25.73541667;0.235416667;523.2511306;0;0
140;25.75;67;80;25.98541667;0.235416667;391.995436;0;0
142;26;74;80;26.47291667;0.472916667;587.3295358;0;1
144;26.5;71;80;26.73541667;0.235416667;493.8833013;0;0
146;26.75;67;80;26.98541667;0.235416667;391.995436;0;0
148;27;72;80;27.94791667;0.947916667;523.2511306;0;1
150;28;68;80;28.47291667;0.472916667;415.3046976;0;1
152;28.5;65;80;28.73541667;0.235416667;349.2282314;0;0
154;28.75;62;80;28.98541667;0.235416667;293.6647679;0;0
156;29;67;80;29.47291667;0.472916667;391.995436;0;1
158;29.5;63;80;29.73541667;0.235416667;311.1269837;0;0
160;29.75;60;80;29.98541667;0.235416667;261.6255653;0;0
162;30;65;80;30.23541667;0.235416667;349.2282314;0;1
164;30.25;62;80;30.48541667;0.235416667;293.6647679;0;0
166;30.5;67;80;30.97291667;0.472916667;233.0818807590449;0;0
168;31;63;80;31.47291667;0.9479166666666679;261.6255653005986;0;1
172;32;67;80;32.94791667;0.947916667;391.995436;1;1
174;33;68;80;33.47291667;0.472916667;415.3046976;0;1
176;33.5;65;80;33.97291667;0.472916667;349.2282314;0;0
178;34;67;80;34.94791667;0.947916667;391.995436;0;1
180;35;72;80;35.47291667;0.472916667;523.2511306;0;1
182;35.5;74;80;35.97291667;0.472916667;587.3295358;0;0
184;36;75;80;36.94791667;0.947916667;622.2539674;0;1
186;37;74;80;37.47291667;0.472916667;587.3295358;0;1
188;37.5;70;80;37.97291667;0.472916667;493.88330125612424;0;0
190;38;72;80;38.94791667;0.947916667;523.2511306;0;1
